@relation phoneme

@attribute Aa numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.568,1.698,-0.513,0
0.508,0.998,-0.207,0
0.16,0.48,0,0
2.451,0.222,-0.062,0
0.699,1.249,0,0
2.101,-0.196,0.09,0
0.238,-0.545,0,0
0.315,2.196,-0.437,0
-0.225,-0.463,0,0
0.308,-0.397,0.114,0
0.5,1.436,-0.724,0
3.517,0.376,-0.132,0
2.331,-0.107,-0.051,0
-0.044,1.324,0,0
0.152,1.342,0,0
1.041,-0.384,-0.107,0
1.549,-0.462,0.313,0
0.65,-0.468,0.6,0
2.652,0.252,-0.052,0
0.763,-0.381,0.106,0
1.54,-0.36,0.815,0
0.877,-0.184,0.067,0
1.644,0.579,-0.293,0
0.517,1.352,0,0
2.141,1.045,-0.134,0
1.055,0.293,-0.141,0
0.245,0.456,1.058,0
0.182,1.867,0,0
2.756,0.158,-0.063,0
0.978,0.567,0.141,0
0.796,-0.437,1.473,0
0.313,2.852,-0.445,0
0.609,-0.747,-0.193,0
0.195,1.363,-0.152,0
2.866,0.166,-0.094,0
2.942,-0.105,-0.041,0
0.148,1.646,0,0
1.593,0.174,0.075,0
2.614,0.347,0.297,0
0.244,0.951,0,0
0.256,1.359,0,0
1.21,-0.493,-0.15,0
0.265,0.806,0.158,0
1.349,-0.44,0.441,0
0.835,-0.387,0,0
1.233,0.373,0.117,0
0.266,2.178,0,0
3.461,-0.111,-0.042,0
0.412,2.093,-0.578,0
2.954,-0.11,-0.061,0
0.283,-0.521,0.642,0
0.145,0.458,0,0
0.217,2.218,0.329,0
1.253,-0.461,0.16,0
2.18,0.459,-0.234,0
1.466,-0.172,0.076,0
0.26,2.735,0,0
0.517,1.078,-0.177,0
0.081,0.445,1.824,0
2.889,-0.111,0.07,0
0.771,-0.412,-0.124,0
1.078,-0.399,-0.122,0
0.674,0.917,0.184,0
1.902,0.354,-0.293,0
0.242,1.887,-0.572,0
0.092,0.321,0.998,0
0.269,2.209,-0.323,0
0.159,1.872,-0.553,0
0.148,2.467,0,0
0.563,2.317,-0.3,0
0.082,0.378,1.555,0
0.333,1.023,-0.199,0
1.527,-0.303,-0.092,0
0.311,1.519,-0.255,0
2.56,-0.113,-0.058,0
0.691,-0.49,1.17,0
0.378,1.887,0.937,0
0.191,0.884,-0.617,0
0.083,0.288,0,0
0.425,0.424,0,0
0.679,1.022,-0.432,0
0.294,1.748,1.138,0
0.977,-0.536,-0.288,0
0.575,0.566,-0.496,0
1.065,-0.485,0.343,0
3.5,-0.182,-0.032,0
0.249,1.518,-0.233,0
0.615,-0.4,-0.334,0
0.266,2.484,-0.319,0
0.245,1.511,0,0
0.236,0.415,2.043,0
0.369,1.396,-0.282,0
1.831,-0.372,-0.099,0
2.334,0.251,-0.097,0
0.635,-0.525,0.332,0
0.229,-0.266,0,0
1.638,1.509,-0.16,0
0.959,-0.49,-0.299,0
1.022,-0.253,0.1,0
0.461,-0.492,-0.411,0
0.693,-0.478,-0.156,0
0.542,-0.557,-0.27,0
0.534,-0.476,1.087,0
0.277,1.918,-0.449,0
0.157,0.912,-0.689,0
0.675,1.339,0.878,0
1.943,0.188,0.136,0
0.597,-0.506,-0.162,0
0.118,0.559,-0.666,0
2.03,-0.098,0.056,0
0.551,-0.517,-0.122,0
1.945,1.189,-0.285,0
0.232,0.687,-0.482,0
2.937,1.369,-0.132,0
0.185,1.03,-0.761,0
2.954,0.729,-0.126,0
0.903,-0.481,-0.114,0
0.158,1.925,-0.4,0
-0.307,-0.601,-0.151,0
0.128,0.32,1.814,0
0.059,0.439,0,0
2.638,0.179,-0.052,0
1.247,2.209,-0.183,0
3.393,-0.111,-0.055,0
0.279,2.547,-0.377,0
0.775,0.962,0.246,0
0.257,0.638,1.175,0
0.504,-0.577,-0.158,0
3.104,0.154,-0.103,0
1.215,-0.241,-0.06,0
0.336,1.625,-0.39,0
0.529,-0.577,-0.272,0
0.671,-0.334,-0.129,0
3.426,-0.143,-0.053,0
1.851,-0.072,-0.074,0
3.496,0.275,-0.239,0
0.26,0.663,0,0
0.398,1.494,-0.282,0
0.231,1.354,-0.239,0
0.463,-0.409,-0.098,0
0.593,-0.508,-0.142,0
3.229,0.451,-0.291,0
0.817,0.222,0.053,0
1.335,0.149,-0.214,0
1.065,-0.486,0.342,0
0.172,0.64,0,0
1.675,1.366,-0.117,0
0.826,-0.313,-0.322,0
2.699,-0.105,-0.049,0
0.899,-0.392,0.25,0
3.24,0.801,-0.089,0
0.841,-0.488,0,0
0.688,0.86,0.169,0
0.193,1.05,0,0
0.238,0.643,0.169,0
0.536,2.354,-0.347,0
0.136,1.847,-0.424,0
0.8,1.979,0.318,0
0.52,0.992,0,0
-0.125,1.659,0,0
2.182,-0.164,0.106,0
0.737,0.968,0.208,0
3.004,0.165,0.093,0
0.745,-0.503,0.884,0
0.134,0.478,1.599,0
0.154,0.454,1.84,0
0.651,-0.503,0.148,0
0.234,1.898,-0.27,0
2.815,-0.147,-0.088,0
2.733,-0.116,-0.041,0
1.287,-0.425,1.222,0
0.079,0.514,0,0
1.441,0.396,-0.164,0
1.303,-0.364,1.379,0
0.838,-0.389,-0.43,0
0.634,0.884,0.193,0
0.959,-0.252,-0.055,0
0.258,-0.461,-0.153,0
0.219,2.399,0,0
0.517,2.199,-0.233,0
0.243,2.289,0,0
1.653,-0.095,0.047,0
3.568,0.157,-0.044,0
0.378,2.602,-0.331,0
0.29,2.774,-0.308,0
1.336,1.238,0.683,0
1.092,-0.402,0.898,0
0.466,1.825,-0.253,0
0.305,1.757,-0.35,0
0.134,1.455,0,0
0.076,0.355,1.253,0
0.199,-0.829,0.194,0
0.675,0.902,0.217,0
3.306,0.313,-0.218,0
0.725,-0.518,0,0
1.453,0.181,-0.073,0
0.296,1.78,-0.361,0
0.393,-0.275,-0.079,0
0.155,2.279,0,0
0.486,2.141,0.467,0
0.389,0.795,1.2,0
0.169,0.485,1.926,0
2.302,-0.093,0.052,0
0.363,1.93,-0.367,0
3.223,-0.13,-0.046,0
0.245,1.012,-0.247,0
0.314,1.565,1.038,0
2.441,0.25,0.071,0
0.478,-0.605,-0.331,0
0.915,0.802,0.386,0
1.626,-0.385,0.81,0
0.087,1.102,0,0
0.178,1.556,0,0
0.64,1.133,0,0
0.345,-0.48,-0.109,0
0.106,0.931,0,0
0.46,1.194,-0.212,0
0.221,2.658,-0.419,0
3.269,1.015,-0.091,0
3.055,-0.123,-0.049,0
0.251,2.024,-0.505,0
1.203,0.944,-0.141,0
0.058,-0.126,1.112,0
0.404,1.848,0,0
0.426,0.775,1.176,0
2.44,-0.243,0,0
1.712,-0.446,-0.1,0
3.17,-0.143,-0.064,0
0.421,1.101,-0.252,0
0.736,0.522,-0.341,0
1.108,0.35,0.077,0
0.713,1,-0.379,0
0.257,0.61,-0.794,0
0.647,1.368,1.016,0
0.626,1.102,-0.167,0
2.761,1.297,-0.097,0
2.611,0.164,-0.053,0
0.14,1.436,-0.513,0
0.146,1.779,-0.592,0
0.151,0.409,1.596,0
2.039,0.138,0.072,0
3.341,-0.106,-0.051,0
2.168,-0.122,-0.051,0
0.896,0.586,1.408,0
0.618,-0.629,1.001,0
0.55,1.564,0,0
0.808,-0.371,-0.103,0
3.151,0.308,-0.171,0
0.155,0.851,-0.667,0
0.636,1.945,0.362,0
0.234,2.176,-0.353,0
0.191,0.724,-0.758,0
0.279,1.137,0,0
0.297,1.612,-0.261,0
2.785,0.279,0.081,0
0.269,0.661,-0.705,0
2.398,-0.248,0,0
0.675,0.701,-0.121,0
0.151,1.008,0,0
0.339,2.134,-0.27,0
0.763,-0.441,-0.135,0
0.252,0.976,0.216,0
-0.102,1.585,0,0
2.88,0.196,0.108,0
0.48,1.914,-0.221,0
1.062,-0.394,-0.175,0
0.259,1.178,0,0
2.832,0.122,-0.058,0
0.85,-0.438,1.378,0
1.466,0.485,-0.18,0
0.433,0.98,-0.762,0
0.09,0.286,-0.391,0
0.486,-0.57,-0.159,0
0.587,1.733,-0.215,0
-0.132,-0.785,-0.628,0
1.122,-0.358,0.272,0
0.394,2.311,0.58,0
0.181,2.038,0,0
0.922,-0.575,-0.163,0
0.873,0.827,-0.149,0
1.633,0.444,1.274,0
0.134,1.536,0,0
1.721,-0.193,-0.1,0
1.822,0.195,0.099,0
0.266,-0.279,-0.089,0
1.414,0.157,-0.205,0
0.66,0.99,0.15,0
0.189,0.528,1.537,0
0.953,1.895,-0.372,0
0.085,0.295,0,0
2.906,0.272,0.25,0
3.129,1.415,-0.13,0
1.6,-0.091,0.073,0
0.121,0.951,0,0
0.279,1.702,-0.447,0
0.21,1.963,-0.732,0
0.167,0.556,0.804,0
1.304,0.306,0.104,0
0.326,2.22,0,0
0.156,1.946,0,0
2.555,0.208,-0.095,0
0.336,2.576,-0.557,0
1.284,-0.321,-0.181,0
0.545,1.504,-0.728,0
0.199,0.958,0,0
0.223,0.399,1.386,0
0.086,0.724,-0.418,0
0.763,0.466,-0.234,0
0.206,1.296,-0.246,0
0.095,-0.79,0,0
2.859,-0.116,0.068,0
2.099,-0.175,-0.076,0
-0.053,1.327,-0.594,0
2.239,0.354,0.556,0
1.116,-0.415,-0.225,0
0.273,2.321,0.519,0
0.418,1.839,-0.337,0
0.069,0.563,0,0
0.367,-0.319,-0.081,0
0.605,-0.534,0,0
0.778,0.904,-0.164,0
0.403,-0.537,-0.154,0
1.479,0.306,-0.094,0
0.79,-0.436,-0.166,0
0.34,2.362,0.515,0
2.991,-0.115,0.104,0
