@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.268,1.352,-0.332,0
0.401,1.159,-0.69,0
0.541,2.145,-0.228,1
0.626,2.317,0.411,0
1.055,1.185,0.182,0
0.273,2.018,0.697,0
-0.073,-0.25,1.539,1
0.371,2.324,-0.168,0
1.905,0.487,0.079,0
0.693,1.713,-0.221,0
2.389,0.639,0.13,0
0.289,0.832,0.835,0
1.312,1.232,0.375,0
0.565,3.345,0.751,0
-0.115,0.697,1.713,1
0.232,1.298,-0.482,0
-0.164,1.49,0.699,0
0.264,1.209,-0.669,0
-0.993,-0.805,-0.151,0
0.297,0.661,-0.789,1
1.127,2.254,0.172,0
1.146,1.426,-0.464,1
0.56,1.341,-0.489,0
0.296,1.085,-0.596,1
2.102,0.355,0.095,0
0.152,0.824,2.058,0
0.745,2.821,-0.249,0
0.087,0.302,0.535,0
0.383,2.973,-0.241,0
0.295,0.921,1.018,1
0.144,0.335,1.668,0
0.169,1.441,0.545,0
0.363,0.802,1.568,1
0.279,1.395,-0.752,0
0.279,0.892,-0.53,0
0.644,1.852,0.213,0
0.308,1.204,0.569,0
1.667,1.272,0.204,0
2.411,1.293,0.226,0
0.283,1.136,-0.661,1
0.448,2.024,0.33,0
0.197,2.013,-0.6,0
0.216,0.796,1.752,1
0.227,0.614,-1.219,0
0.641,2.998,-0.204,0
1.331,1.429,1.619,0
0.951,2.417,0.438,0
0.523,0.813,1.27,1
0.62,1.132,1.763,1
0.418,0.603,1.006,1
-0.114,-0.497,-0.818,1
0.543,1.229,1.902,1
0.308,1.127,-0.784,0
0.33,1.541,-0.539,0
0.499,2.156,-0.588,0
0.173,0.375,-0.324,0
0.25,0.735,2.285,1
0.279,2.161,1.08,1
0.236,1.741,0.382,0
0.958,1.627,0.193,0
1.495,2.295,0.225,0
0.249,1.066,-0.791,0
0.648,2.694,-0.24,0
0.235,1.131,1.918,1
3.892,-0.241,-0.127,0
0.567,1.824,0.347,0
0.12,0.311,1.818,0
0.477,3.228,-0.288,0
0.072,1.116,0.624,0
0.709,2.371,0.602,1
1.956,1.436,0.231,0
0.285,1.391,2.097,1
0.155,0.825,1.949,0
0.143,0.947,1.17,1
0.13,0.695,-0.786,1
-0.144,1.214,-0.53,0
0.567,0.51,1.576,1
0.234,0.722,0.732,1
0.538,0.682,1.165,1
2.581,0.735,-0.08,0
1.639,2.471,-0.2,0
3.724,-0.302,-0.083,0
1.232,1.073,-0.08,0
0.863,2.356,0.594,1
0.108,0.753,0.723,0
1.04,2.638,0.913,0
0.695,1.215,-0.318,1
0.39,1.25,0.694,0
0.466,1.06,-0.676,0
0.279,1.735,0.443,0
0.705,1.623,0.726,1
0.301,1.011,-0.696,0
0.734,2.821,0.415,0
0.413,1.824,0.434,0
0.146,0.612,2.002,0
0.382,2.454,-0.57,0
0.092,0.372,0.579,1
0.129,0.355,1.469,0
2.726,0.966,0.455,0
0.238,2.446,0.576,0
-0.069,0.51,1.442,1
0.116,0.399,1.139,0
0.313,0.854,-0.659,0
0.223,1.357,-0.372,0
0.193,1.16,-0.594,0
0.27,0.832,1.274,1
0.195,0.443,0.65,1
1.9,0.836,-0.088,0
1.038,1.656,0.371,0
0.776,2.215,-0.205,0
2.511,1.155,-0.087,0
1.612,2.32,0.22,0
0.521,3.176,0.324,0
0.409,0.349,1.081,1
0.499,1.932,0.682,0
0.288,1.596,0.413,0
0.798,1.703,0.333,0
0.183,1.354,-0.754,0
-0.363,1.817,-0.358,0
0.867,2.49,-0.157,0
2.479,0.616,-0.064,0
0.616,0.753,-0.546,1
0.165,0.588,1.854,1
1.074,2.424,-0.197,0
0.834,2.757,-0.163,0
1.677,1.795,-0.269,0
0.618,1.016,-0.401,0
1.802,1.243,0.141,0
0.273,0.937,1.064,0
1.226,1.277,-0.505,0
0.562,2.911,-0.224,0
0.259,0.861,2.039,1
0.136,0.627,1.188,0
0.834,0.372,1.957,1
0.108,0.298,1.854,0
0.331,0.59,0.834,0
0.2,1.367,-0.523,0
0.624,2.58,-0.237,0
0.773,2.314,0.646,1
0.154,0.343,-0.59,0
1.335,1.345,-0.089,0
0.404,1.284,0.448,0
0.438,2.465,-0.202,0
0.673,0.596,2.123,1
0.116,0.471,2.121,1
-0.118,0.497,1.743,1
1.131,2.61,-0.158,0
0.73,1.373,-0.109,0
2.133,1.473,-0.073,0
0.344,1.233,0.942,1
0.132,0.517,2.237,1
1.304,2.718,0.257,0
0.178,1.103,-0.458,0
0.311,1.405,-0.45,0
0.445,2.413,-0.228,0
0.457,3.001,-0.189,0
0.437,1.387,-0.658,0
0.233,0.543,1.316,1
0.523,1.005,0.892,1
0.214,0.546,1.385,1
0.283,1.261,-0.77,0
0.238,1.519,0.27,0
0.51,2.301,-0.222,0
0.314,3.283,0.342,0
0.219,0.484,-1.097,1
-0.523,-0.751,-0.583,1
0.147,0.417,-0.73,0
0.064,0.286,0.449,1
0.455,2.558,0.573,0
1.414,0.591,0.141,0
0.296,1.804,0.416,0
0.262,1.54,-0.76,0
0.52,0.38,1.639,1
0.221,1.265,0.504,0
0.279,0.892,-0.531,0
-0.089,1.333,0.746,0
0.216,0.365,0.981,0
0.121,0.671,2.188,0
2.414,1.231,0.131,0
1.231,1.8,1.553,1
0.94,1.464,0.546,1
0.154,0.339,-0.625,0
0.404,1.193,1.005,0
0.394,2.329,0.7,1
0.233,0.86,-0.71,0
1.172,1.957,-0.146,0
2.967,0.918,0.266,0
1.21,2.364,-0.155,0
0.079,0.355,0.519,0
1.101,0.717,0.068,0
0.305,1.2,1.386,1
1.712,2.499,-0.162,0
0.201,1.369,0.507,0
0.096,0.498,0.849,1
0.128,0.389,1.049,0
1.02,0.605,1.409,1
0.243,1.014,1.039,0
0.199,0.636,1.258,1
0.17,0.986,-0.633,0
0.218,0.816,2.113,0
1.592,1.644,-0.183,0
0.444,0.698,0.741,1
0.461,0.585,1.773,0
0.651,2.023,-0.344,0
1.061,2.04,-0.277,0
0.31,1.074,1.139,0
1.031,0.584,1.532,1
2.131,1.245,0.45,0
2.31,0.325,-0.085,0
1.453,0.562,0.148,0
0.267,1.331,-0.911,0
1.023,1.009,-0.085,0
0.757,1.605,0.236,0
0.213,0.325,1.941,1
0.108,0.355,0.592,0
0.892,1.429,1.151,1
0.265,1.079,-0.673,1
1.526,1.931,-0.265,0
0.568,2.495,-0.485,0
0.403,0.391,1.141,1
0.643,1.547,0.156,0
0.381,0.55,1.204,0
0.311,2.639,-0.193,0
0.093,0.281,0.441,0
0.397,0.966,1.183,0
2.205,0.544,0.096,0
1.014,0.653,1.07,1
0.257,1.029,1.26,1
1.214,2.723,0.318,0
0.2,0.506,0.837,1
0.322,1.981,0.856,1
2.696,-0.22,0.09,0
3.126,0.482,-0.141,0
0.668,1.559,-0.128,0
0.334,1.478,-0.654,0
0.907,1.906,-0.155,0
1.062,2.243,-0.199,0
0.109,0.697,0.579,1
0.288,0.891,1.42,0
-0.239,-0.788,-0.287,0
0.234,1.794,-0.749,0
0.895,0.559,1.421,1
-0.114,1.272,-0.644,0
0.214,0.601,-0.771,1
1.059,2.209,-0.361,1
2.971,0.48,-0.285,0
0.274,2.028,0.406,0
0.309,2.255,0.299,0
0.864,2.364,-0.284,0
0.236,0.995,0.489,0
0.309,2.547,0.494,0
1.246,2.16,0.221,0
0.312,0.847,2.785,1
0.735,3.15,0.478,0
0.19,1.045,-0.476,0
0.449,2.339,1.411,1
2.991,0.411,0.109,0
-0.83,1.088,-0.135,0
0.313,2.116,0.734,0
0.222,0.436,1.207,1
1.027,0.821,1.064,1
2.041,0.906,0.279,0
0.106,0.458,0,0
0.999,1.019,0.752,1
-0.26,-0.825,-1.494,0
0.093,0.613,1.183,1
0.127,0.705,2.19,0
0.232,0.77,0.881,1
0.259,1.255,-0.496,1
1.18,0.843,0.104,0
0.215,0.611,-0.446,1
1.441,0.97,0.265,0
-0.052,0.651,1.263,1
0.455,2.401,-0.242,0
0.959,1.399,-0.1,0
0.268,1.333,-0.748,0
