@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R3,5-6'

@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.847,-0.424,0
0.67,-0.391,0
0.874,-0.175,0
-0.381,0.163,0
1.186,0,0
0.325,0.904,1
2.024,0,0
-0.315,1.494,0
0.539,0.301,0
0.581,0,0
1.821,0.997,0
2.743,-0.392,1
0.235,-0.043,0
0.523,1.046,0
2.303,-0.535,0
-0.097,-0.062,0
1.722,-0.3,0
1.979,0.416,1
0.113,0.063,0
1.102,0.194,1
1.173,0,1
0.311,0,0
1.587,-0.455,1
-0.137,-0.035,0
1.664,0.66,1
0.45,-0.226,0
2.047,1.558,1
1.368,0,0
0.513,0.886,1
0.337,-0.559,0
0.41,1.363,0
-0.59,-0.329,0
0.197,0,1
-0.149,-0.039,0
0.717,-0.738,0
0.166,-0.082,0
-0.346,-0.108,0
0.49,-0.103,0
-0.472,-0.127,0
0.751,0.325,1
2.025,-0.363,1
1.271,-0.193,0
-0.533,-0.136,0
-0.487,-0.147,0
1.236,0.682,0
0.837,-0.875,0
-0.424,0.617,0
0.443,0.745,0
0.982,-0.129,0
-0.579,-0.163,0
-0.61,0.671,0
0.782,0.12,0
0.513,-0.529,0
-0.673,-0.152,0
0.686,-0.569,1
2.106,-0.711,1
0.359,0,0
1.527,0,0
2.547,-0.287,0
2.558,-0.257,1
2.038,0.449,1
1.634,0.273,1
-0.41,-0.377,0
0.181,0.135,0
1.168,-0.229,0
0.658,0.246,0
1.607,-0.338,1
2.163,1.487,1
-0.232,-0.081,0
0.316,-0.052,0
-0.177,0.073,0
-0.28,0,0
1.583,-0.212,0
0.883,0.154,0
-0.415,-0.286,0
-0.487,-0.233,0
2.467,0,0
1.699,-0.172,1
2.603,-0.337,0
1.622,0,0
3.149,-0.404,0
0.852,-0.21,0
1.601,0.683,1
1.436,-0.128,0
1.748,1.138,0
1.72,0,0
-0.371,-0.103,0
1.015,1.433,0
1.256,-0.191,1
0.522,-0.206,0
0.745,2.087,1
