@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,5-6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.807,2.227,0.161,0
0.619,2.238,-0.125,0
1.669,2.226,-0.139,0
0.48,1.502,0.402,1
0.874,3.03,0.48,0
1.712,1.764,0.589,0
0.577,3.348,0,0
2.456,0.964,-0.257,0
0.812,0.762,0.405,0
0.398,1.547,-0.268,0
0.336,0.875,-0.557,0
1.115,0.331,1.045,1
-0.105,0.697,0,1
1.466,0.924,0.076,0
1.142,1.867,-0.11,0
0.276,1.107,0,0
0.249,1.297,-0.384,0
0.128,0.434,0,0
0.303,2.016,-0.123,0
0.98,2.364,-0.109,0
0.184,0.425,-0.845,0
0.24,1.068,-0.297,0
0.343,1.708,0.138,0
0.278,0.72,-0.538,1
0.152,0.631,0,0
1.488,1.97,-0.329,0
1.089,2.187,0.85,0
-0.155,1.643,0.372,0
0.22,0.709,-0.721,1
1.222,1.182,-0.054,0
0.169,0.41,1.926,0
0.122,0.561,0,1
1.408,1.792,-0.081,0
0.79,2.386,0.164,0
0.293,1.058,0,0
0.186,0.699,0,1
0.222,1.521,0,0
0.079,0.293,-0.419,1
0.324,1.166,-0.677,1
0.213,1.071,-0.229,0
0.711,2.712,-0.2,0
1.644,1.98,-0.293,0
1.032,2.486,0.607,0
1.26,0.695,0.109,0
3.167,0.529,-0.063,0
-0.147,1.023,0,0
1.423,2.429,-0.157,0
0.219,0.562,0,1
0.378,1.737,0,0
0.223,0.497,0,1
1.231,1.554,-0.219,1
1.936,0.848,0.112,0
0.12,0.38,0,0
0.677,1.384,0.913,1
0.48,1.042,-0.221,0
1.05,1.982,-0.359,0
0.108,0.305,-1.016,0
1.017,2.97,-0.138,0
0.223,0.609,0,1
0.864,1.505,0.097,0
1.422,2.28,0.114,0
0.437,1.435,0,0
0.437,2.9,-0.385,0
0.214,1.201,0.764,1
0.717,1.937,0.209,0
0.219,1.447,-0.375,0
0.222,0.672,-1.051,1
0.095,0.496,1.063,0
0.204,0.779,0,1
2.909,0.745,-0.092,0
0.651,2.706,-0.32,1
0.211,0.785,-0.935,1
0.384,1.323,-0.488,1
0.239,0.883,0.544,0
0.674,2.695,0.184,0
3.163,-0.265,-0.086,0
0.857,1.331,-0.263,1
0.85,2.377,1.378,0
0.102,0.452,-0.305,1
0.239,0.589,0,1
1.481,1.592,1.379,0
3.054,-0.324,-0.238,0
0.121,0.74,0,1
0.353,0.583,0.682,1
1.545,2.072,0.423,0
0.561,1.17,1.311,1
0.106,0.635,0.944,1
0.195,1.18,-0.152,0
0.175,0.896,0,0
0.056,0.245,0,0
0.323,1.208,-0.433,0
0.109,0.445,0,1
0.428,0.796,-0.608,0
