@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
1.24,-0.205,-0.078,0
0.96,-0.143,0.091,0
0.108,1.302,1.08,0
0.747,1.346,-0.998,1
0.96,0.513,1.114,1
0.531,-0.397,-0.201,0
3.084,-0.166,-0.088,0
0.141,0.922,1.899,1
0.148,1.533,1.672,0
0.64,1.133,-0.335,0
0.352,-0.377,-0.165,0
0.515,1.714,1.058,1
-0.077,0.431,-0.47,0
-0.145,1.738,-0.798,0
0.303,0.978,0.327,0
0.213,0.992,0.338,0
0.324,0.55,0.378,0
1.026,-0.539,0.206,0
0.648,0.776,1.913,0
1.16,-0.238,-0.093,0
2.586,0.19,0.162,0
0.999,0.928,0.438,1
0.377,2.391,-0.743,1
0.157,0.912,2.023,0
1.576,-0.304,-0.121,0
3.223,-0.13,-0.061,0
0.145,0.477,2.189,0
1.918,0.261,0.114,0
0.735,1.014,-0.355,0
2.885,1.362,0.503,0
0.991,0.833,0.648,0
0.208,0.738,1.64,1
4.107,-0.107,-0.047,0
0.195,1.9,1.248,1
2.917,0.494,0.432,0
0.365,0.9,1.509,1
0.711,-0.47,0.255,0
0.358,2.017,0.907,1
0.294,0.746,1.111,1
0.247,2.051,-0.56,0
0.55,0.744,0.503,0
3.221,-0.151,0.16,0
0.308,-0.517,0.271,0
2.286,0.696,-0.171,0
1.543,-0.283,-0.126,0
0.192,2.314,-0.694,0
0.201,0.829,0.323,0
0.156,1.319,0.914,1
0.134,1.628,1.01,0
0.257,0.638,1.253,0
0.55,-0.482,-0.207,0
1.002,1.598,1.22,1
0.205,1.363,0.508,0
0.117,0.554,1.391,0
1.952,0.387,0.323,0
-0.239,-0.684,-0.311,0
3.065,-0.113,-0.073,0
0.708,-0.545,-0.188,0
3.061,0.224,0.326,0
0.078,0.424,1.574,0
1.49,-0.249,-0.095,0
1.012,-0.3,0.203,0
1.004,1.276,0.833,0
0.091,0.427,0.738,0
0.622,-0.758,-0.252,0
0.396,1.724,1.114,1
0.518,1.493,0.691,0
0.847,-0.328,0.351,0
0.366,0.828,0.386,0
0.239,0.397,0.904,0
1.065,-0.486,0.252,0
0.136,1.145,1.897,1
0.207,1.935,-0.548,0
0.978,1.927,-0.591,1
0.785,1.234,0.699,1
1.952,0.188,0.151,0
0.53,-0.541,-0.186,0
2.342,-0.33,1.068,0
1.654,0.68,0.716,0
1.063,-0.415,-0.175,0
0.23,1.236,2.243,1
0.314,1.565,0.995,0
-0.164,0.758,1.911,1
0.683,-0.562,0.319,0
0.665,-0.438,0.256,0
0.425,0.424,0.275,0
0.208,0.643,1.657,1
0.326,0.62,1.886,1
0.106,0.906,0.825,1
0.582,0.81,1.548,1
2.364,0.321,-0.078,0
2.975,-0.127,0.086,0
1.303,-0.364,0.406,0
1.121,0.512,0.329,0
2.756,0.158,0.194,0
0.346,0.629,0.268,0
0.31,1.401,1.696,1
2.036,0.513,0.373,0
-0.154,-0.372,1.003,1
0.402,-0.326,-0.175,0
0.27,2.807,-0.812,0
0.1,0.323,1.385,0
0.102,0.579,-0.965,0
0.441,-0.321,0.229,0
0.125,0.441,1.127,0
0.134,-0.522,-0.643,0
3.027,-0.149,0.099,0
0.192,2.439,0.961,0
1.62,1.446,0.716,1
0.947,0.745,0.853,0
0.412,0.73,0.556,0
1.022,-0.253,-0.106,0
0.942,-0.214,0.107,0
0.431,2.374,-0.694,1
2.427,0.514,1.242,0
0.495,-0.701,0.4,0
1.108,0.35,-0.091,0
2.032,0.118,0.152,0
0.435,0.716,-0.217,0
0.517,1.587,1.471,1
0.223,0.399,1.207,0
0.691,1.665,0.682,0
0.503,-0.575,0.493,0
0.42,2.552,1.104,0
0.891,1.66,0.861,1
