@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-3,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Dcl numeric
@attribute Class {0,1}

@data
1.567,0.867,1.3,0
0.303,0.609,0.474,1
1.039,2.271,1.699,1
0.6,1.405,2.477,1
0.648,2.479,1.064,0
0.125,0.548,0.795,1
0.362,0.688,1.513,1
0.155,0.514,0.49,0
0.105,0.594,0.326,1
0.82,2.083,0.492,0
0.734,0.647,1.387,1
0.887,2.167,0.646,0
3.177,-0.275,-0.111,0
1.901,0.502,0.188,0
0.184,0.496,0.514,1
0.302,0.581,2.031,1
3.698,0.437,-0.109,0
0.079,0.274,0.403,0
0.209,0.463,0.654,1
0.324,0.917,1.098,1
0.389,3.191,-0.499,0
1.328,1.955,-0.489,0
1.314,2.129,-0.441,0
0.486,1.117,0.534,1
1.128,0.804,-0.156,0
0.231,1.566,1.314,0
0.586,2.408,-0.62,0
0.212,1.237,0.848,0
0.28,0.552,0.725,1
0.19,0.987,2.322,0
0.136,0.766,-0.584,1
0.71,3.162,-0.393,0
0.454,0.779,1.472,1
0.369,1.313,1.405,1
0.302,0.915,2.528,1
0.449,1.903,-0.309,0
0.319,1.027,2.416,0
1.051,2.063,-0.427,0
0.744,1.505,0.909,0
1.972,2.6,-0.411,0
0.352,1.16,1.638,0
0.505,1.929,2.448,0
0.132,0.456,0.442,1
0.436,0.614,0.964,0
0.332,1.281,0.901,1
1.188,2.725,-0.47,0
2.222,1.239,0.352,0
1.214,1.716,-0.243,0
0.77,2.496,-0.402,0
0.27,0.667,1.827,0
3.325,0.688,-0.133,0
0.152,0.336,0.45,0
1.204,0.779,0.25,0
0.081,0.552,0.265,1
0.179,1.489,1.166,0
0.646,0.378,1.547,1
0.288,1.931,1.916,0
0.847,1.717,0.516,0
1.052,2.272,-0.433,0
0.143,0.184,0.869,1
0.399,3.177,-0.509,0
0.103,0.459,0.986,0
0.432,0.961,1.246,1
2.321,0.872,0.503,0
0.199,0.584,1.436,1
0.851,2.025,0.903,1
1.21,1.811,0.896,0
1.509,1.501,0.56,0
1.144,2.693,-0.415,0
0.613,1.064,1.877,1
0.103,0.597,0.979,1
0.593,2.197,1.393,0
2.063,0.363,-0.091,0
0.273,2.686,-0.421,0
0.12,0.719,-1.064,0
0.285,0.786,0.953,1
2.089,0.672,-0.1,0
0.128,0.598,1.368,0
2.163,0.875,0.376,0
0.257,1.734,0.932,0
1.007,2.844,-0.424,0
0.088,0.611,0.697,0
0.456,1.513,2.206,0
0.103,0.411,0.718,1
2.898,-0.254,0.12,0
0.412,3.66,-0.606,0
0.278,0.809,-0.855,1
2.203,1.252,0.462,0
0.528,3.087,-0.664,0
0.098,0.335,0.508,0
3.133,0.656,0.181,0
1.515,1.091,-0.152,0
