@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6'

@attribute Ao numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.867,1.3,0.559,0
0.609,0.474,-0.811,1
2.271,1.699,-0.168,1
1.405,2.477,-0.272,1
2.479,1.064,0,0
0.548,0.795,0,1
0.688,1.513,0.52,1
0.514,0.49,0,0
0.594,0.326,0,1
2.083,0.492,-0.19,0
0.647,1.387,0.451,1
2.167,0.646,1.125,0
-0.275,-0.111,-0.074,0
0.502,0.188,-0.152,0
0.496,0.514,1.106,1
0.581,2.031,1.408,1
0.437,-0.109,-0.042,0
0.274,0.403,1.638,0
0.463,0.654,0,1
0.917,1.098,-0.86,1
3.191,-0.499,-0.136,0
1.955,-0.489,0.256,0
2.129,-0.441,1.019,0
1.117,0.534,1.164,1
0.804,-0.156,0,0
1.566,1.314,-0.253,0
2.408,-0.62,-0.166,0
1.237,0.848,-0.437,0
0.552,0.725,-0.783,1
0.987,2.322,-0.279,0
0.766,-0.584,0,1
3.162,-0.393,0.662,0
0.779,1.472,-0.397,1
1.313,1.405,-0.313,1
0.915,2.528,-0.52,1
1.903,-0.309,-0.09,0
1.027,2.416,0,0
2.063,-0.427,-0.132,0
1.505,0.909,0.231,0
2.6,-0.411,0.2,0
1.16,1.638,-0.535,0
1.929,2.448,-0.321,0
0.456,0.442,1.078,1
0.614,0.964,-0.968,0
1.281,0.901,-0.568,1
2.725,-0.47,0.39,0
1.239,0.352,-0.095,0
1.716,-0.243,0.1,0
2.496,-0.402,0.163,0
0.667,1.827,-0.456,0
0.688,-0.133,-0.056,0
0.336,0.45,1.78,0
0.779,0.25,0.122,0
0.552,0.265,0,1
1.489,1.166,0,0
0.378,1.547,0.72,1
1.931,1.916,0,0
1.717,0.516,-0.322,0
2.272,-0.433,0.744,0
0.184,0.869,-0.817,1
3.177,-0.509,-0.141,0
0.459,0.986,0,0
0.961,1.246,2.116,1
0.872,0.503,-0.375,0
0.584,1.436,1.315,1
2.025,0.903,0.634,1
1.811,0.896,0.301,0
1.501,0.56,-0.407,0
2.693,-0.415,-0.104,0
1.064,1.877,-0.302,1
0.597,0.979,-0.879,1
2.197,1.393,-0.151,0
0.363,-0.091,-0.052,0
2.686,-0.421,1.47,0
0.719,-1.064,-1.019,0
0.786,0.953,0,1
0.672,-0.1,0.065,0
0.598,1.368,0,0
0.875,0.376,-0.06,0
1.734,0.932,-0.291,0
2.844,-0.424,0.617,0
0.611,0.697,0,0
1.513,2.206,0,0
0.411,0.718,1.311,1
-0.254,0.12,-0.06,0
3.66,-0.606,-0.159,0
0.809,-0.855,-0.699,1
1.252,0.462,-0.235,0
3.087,-0.664,-0.186,0
0.335,0.508,0,0
0.656,0.181,-0.067,0
1.091,-0.152,0.068,0
0.49,0.812,-0.561,0
1.573,0.795,0.318,0
1.38,0.337,-0.075,0
0.45,1.335,2.015,1
1.078,1.058,0,1
2.011,0.847,0,0
2.938,-0.677,-0.149,0
1.312,0.99,-0.201,0
1.16,0.396,0.218,0
1.858,1.334,-0.502,0
1.522,1.144,0.338,0
0.545,1.334,-0.653,0
1.392,1.834,-0.266,0
0.531,-0.134,-0.058,0
0.885,1.375,-0.198,1
1.413,0.5,-0.081,0
2.202,-0.38,-0.088,0
1.405,-0.344,0,0
3.034,-0.423,0.178,0
0.674,-0.091,0.048,0
3.048,0.828,0,0
2.29,-0.316,0.12,0
0.588,0.602,0,0
3.136,0.601,-0.316,0
0.689,2.035,1.627,1
2.585,-0.426,0.552,0
1.584,1.4,-0.458,0
0.901,-0.659,0.313,1
1.26,1.809,0.799,1
0.566,1.358,0.838,0
-0.317,0.15,-0.053,0
0.68,0.408,1.24,1
1.529,-0.416,-0.578,1
1.108,-0.148,-0.056,0
1.37,2.296,-0.255,1
0.884,0.821,-0.676,0
1.518,1.368,1.151,1
-0.319,-0.143,-0.054,0
1.42,-0.319,0.09,0
2.722,-0.493,1.049,0
2.476,-0.405,1.02,0
1.112,0.9,-0.495,0
0.639,0.531,2.261,0
0.837,2.81,-0.392,1
0.875,1.472,1.207,1
0.357,1.369,-0.131,0
0.258,1.82,0.428,1
0.503,1.141,0.826,0
1.121,2.403,-0.41,0
2.178,1.747,-0.145,0
0.545,0.379,-0.256,0
0.817,2.021,-0.683,1
-0.314,-0.104,-0.051,0
3.389,-0.475,0.372,0
0.471,-0.133,0.119,0
0.34,0.451,0,0
1.379,1.66,-0.444,1
1.165,1.29,-0.22,0
0.752,1.922,0,0
1.018,1.647,0.918,1
2.591,-0.455,-0.121,0
0.866,-0.132,0.076,0
1.423,-0.355,-0.257,0
2.713,0.884,0.242,0
0.344,0.711,0,0
-0.233,-0.109,0.063,0
1,2.106,-0.365,0
0.583,0.601,1.546,0
2.713,-0.637,0.885,0
2.469,0.961,-0.361,1
0.888,-0.324,-0.329,0
3.208,-0.503,0.349,0
0.705,0.587,-1.04,1
1.19,0.935,-0.709,1
1.506,-0.321,0.079,0
-0.319,-0.124,-0.065,0
0.845,0.194,0.084,0
0.944,-0.18,0,0
1.791,-0.267,0.103,0
1.123,1.377,-0.178,0
1.261,1.718,-0.712,1
1.335,-0.202,0.151,0
1.676,0.617,-0.13,0
0.539,-0.087,0.062,0
0.831,-0.138,0.098,0
1.867,-0.27,0.158,0
2.223,1.825,-0.239,0
0.994,1.96,0.648,0
-0.26,-0.133,0.108,0
0.381,0.882,1.251,0
2.15,0.948,0.192,0
0.526,1.126,0,0
1.091,-0.128,0.076,0
0.316,-0.103,0.062,0
0.583,-0.084,0.062,0
0.988,-0.194,0.061,0
2.098,0.834,-0.433,0
2.511,-0.43,-0.284,1
2.724,-0.447,0.299,0
2.261,-0.527,0.154,0
0.651,-0.112,-0.051,0
0.735,0.208,-0.075,0
-0.23,0.174,-0.117,0
0.921,1.172,-0.814,1
1.876,0.687,0,0
2.276,-0.549,0.132,0
0.267,0.133,-0.064,0
1.503,0.948,0.459,0
0.831,1.73,0,0
3.144,-0.665,0,0
0.483,0.629,-0.659,0
1.139,1.262,0,0
1.44,2.064,0.375,0
0.722,-1.086,-0.785,1
1.919,0.578,0.113,0
0.675,1.287,2.068,1
1.023,0.354,0.069,0
0.591,0.327,-0.176,0
1.334,1.158,-0.214,0
1.952,1.204,-0.176,0
0.87,0.664,-0.786,1
0.61,0.189,0.102,0
2.031,1.457,-0.317,0
0.888,0.384,0.429,0
0.57,1.962,0.547,0
1.543,1.83,-0.479,1
3.04,-0.641,-0.188,0
2.759,-0.452,-0.13,0
0.566,-1.3,-0.354,1
1.38,1.297,-0.219,0
0.513,0.622,0.851,1
0.972,0.866,-0.45,0
-0.863,-0.927,-0.297,0
1.3,0.486,-0.276,0
1.144,0.872,-0.704,1
1.253,2.328,0,0
2.34,0.641,-0.406,0
2.716,-0.43,-0.387,0
0.82,1.56,-0.503,1
0.653,2.448,0.393,0
0.619,1.468,0,0
2.823,-0.384,-0.075,0
1.633,1.504,0.619,1
0.551,0.521,2.719,0
0.267,0.421,1.695,0
0.378,1.876,-0.698,1
2.06,1,0,0
2.579,-0.51,-0.305,0
1.189,2.53,-0.517,1
