@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.416,0.756,-0.145,0
0.121,0.588,-0.652,0
2.571,0.201,-0.133,0
0.266,1.002,0.536,1
0.443,0.759,0.92,1
0.487,-0.428,-0.121,0
0.53,1.002,-0.692,1
0.66,1.552,0.345,1
0.35,0.907,1.632,1
0.551,-0.517,-0.122,0
0.226,2.147,0.395,0
0.252,-0.53,-0.137,0
0.333,1.023,-0.199,0
0.87,1.651,-0.192,1
0.156,1.541,-0.214,0
3.279,0.317,0.166,0
2.063,0.143,0.1,0
3.151,0.308,-0.171,0
1,0.89,-0.599,0
0.583,0.989,-0.153,0
0.258,1.885,0,0
0.453,1.37,-0.557,0
0.538,1.516,0.187,0
0.388,-0.429,-0.127,0
0.106,0.327,0.969,1
1.247,-0.321,0.245,0
0.614,1.234,-0.184,0
0.249,3.199,-0.372,0
0.312,1.261,0,1
0.37,2.195,-0.577,1
0.607,-0.348,0.145,0
0.692,1.666,-0.224,0
0.235,0.381,0.949,0
0.095,0.362,0,0
2.673,1.16,-0.124,0
0.231,0.676,-0.545,0
0.181,2.038,0,0
0.181,0.75,0,0
0.451,-0.363,-0.189,0
0.288,2.861,-0.366,0
0.098,0.415,-0.403,1
0.465,2.231,0.589,1
0.091,0.497,0,0
0.88,0.546,-0.234,0
2.916,-0.126,-0.06,0
0.636,1.945,0.362,0
0.34,2.362,0.515,0
0.135,1.343,0,0
0.159,1.872,-0.553,0
0.453,1.71,0.989,1
-0.112,-0.216,-0.195,0
0.36,0.718,-0.182,0
0.523,0.604,-0.31,0
0.54,2.359,-0.314,0
0.38,1.04,0,0
1.136,1.464,-0.168,1
0.098,0.564,1.862,1
0.747,1.381,1.205,1
0.427,0.576,-0.123,0
1.625,0.389,0.125,0
0.081,0.553,0,0
0.442,0.436,0.996,1
-0.235,0.866,0,1
1.304,-0.234,0.094,0
2.116,0.544,0.265,0
0.413,1.258,0.951,1
0.648,-0.54,0.273,0
0.266,2.484,-0.319,0
0.175,0.862,-0.775,1
0.67,-0.576,-0.366,0
1.239,0.585,0.741,0
0.363,1.93,-0.367,0
0.134,1.455,0,0
0.504,0.645,0.845,1
1.735,1.561,-0.165,0
3.287,0.277,-0.201,0
0.119,1.294,0,0
0.123,0.892,0,1
3.104,0.154,-0.103,0
2.942,-0.131,0.06,0
3.53,0.181,0.071,0
2.302,-0.09,0.045,0
