@relation phoneme

@attribute Aa numeric
@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
3.306,0.653,0.669,0
0.136,0.344,0.508,0
0.636,2.63,0.469,0
0.769,2.512,0.27,0
0.152,0.336,-0.608,0
3.698,0.437,-0.082,0
0.158,0.416,2.135,0
0.757,2.97,-0.192,0
0.278,2.433,0.58,0
1.134,1.628,0.4,0
0.896,1.979,-0.279,0
0.262,1.304,-0.794,0
0.437,1.387,-0.658,0
1.311,2.079,0.201,0
3.097,0.575,0.275,0
0.084,0.41,0.671,0
0.276,0.904,1.594,0
3.041,0.446,0.089,0
2.942,0.53,0.081,0
2.781,0.932,0.177,0
1.141,0.732,0.088,0
-0.966,1.326,-0.176,0
0.206,1.328,-0.406,0
0.348,0.475,2.294,0
0.35,1.186,-0.584,0
0.134,0.651,2.12,0
2.302,0.351,-0.052,0
1.526,1.931,-0.265,0
2.935,-0.233,0.077,0
0.695,1.923,-0.128,0
0.258,1.379,0.799,0
0.152,0.428,2.32,0
0.116,0.485,1.673,0
0.553,2.923,-0.215,0
3.341,-0.275,-0.069,0
3.167,0.529,0.172,0
0.229,1.112,1.062,0
0.856,1.875,0.366,0
0.683,3.51,0.319,0
0.453,1.44,-0.478,0
2.911,0.745,0.264,0
0.624,2.869,-0.386,0
0.942,0.966,0.107,0
0.266,3.155,0.434,0
0.269,0.362,2.266,0
1.456,2.755,0.309,0
1.398,1.223,0.217,0
1.21,1.167,-0.457,0
2.879,0.424,0.08,0
0.872,2.166,-0.248,0
0.338,0.477,1.191,0
0.222,1.521,-0.514,0
0.794,1.828,0.201,0
2.954,0.435,0.086,0
1.859,0.81,0.158,0
-0.132,0.94,1.183,0
1.846,0.267,0.09,0
0.774,0.964,-0.123,0
0.959,2.757,0.513,0
0.333,1.292,0.455,0
2.547,0.766,0.747,0
0.069,0.562,0.474,0
0.421,3.022,-0.188,0
0.448,2.024,0.33,0
0.638,3.104,-0.249,0
0.134,0.494,-0.643,0
1.857,1.13,-0.068,0
0.845,1.667,-0.211,0
0.238,0.475,1.637,0
0.231,2.251,0.322,0
0.471,1.279,-0.579,0
0.456,2.494,0.836,0
0.531,2.105,-0.201,0
0.651,2.527,0.336,0
0.371,1.222,0.645,0
2.756,0.266,0.194,0
0.734,2.821,0.415,0
0.534,2.408,0.345,0
0.913,2.728,0.492,0
0.309,2.547,0.494,0
0.192,0.519,-0.678,0
1.481,1.502,0.413,0
0.437,1.932,0.588,0
0.643,1.547,0.156,0
0.643,1.634,-0.141,0
0.277,1.607,0.436,0
0.841,2.174,0.206,0
1.224,1.274,-0.488,0
0.179,0.61,1.854,0
0.316,2.05,0.688,0
0.171,1.122,-0.47,0
0.087,0.585,2.38,0
1.786,1.517,0.182,0
1.4,1.26,0.157,0
0.4,0.945,-0.557,0
1.129,1.229,-0.089,0
0.145,0.331,-0.741,0
1.29,1.92,0.27,0
0.245,0.552,-0.528,0
0.762,3.019,-0.194,0
3.264,-0.306,0.101,0
0.56,2.372,0.278,0
0.108,0.378,1.134,0
1.347,0.967,0.094,0
1.157,0.855,-0.668,0
1.107,1.683,0.521,0
0.915,2.919,0.635,0
0.724,3.408,-0.215,0
0.249,1.066,-0.791,0
3.025,-0.273,0.27,0
0.243,1.017,-0.814,0
0.22,1.291,-0.639,0
0.327,1.764,0.277,0
2.571,-0.235,0.137,0
1.093,1.612,0.528,0
2.101,1.502,-0.085,0
0.131,0.617,0.897,0
1.752,2.127,0.22,0
1.592,1.644,-0.183,0
0.175,0.478,-0.757,0
0.263,0.913,-0.687,0
0.187,0.518,-0.783,0
1.593,0.577,0.153,0
0.699,2.295,0.403,0
1.129,2.213,0.65,0
1.141,2.928,-0.207,0
0.619,3.052,0.951,0
1.022,1.834,-0.106,0
0.639,1.201,-0.682,0
2.035,1.232,0.103,0
1.744,2.206,0.225,0
3.553,-0.281,-0.076,0
0.345,1.368,-0.692,0
1.302,1.719,-0.388,0
0.674,2.842,-0.161,0
0.49,3.202,-0.301,0
0.111,0.332,-0.514,0
2.134,0.884,0.104,0
0.462,2.713,0.481,0
0.27,0.959,1.705,0
2.203,1.252,0.438,0
2.348,0.283,0.163,0
0.42,1.985,0.448,0
0.338,1.216,0.729,0
0.27,1.806,0.434,0
0.512,2.054,0.473,0
2.078,1.095,0.094,0
2.917,1.008,0.432,0
1.887,2.525,-0.149,0
0.192,0.982,0.961,0
1.669,1.822,-0.116,0
0.176,1.631,0.345,0
2.059,1.637,-0.169,0
0.99,2.775,0.833,0
0.674,2.122,-0.249,0
2.708,0.54,-0.084,0
1.821,1.432,0.343,0
1.362,1.413,1.699,0
3.5,-0.292,-0.086,0
0.236,0.46,0.909,0
0.172,0.894,-0.842,0
0.749,2.548,1.353,0
-0.146,2.06,0.441,0
1.218,1.73,-0.11,0
0.948,2.4,0.42,0
2.09,0.618,0.068,0
0.555,1.681,-0.238,0
0.523,2.012,0.371,0
2.746,0.554,-0.278,0
0.096,0.344,0.476,0
0.219,1.447,-0.868,0
3.414,-0.301,-0.074,0
1.313,1.232,0.375,0
0.085,0.296,0.552,0
2.866,0.545,0.959,0
0.641,2.998,-0.204,0
0.39,1.25,0.694,0
1.132,1.404,-0.1,0
1.142,1.867,-0.161,0
0.903,2.229,-0.194,0
0.231,2.426,1.775,0
1.203,2.256,-0.157,0
0.45,3.288,0.424,0
0.922,2.122,0.327,0
2.585,0.471,-0.075,0
0.321,1.628,-0.561,0
0.238,0.454,1.379,0
0.146,0.771,1.818,0
0.399,3.177,-0.212,0
3.133,0.656,0.117,0
0.515,2.151,-0.176,0
0.129,0.546,0.53,0
0.273,1.758,0.332,0
0.145,0.895,-0.761,0
1.607,2.311,0.222,0
0.388,0.855,-0.636,0
0.071,0.312,0.439,0
2.793,0.551,0.686,0
0.96,0.712,0.091,0
0.237,1.009,-0.848,0
0.121,0.325,0.874,0
0.291,1.161,0.877,0
2.182,0.987,0.135,0
0.18,0.836,1.056,0
0.526,2.17,0.348,0
0.331,1.72,0.3,0
2.601,0.422,-0.08,0
0.149,0.355,1.416,0
0.341,1.007,-0.772,0
0.239,0.883,-0.735,0
0.043,0.276,-0.545,0
0.693,1.713,-0.221,0
0.561,3.107,0.303,0
1.007,2.845,0.422,0
3.24,0.43,-0.19,0
0.477,3.228,-0.288,0
0.154,0.532,1.668,0
1.246,2.402,-0.18,0
0.716,1.75,-0.226,0
1.408,1.792,-0.124,0
3.438,0.434,0.618,0
0.118,0.263,1.373,0
2.061,1.922,0.174,0
2.433,0.617,1.041,0
2.836,0.582,0.178,0
0.403,2.671,0.357,0
0.053,0.203,0.483,0
3.229,0.401,0.717,0
0.743,0.576,1.092,0
0.934,3.018,0.233,0
0.666,3.208,-0.23,0
0.104,0.508,0,0
2.479,0.616,-0.064,0
1.878,0.892,1.61,0
0.723,0.723,-0.667,0
0.409,1.351,0.873,0
0.626,2.317,0.411,0
0.195,1.537,0.581,0
0.367,2.259,-0.148,0
0.193,2.092,-0.462,0
0.173,0.375,-0.324,0
2.377,0.65,-0.071,0
1.219,2.015,-0.187,0
0.235,1.178,-0.725,0
0.081,0.309,-0.697,0
0.189,1.102,-0.87,0
0.52,3.048,0.453,0
0.283,1.261,-0.77,0
1.301,2.515,0.553,0
0.109,0.593,1.118,0
1.509,1.113,-0.076,0
2.185,0.637,0.104,0
0.241,1.884,0.272,0
3.294,0.435,0.089,0
0.221,0.609,0.71,0
0.284,1.381,-0.147,0
