@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6'

@attribute Ao numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.272,2.656,-0.467,0
1.748,0.634,0,0
1.054,1.372,1.77,1
1.36,1.986,0.497,0
2.581,-0.595,-0.123,0
0.917,1.435,-0.762,1
2.225,-0.291,-0.107,0
2.394,1.358,0,0
0.659,1.048,-0.904,1
0.961,1.468,1.339,1
1.09,2.044,1.043,1
2.937,-0.498,-0.159,0
1.13,2.209,-0.323,0
-0.837,-0.266,-0.086,0
0.616,1.451,0,0
1.996,-0.359,0.141,0
0.474,1.643,-0.624,1
0.727,0.677,1.49,0
0.479,1.833,-0.387,1
1.067,0.443,0.444,0
0.453,1.053,-0.71,0
0.638,0.498,1.219,1
1.07,0.359,-0.051,0
0.615,1.981,0.457,1
1.064,2.302,-0.354,0
0.556,-0.683,0,0
2.074,-0.336,-0.135,0
0.994,0.745,-0.079,0
1.599,0.712,-0.11,0
1.163,-0.272,-0.06,0
3.296,-0.554,0.378,1
2.885,1.008,0,0
0.316,0.492,0,0
0.479,-0.134,0.082,0
0.828,0.178,0.159,0
0.551,1.96,1.59,1
1.473,1.911,1.298,1
3.056,-0.609,-0.271,0
2.717,1.521,-0.173,1
0.362,-0.1,0.052,0
0.439,0.159,-0.139,0
0.567,2.562,0.398,0
0.577,0.988,0,1
1.923,-0.27,-0.07,0
0.645,0.797,0.977,0
1.087,2.791,-0.381,0
0.387,0.835,0,1
1.13,2.504,-0.344,1
0.493,-0.116,-0.041,0
1.254,1.206,-0.215,0
1.411,-0.23,-0.08,0
0.521,1.084,-0.096,0
0.582,-0.107,-0.038,0
2.463,-0.334,-0.103,0
1.385,1.342,-0.204,0
1.783,2.053,-0.25,0
2.741,0.944,-0.141,0
0.889,-0.175,-0.076,0
0.356,0.591,1.424,0
1.213,0.769,0.786,1
2.703,1.06,-0.229,0
0.542,1.528,0.478,1
2.574,2.009,-0.177,1
2.782,-0.427,-0.138,0
0.985,1.236,1.783,1
2.536,-0.536,-0.288,0
1.011,2.131,0.832,1
0.312,0.314,0.922,1
0.698,0.508,0,1
0.412,0.517,0,1
0.593,1.21,0,0
2.585,-0.676,-0.3,0
0.66,2.966,0.462,1
1.025,2.406,0.429,0
1.749,-0.395,-0.12,0
-0.331,-0.158,0.064,0
-0.39,-0.636,0,1
0.693,0.294,1.322,1
2.136,0.629,-0.191,0
0.377,-0.111,-0.055,0
1.235,2.536,-0.358,0
3.435,-0.592,-0.165,0
0.721,1.903,1.565,1
3.212,-0.483,-0.146,0
1.148,2.217,0.628,0
2.561,1.097,0,0
1.666,1.496,-0.607,1
0.791,0.893,0.563,1
0.728,-0.13,0.121,0
1.457,0.509,0.797,0
0.78,0.363,0.533,0
0.549,0.782,-0.534,0
1.758,0.817,0.162,0
1.629,1.45,0.387,0
0.853,-0.161,-0.048,0
0.951,0.729,-0.126,0
2.209,-0.336,0.106,0
0.741,1.895,-0.372,0
1.653,-0.345,-0.084,0
1.882,-0.37,-0.102,0
2.79,-0.414,-0.225,0
1.209,2.637,0,0
0.591,1.458,1.286,1
0.695,1.079,-0.635,1
1.626,0.78,0.394,0
0.281,0.389,1.464,0
0.49,0.812,-0.561,0
0.283,0.143,-0.064,0
0.519,0.724,-0.758,0
-0.709,-1.258,-0.58,1
2.052,-0.397,0.114,0
0.475,0.468,0,0
2.457,-0.353,0.158,0
2.348,1.569,-0.173,0
1.176,0.888,0,1
0.806,2.461,-0.458,0
1.017,2.191,0,0
2.149,-0.308,0.738,0
0.573,1.504,0,0
0.529,-0.143,-0.064,0
1.211,0.488,0,1
1.623,-0.435,-0.093,0
-0.347,0.154,0.071,0
1.512,0.929,0.63,1
0.249,-0.072,-0.074,0
0.351,0.358,1.371,1
2.408,-0.476,1.087,0
2.174,-0.488,0,0
0.311,0.43,1.135,0
1.277,1.865,0,0
0.954,-0.135,0.083,0
0.332,0.196,0.108,0
0.685,0.936,-0.9,1
0.23,0.244,0,0
1.656,0.464,0,0
0.661,-0.15,-0.036,0
1.835,0.751,-0.161,0
0.408,0.536,-0.833,0
1.2,1.508,0,0
-0.242,0.209,-0.095,0
1.328,-0.829,0.194,0
0.44,-0.51,-0.752,0
3.32,-0.579,-0.151,0
0.605,1.485,0,1
1.762,1.66,0,0
0.914,2.53,-0.314,0
0.408,0.771,0,1
1.677,-0.381,0.106,0
1.283,0.315,0.078,0
1.765,1.198,1.245,0
0.594,0.877,-0.706,0
0.458,0.662,-1.284,1
0.309,-0.153,-0.13,0
0.368,0.597,0,0
1.333,1.895,0,1
3.262,-0.709,-0.211,0
0.929,2.174,-0.46,0
1.473,-0.26,0,0
0.795,1.715,0.562,1
2.69,-0.413,0.813,0
0.453,0.788,-0.904,1
3.147,-0.605,-0.331,0
2.093,1.121,-0.448,0
0.519,-0.115,-0.076,0
1.625,-0.264,0,0
1.692,1.53,1.131,1
1.52,-0.264,-0.08,0
0.896,1.934,0,1
1.932,1.163,-0.29,0
2.389,0.797,0.19,0
-0.217,0.213,-0.092,0
1.576,1.853,-0.264,0
1.681,-0.546,-0.174,0
1.034,2.5,0,0
1.929,1.524,-0.122,1
3.424,-0.563,-0.152,0
0.659,1.591,0.7,0
0.299,-0.098,-0.061,0
1.258,0.308,0.072,0
0.406,0.625,1.572,1
0.707,-0.111,0.063,0
1.248,1.135,0,0
1.067,1.741,0,0
0.644,3.005,0.52,1
1.385,1.795,-0.283,0
1.778,-0.43,0.108,0
1.879,1.856,0,0
1.52,1.042,1.255,1
0.443,0.755,0.758,1
0.461,0.21,-0.066,0
1.125,0.832,-0.518,1
-0.319,0.408,-0.111,0
3.256,-0.436,0.322,0
1.182,2.417,1.29,0
1.094,2.569,-0.416,0
1.784,1.217,-0.284,0
-0.688,-0.404,-0.836,0
0.528,0.131,0.06,0
1.035,1.066,0,1
1.88,-0.445,-0.118,0
2.927,-0.502,0.594,0
3.092,-0.538,0.337,0
0.62,1.462,0,1
1.113,-0.166,0.069,0
0.591,-0.148,-0.057,0
1.414,1.1,-0.593,1
1.01,0.396,0.561,0
1.187,2.52,1.263,0
0.618,1.494,1.451,1
0.551,0.577,0.401,0
1.039,0.479,-0.163,0
0.333,0.158,0.056,0
0.822,2.42,1.277,1
0.61,0.518,1.297,1
0.614,1.015,-0.091,0
2.52,0.978,-0.173,0
0.796,1.385,-0.639,1
0.996,2.144,0,0
0.997,-0.15,-0.063,0
0.51,-0.151,-0.06,0
0.268,0.467,-1.052,0
0.874,2.555,1.181,1
1.294,0.847,-0.415,0
0.758,0.135,-0.177,0
2.259,-0.319,-0.081,0
2.373,-0.342,0.307,0
2.194,1.666,-0.145,1
1.304,2.382,-0.416,0
0.332,0.424,1.923,1
2.511,-0.373,-0.341,0
0.629,1.525,0,1
0.442,0.52,0,0
0.794,0.66,0,1
2.257,-0.443,-0.246,0
1.247,1.442,-0.184,0
0.984,0.623,0.869,1
2.921,-0.637,0,0
0.788,0.794,0,0
1.933,-0.43,0.774,0
0.603,0.156,-0.163,0
0.407,0.855,-0.792,0
1.57,-0.413,-0.099,0
0.351,0.358,1.371,1
0.57,1.064,-0.094,0
2.481,-0.485,-0.14,0
1.892,0.585,0.742,0
1.016,3.155,-0.363,0
3.327,-0.623,-0.164,0
0.557,0.706,-0.625,0
2.512,-0.492,-0.411,0
2.546,1.536,0,0
2.3,-0.574,-0.19,0
0.327,0.37,0.063,0
2.046,0.955,-0.456,1
0.736,1.614,1.062,0
2.302,-0.432,-0.117,0
0.509,1.485,1.757,1
0.6,1.39,1.392,1
1.384,-0.238,-0.051,0
0.9,0.781,-0.814,1
0.973,1.448,-0.351,1
2.481,1.733,-0.215,0
1.277,2.28,0,0
1.542,1.83,-0.478,1
0.293,0.61,0.929,1
0.618,2.516,0.418,0
2.129,1.846,0.542,0
1.999,-0.415,-0.225,0
1.865,1.31,0.994,0
0.695,-0.121,0.055,0
2.32,0.717,-0.427,0
0.523,0.539,0,1
0.768,0.899,-0.247,1
1.101,2.179,-0.56,1
2.334,-0.479,-0.109,0
0.471,-0.12,-0.049,0
0.927,1.029,-0.117,0
1.762,1.223,-0.18,0
1.72,1.373,-0.238,0
1.133,2.676,-0.438,0
0.77,0.527,0.997,1
0.376,0.261,0,0
1.336,0.326,0.12,0
0.308,0.613,1.886,1
1.684,1.279,-0.231,0
0.709,0.387,-0.129,0
1.704,-0.318,-0.079,0
3.04,-0.689,-0.183,0
2.204,-0.365,0.183,0
0.542,1.977,-0.452,0
1.483,0.646,-0.119,0
0.575,0.825,0,0
0.987,-0.24,0,0
1.744,0.552,0.156,0
0.318,0.536,-0.435,0
1.366,1.219,-0.672,1
2.265,1.085,-0.341,0
1.631,0.505,-0.263,0
0.365,0.371,1.464,0
0.548,0.239,0.286,0
0.869,1.597,-0.796,1
2.453,2.164,-0.212,1
2.681,-0.484,-0.12,0
0.276,0.423,0,0
0.858,1.924,-0.48,0
-0.229,-0.104,0.065,0
0.774,-0.207,-0.056,0
0.963,-0.431,-0.076,0
2.166,1.094,-0.172,0
0.609,1.806,1.11,0
0.82,1.56,-0.503,1
2.082,1.781,-0.172,1
1.678,0.559,0,1
0.509,1.364,-0.978,1
2.182,0.752,0.152,0
1.932,0.919,0.148,0
0.755,1.611,1.499,1
2.694,-0.586,-0.456,1
1.046,0.669,-0.332,1
2.402,1.721,-0.17,1
0.67,0.619,1.099,0
1.911,1.588,-0.123,1
2.786,0.874,-0.154,0
2.192,-0.376,0.188,0
0.142,-0.153,1.232,1
1.372,0.327,-0.067,0
2.381,1.223,0.221,1
2.578,-0.598,0.491,1
0.415,0.631,-0.632,1
0.341,0.514,0,0
0.611,1.954,-0.361,1
0.742,1.263,-0.379,1
0.753,1.175,0,0
-1.279,0.451,0,0
0.656,1.452,0.376,1
1.043,1.942,1.487,1
0.771,1.573,0,0
0.359,1.173,-0.102,0
0.624,0.444,-0.295,0
0.293,0.129,0.061,0
1.328,1.4,0,0
1.616,-0.363,0,0
1.733,1.359,0,0
1.518,3.079,-0.362,0
1.101,-0.241,-0.06,0
2.031,1.617,-0.19,0
1.215,0.822,0.89,1
1.818,0.438,-0.302,0
1.585,0.44,-0.439,0
1.443,1.052,0,0
-0.239,-0.101,-0.045,0
2.039,-0.492,-0.123,0
0.624,1.504,0.627,1
0.438,1.053,0,0
0.644,0.221,-0.116,0
1.769,0.552,-0.115,0
0.514,1.248,-0.652,0
1.813,1.245,-0.234,0
1.802,-0.275,-0.079,0
0.411,-0.117,0.066,0
1.46,-0.253,-0.25,0
1.326,0.251,-0.097,0
1.681,1.887,0.937,0
0.678,1.566,0,0
2.054,-0.432,0.223,0
1.418,1.792,0.561,0
1.424,1.878,-0.339,0
2.288,1.742,0.243,0
1.71,0.626,-0.118,0
0.627,0.716,-0.564,1
0.542,1.612,0.767,1
2.468,1.182,-0.371,1
1.64,2.633,0,0
1.167,2.054,-0.373,0
2.177,2.151,-0.311,0
0.518,0.22,1.675,1
0.328,0.534,-0.889,1
0.911,0.354,-0.293,0
0.521,0.79,1.037,1
0.636,0.731,-0.725,0
0.654,0.257,0.873,1
0.397,0.45,-0.36,1
2.281,-0.331,-0.174,0
0.349,1.192,-0.115,0
2.202,1.692,-0.182,1
0.846,0.769,0.877,1
1.536,0.369,0,0
0.474,2.098,1.547,1
0.61,-0.149,-0.049,0
1.123,1.753,-0.25,0
0.831,1.93,-0.434,0
0.682,0.799,1.867,1
2.208,0.604,-0.439,0
0.793,-0.519,-0.768,1
0.798,1.355,-1.107,1
1.761,0.45,1.599,0
1.203,2.459,-0.384,0
0.765,0.736,-0.677,1
1.251,-0.303,-0.073,0
0.889,1.878,-0.768,1
2.432,-0.495,0.186,0
2.061,-0.344,-0.115,0
0.472,0.772,0.638,1
0.362,0.661,-0.705,0
2.002,0.578,-0.355,0
0.901,0.371,0.515,0
-1.327,-0.549,0,1
