@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-3,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Dcl numeric
@attribute Class {0,1}

@data
0.279,0.99,2.555,0
1.404,1.531,0.476,0
0.532,1.963,-0.355,0
0.111,0.299,0.404,0
2.881,0.896,0.495,0
3.386,-0.301,0.136,0
0.466,2.279,1.825,0
0.423,1.781,-0.696,0
1.093,1.692,0.445,0
0.165,1.031,1.947,0
0.172,0.953,2.051,0
0.137,0.519,0.76,1
0.421,1.055,2.305,0
1.371,1.441,-0.287,0
0.424,0.745,0.766,1
1.831,2.751,-0.372,0
0.721,0.502,0.871,0
0.704,0.758,1.516,1
0.459,0.541,1.959,1
3.052,-0.233,0.162,0
0.207,0.532,0.667,0
1.658,1.367,-0.202,0
0.79,2.192,-0.436,0
0.209,0.617,0.883,1
2.307,1.995,-0.279,0
0.833,2.441,1.525,1
2.531,0.387,0.64,0
1.169,2.579,-0.529,0
0.259,1.413,0.988,0
0.186,0.487,0.289,1
0.216,1.593,1.12,0
1.155,2.218,1.672,1
1.029,1.893,0.658,0
0.152,0.52,0.92,1
0.137,0.587,1.131,1
0.546,0.449,2.054,1
0.328,1.09,2.044,1
0.266,0.478,1.972,1
3.665,0.822,-0.158,0
0.555,2.197,-0.337,0
0.976,0.857,2.104,0
3.259,0.65,0.176,0
0.656,1.465,1.766,0
0.107,0.274,0.337,0
2.141,1.604,1.045,0
1.512,2.058,0.567,0
0.608,2.771,-0.436,0
0.657,2.528,1.186,1
0.082,0.389,0.378,0
0.255,1.078,2.834,0
0.237,1.014,2.321,0
0.312,2.136,-0.335,0
0.147,0.817,1.534,0
0.305,2.821,-0.423,0
1.352,2.625,0.972,1
0.566,2.962,-0.624,0
0.422,1.875,1.571,0
1.95,1.598,0.495,0
3.041,1.383,-0.265,0
0.532,1.06,0.93,1
0.124,0.426,0.948,1
0.141,1.079,1.308,0
0.227,1.501,1.921,0
0.109,0.381,0.656,0
0.066,0.284,0.353,0
1.807,1.094,-0.191,0
0.305,1.048,1.192,1
0.271,0.811,0.913,1
1.346,2.116,-0.304,0
0.826,1.279,1.977,1
2.309,1.809,-0.363,0
2.848,0.753,1.285,0
0.142,1.051,1.96,0
1.404,1.81,-0.342,0
1.945,1.221,1.189,0
0.481,2.58,1.476,0
0.242,0.679,2.17,1
-0.083,-0.477,-1.189,0
0.49,1.113,1.751,1
0.383,1.686,0.65,0
1.91,0.496,0.188,0
0.396,0.676,3.044,1
0.346,1.786,1.235,0
0.295,0.966,1.56,1
2.982,0.346,1.35,0
-0.102,0.692,1.585,0
0.094,0.926,1.599,0
0.961,1.392,1.215,1
0.28,0.553,0.725,1
0.151,0.302,0.409,0
0.277,1.136,2.468,0
1.909,2.524,-0.418,0
0.31,0.953,1.54,1
0.316,0.742,0.73,1
1.62,2.64,-0.457,0
0.408,0.563,1.687,1
0.773,2.152,-0.639,0
0.132,0.489,1.098,0
0.705,2.407,-0.348,0
0.225,0.958,2.428,1
0.244,0.692,0.951,0
0.496,0.764,2.141,1
0.465,2.779,1.315,1
0.71,2.25,0.718,0
2.18,1.275,0.459,0
0.452,2.226,-0.355,0
0.966,2.283,0.617,0
0.573,2.555,1.523,0
0.243,1.585,1.824,0
-0.053,0.502,1.327,0
1.011,2.776,1.053,1
2.331,0.651,-0.107,0
0.881,1.289,1.726,1
0.231,1.302,1.354,0
0.109,0.451,0.87,1
1.675,1.764,1.366,0
0.145,0.384,0.491,0
0.639,0.617,1.573,1
0.267,1.687,2.051,0
1.622,1.951,-0.313,0
1.248,3.001,-0.43,0
