@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R3,5-6'

@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.493,-0.123,0
0.342,0,1
1.454,-0.716,1
-0.387,0.09,0
2.176,-0.327,0
0.991,0,0
-0.639,0,0
2.908,0.391,0
1.261,0.648,1
0.82,0,0
1.232,0.785,0
0.897,0,1
-0.291,-0.256,0
1.583,-0.165,1
-0.171,0.598,0
0.224,-0.088,0
2.024,-0.271,0
1.753,0,0
0.945,0.204,0
0.631,-0.896,1
1.297,-0.536,0
0.365,1.151,0
2.233,-0.281,0
0.359,-0.062,0
-0.52,-0.12,0
-0.479,0,0
-0.248,0.11,0
0.46,1.794,0
-0.297,1.903,0
-0.124,0.071,0
-0.106,-0.051,0
1.608,0.689,1
-0.391,-0.089,0
0.989,0,0
-0.408,-0.084,0
1.362,0,1
0.893,-0.507,0
1.497,0,0
-0.802,-0.32,0
0.124,0.063,0
0.871,0,1
1.072,-0.289,0
1.435,-0.349,1
0.22,0.565,0
2.099,0.405,0
-0.247,-0.066,0
2.194,0.616,0
2.296,-0.258,0
1.647,0.704,0
1.268,-0.631,0
0.812,0,0
0.719,0,0
-0.711,0.197,0
0.452,-0.225,0
1.537,-0.208,1
1.435,-0.107,0
-0.417,0.156,0
1.791,-0.159,1
-0.707,0.484,0
1.637,0.991,1
2.187,-0.49,1
1.145,-0.212,0
1.221,0,1
0.622,-0.102,0
-0.334,-0.129,0
0.799,-0.462,1
2.488,0.714,1
-0.381,0.163,0
0.683,0,1
-0.182,0.111,0
0.685,-1.012,1
0.269,0,1
0.573,0.341,0
0.887,0,1
0.643,0,0
2.079,-0.161,0
1.339,-0.671,0
-0.284,-0.097,0
-0.525,0.332,0
-0.604,-0.356,0
2.683,-0.426,0
0.192,-0.05,0
1.237,0.636,1
0.751,0.199,0
0.215,-0.085,0
2.493,0,0
-0.608,0,0
0.228,-0.078,0
1.659,0.854,1
1.691,-0.347,0
0.665,0.674,1
-0.364,0,0
-0.44,0.165,0
0.337,1.571,0
2.077,0,1
2.082,-0.305,0
1.712,0.925,0
0.875,1.482,0
2.757,0,0
-0.677,1.361,0
0.75,0.325,1
0.893,0,0
1.336,0.732,1
0.165,1.005,1
0.64,-0.178,0
-0.09,-0.04,0
-0.358,0.272,0
0.89,1.266,1
-0.42,0.619,0
-0.574,0.168,0
0.709,0.357,0
2.289,0,0
0.354,0.556,0
2.831,-0.366,0
-0.204,-0.063,0
0.592,0,1
0.659,-0.11,0
-0.475,-0.147,0
1.726,-0.229,0
1.23,1.141,0
-0.484,-0.116,0
1.602,-0.178,1
0.942,-0.795,1
1.385,0.688,1
-0.147,0.08,0
1.68,-0.146,0
0.631,0,1
-0.276,0.105,0
-0.661,-0.139,0
-0.563,0.19,0
1.911,-0.597,0
0.736,0,1
-0.535,0.149,0
0.612,-0.129,0
1.216,1.977,1
0.805,-1.064,1
-0.269,0.086,0
1.8,0.401,1
1.527,-0.816,1
-0.494,-0.227,0
1.833,0.846,1
-0.428,-0.139,0
1.549,-0.474,0
0.508,-0.135,0
0.913,1.283,1
-0.622,-0.145,0
0.841,-0.414,1
0.61,-0.794,0
-0.144,0.119,0
1.822,0,0
0.747,0,1
-0.614,-0.178,0
0.827,0.478,0
2.163,-0.398,0
-0.521,0.166,0
1.476,1.941,1
1.022,-0.477,1
-0.424,0.399,0
0.6,-0.119,0
-0.577,-0.272,0
1.928,1.442,1
0.193,0.171,0
0.585,0,0
0.12,0.087,0
0.735,-0.427,0
1.47,1.876,1
2.033,-0.266,0
0.68,0.826,0
-0.468,0,1
1.404,0,0
0.204,-0.04,0
0.496,1.038,0
0.619,-0.149,0
0.478,1.599,0
0.336,-0.114,0
1.63,-0.518,0
2.095,-0.313,0
1.111,-0.551,1
0.741,0,0
3.108,0,0
2.62,-0.555,0
1.543,-0.4,0
-0.433,0,0
1.494,-0.777,0
1.661,0,0
-0.112,-0.052,0
1.616,0.765,1
0.279,0.081,0
1.484,-0.313,1
0.851,-0.275,0
-0.12,-0.061,0
1.966,1.399,1
-0.184,0.077,0
1.928,0,1
1.522,-0.476,1
0.504,-0.131,0
1.292,2.049,1
-0.793,-0.202,0
1.469,-0.167,0
0.708,0,0
-0.208,0.087,0
1.359,-0.126,0
1.422,1.748,1
-0.428,-0.181,0
1.125,0,0
-0.517,-0.178,1
0.572,0.341,0
-0.471,-0.391,0
1.197,1.378,1
-0.274,-0.06,0
0.428,0,0
0.693,-0.804,1
-0.091,0.073,0
0.494,1.522,1
-0.122,-0.051,0
-0.132,0.106,0
2.311,-0.228,1
0.563,0,0
-0.448,0,1
1.605,-0.131,0
0.836,0,1
0.666,0.707,0
1.509,-0.272,0
1.048,-0.158,0
1.529,1.95,1
0.828,0,1
0.256,0.2,0
1.385,-0.912,0
2.004,0,1
-0.421,0.239,0
-0.242,-0.069,0
1.581,0.583,1
-0.243,0,0
-0.359,0.175,0
2.317,1.411,1
-0.451,-0.213,0
0.8,0.776,1
0.296,-0.166,0
-0.78,-0.315,0
-0.12,0.081,0
-0.193,-0.1,0
2.491,0.758,1
1.85,0.436,0
0.152,-0.158,0
0.743,1.1,1
1.713,0.487,0
-0.347,0.181,0
1.548,-0.757,1
0.61,1.497,1
1.886,-0.393,0
0.909,-0.476,1
-0.332,0.102,0
2.473,1.537,1
1.574,-0.164,0
-0.102,-0.052,0
0.231,-0.049,0
2.839,-0.249,1
0.316,-0.141,0
0.504,-0.081,0
1.803,-0.646,1
-0.349,-0.072,0
1.896,0,1
1.927,-0.636,1
0.693,-0.668,1
-0.577,-0.272,0
-0.15,0.198,0
2.337,0,0
2.48,-0.38,0
0.881,1.014,1
-0.28,-0.067,0
-0.16,0.066,0
0.772,-0.208,0
-0.362,0,0
-0.247,0.107,0
0.826,-0.635,1
0.537,-0.415,0
2.106,-0.519,1
-0.26,0.091,0
2.141,-0.275,0
1.298,-0.499,1
-0.487,-0.206,0
2.246,-0.441,0
2.928,-0.491,1
1.185,-0.195,0
-0.475,0.355,0
0.34,0,0
0.256,-0.183,0
-0.357,-0.073,0
-0.291,0,0
0.716,-0.564,1
-0.575,-0.163,0
1.669,-0.203,1
1.364,-0.193,0
0.947,0,1
1.056,1.462,1
1.412,0,0
-0.294,0,0
0.743,1.056,0
-0.666,0,1
-0.225,-0.059,0
-0.486,0.284,0
-0.791,0.217,0
1.497,-0.482,0
1.004,0,0
0.211,-0.076,0
2.646,0.382,0
-0.537,0,1
1.325,-0.183,1
-0.484,0.581,0
2.042,-0.447,0
0.845,-0.158,0
0.364,-0.06,0
-0.283,-0.075,0
0.3,-0.065,0
1.717,-0.247,1
2.085,0,0
1.752,-0.229,1
-0.095,0.047,0
1.25,-0.496,1
2.21,-0.289,0
1.342,-0.158,1
0.571,0,0
-0.57,1.274,1
-0.485,0.343,0
0.578,0.206,0
2.066,0.797,1
0.551,0.978,1
2.062,1.114,0
0.796,0.201,0
-0.263,0.269,0
1.384,0.304,0
2.365,-0.329,0
1.589,2.106,1
-0.257,-0.071,0
1.554,-0.364,0
0.582,-0.626,0
0.627,0,0
0.588,0,0
-0.413,-0.078,0
0.849,0.824,1
2.988,-0.349,0
-0.388,-0.094,0
0.535,0,0
-0.507,0.834,0
-0.693,0,0
2.318,-0.291,0
-0.539,-0.144,0
2.589,-0.544,0
1.639,1.817,1
-0.581,1.145,1
0.443,-0.792,0
1.83,-0.552,1
-0.131,-0.072,0
1.959,-0.714,1
-0.168,-0.093,0
1.127,0.554,1
2.263,0.401,0
0.932,0,0
0.733,0,1
0.611,-0.135,0
-0.289,-0.103,0
0.865,-0.118,0
-0.254,0.103,0
0.523,0.982,1
-0.132,0.119,0
0.835,0.997,1
1.448,-0.546,0
-0.113,0.082,0
1.431,-0.232,0
-0.449,-0.132,0
-0.374,0.161,0
0.354,0.077,0
2.33,-0.283,0
0.524,0,1
1.102,-0.167,0
0.683,-0.645,1
-0.401,1.167,0
-0.67,0,0
0.35,0.131,0
-0.637,-0.15,0
2.259,0,0
1.02,-0.746,0
1.694,1.587,1
1.433,1.467,1
2.314,-0.284,1
-0.418,-0.091,0
-0.419,-0.265,0
-0.374,0.183,0
-0.185,0.104,0
-0.747,-0.389,1
-0.134,-0.065,0
-0.421,0.83,0
1.892,-0.571,0
1.718,0.681,1
0.431,0.982,0
2.13,0.485,1
-0.657,-0.19,0
0.499,-0.125,0
-0.475,0.303,0
-0.117,0.063,0
0.229,-0.375,0
1.78,-0.361,0
1.424,0,0
0.946,0.64,1
-0.385,-0.124,0
0.891,0,1
0.864,1.072,0
1.173,1.314,0
1.24,-0.192,0
2.206,0.587,1
-0.209,-0.148,0
-0.369,0,0
-0.35,-0.126,0
0.189,-0.143,0
1.205,1.525,1
-0.343,1.409,0
0.747,0.124,0
-0.523,-0.101,0
1.411,-0.389,1
1.926,-0.528,1
0.479,0,0
-0.44,0.716,0
0.8,0,1
-0.41,-0.434,0
1.039,-0.242,1
1.643,-0.2,0
2.284,-0.185,0
-0.1,0.056,0
-0.11,-0.061,0
3.109,-0.36,0
1.614,-0.515,1
-0.313,-0.322,0
0.888,-0.735,1
-0.259,0.09,0
-0.37,-0.079,0
0.701,-0.329,1
-0.418,-0.188,0
-0.373,-0.18,0
-0.741,0.186,0
0.303,0,1
2.218,0.329,0
0.939,-0.52,1
2.859,0,0
0.801,-0.089,0
0.508,-0.135,0
1.926,-0.636,1
-0.531,-0.103,0
0.222,0.053,0
-0.49,-0.12,0
1.755,1.422,1
1.42,0,0
2.761,0.651,0
1.646,0,0
1.807,0.647,1
2.157,0,0
1.03,0,1
1.634,-0.388,0
0.327,0.062,0
0.533,1.699,1
1.551,1.704,1
0.598,-0.645,0
0.858,1.212,1
1.087,0.385,0
1.742,-0.138,1
0.811,-0.411,1
2.018,0.715,0
1.154,-1.064,1
-0.213,0.088,0
0.829,-0.4,0
0.735,1.132,0
1.702,-0.505,1
0.714,0.58,1
-0.525,0.157,0
1.518,-0.233,0
0.738,0.191,0
2.213,-0.372,1
0.245,-0.227,0
0.444,-0.226,0
0.535,0.285,0
-0.352,-0.224,0
1.58,-0.204,0
-0.151,0.081,0
0.21,-0.065,0
0.624,0.548,1
0.329,-0.075,0
-0.366,0.511,0
0.295,0,0
-0.338,-0.081,0
-0.433,-0.482,0
-0.586,0.159,0
-0.21,-0.062,0
1.704,-0.26,1
2.133,0.541,0
-0.49,0,0
0.414,0,0
