@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.567,1.3,0.559,0
0.303,0.474,-0.811,1
1.039,1.699,-0.168,1
0.6,2.477,-0.272,1
0.648,1.064,0,0
0.125,0.795,0,1
0.362,1.513,0.52,1
0.155,0.49,0,0
0.105,0.326,0,1
0.82,0.492,-0.19,0
0.734,1.387,0.451,1
0.887,0.646,1.125,0
3.177,-0.111,-0.074,0
1.901,0.188,-0.152,0
0.184,0.514,1.106,1
0.302,2.031,1.408,1
3.698,-0.109,-0.042,0
0.079,0.403,1.638,0
0.209,0.654,0,1
0.324,1.098,-0.86,1
0.389,-0.499,-0.136,0
1.328,-0.489,0.256,0
1.314,-0.441,1.019,0
0.486,0.534,1.164,1
1.128,-0.156,0,0
0.231,1.314,-0.253,0
0.586,-0.62,-0.166,0
0.212,0.848,-0.437,0
0.28,0.725,-0.783,1
0.19,2.322,-0.279,0
0.136,-0.584,0,1
0.71,-0.393,0.662,0
0.454,1.472,-0.397,1
0.369,1.405,-0.313,1
0.302,2.528,-0.52,1
0.449,-0.309,-0.09,0
0.319,2.416,0,0
1.051,-0.427,-0.132,0
0.744,0.909,0.231,0
1.972,-0.411,0.2,0
0.352,1.638,-0.535,0
0.505,2.448,-0.321,0
0.132,0.442,1.078,1
0.436,0.964,-0.968,0
0.332,0.901,-0.568,1
1.188,-0.47,0.39,0
2.222,0.352,-0.095,0
1.214,-0.243,0.1,0
0.77,-0.402,0.163,0
0.27,1.827,-0.456,0
3.325,-0.133,-0.056,0
0.152,0.45,1.78,0
1.204,0.25,0.122,0
0.081,0.265,0,1
0.179,1.166,0,0
0.646,1.547,0.72,1
0.288,1.916,0,0
0.847,0.516,-0.322,0
1.052,-0.433,0.744,0
0.143,0.869,-0.817,1
0.399,-0.509,-0.141,0
0.103,0.986,0,0
0.432,1.246,2.116,1
2.321,0.503,-0.375,0
0.199,1.436,1.315,1
0.851,0.903,0.634,1
1.21,0.896,0.301,0
1.509,0.56,-0.407,0
1.144,-0.415,-0.104,0
0.613,1.877,-0.302,1
0.103,0.979,-0.879,1
0.593,1.393,-0.151,0
2.063,-0.091,-0.052,0
0.273,-0.421,1.47,0
0.12,-1.064,-1.019,0
0.285,0.953,0,1
2.089,-0.1,0.065,0
0.128,1.368,0,0
2.163,0.376,-0.06,0
0.257,0.932,-0.291,0
1.007,-0.424,0.617,0
0.088,0.697,0,0
0.456,2.206,0,0
0.103,0.718,1.311,1
2.898,0.12,-0.06,0
0.412,-0.606,-0.159,0
0.278,-0.855,-0.699,1
2.203,0.462,-0.235,0
0.528,-0.664,-0.186,0
0.098,0.508,0,0
3.133,0.181,-0.067,0
1.515,-0.152,0.068,0
0.657,0.812,-0.561,0
1.482,0.795,0.318,0
1.312,0.337,-0.075,0
0.518,1.335,2.015,1
0.312,1.058,0,1
0.441,0.847,0,0
0.475,-0.677,-0.149,0
0.334,0.99,-0.201,0
2.654,0.396,0.218,0
0.666,1.334,-0.502,0
0.269,1.144,0.338,0
0.796,1.334,-0.653,0
0.221,1.834,-0.266,0
2.981,-0.134,-0.058,0
0.231,1.375,-0.198,1
0.762,0.5,-0.081,0
0.495,-0.38,-0.088,0
0.898,-0.344,0,0
0.425,-0.423,0.178,0
2.314,-0.091,0.048,0
0.369,0.828,0,0
0.718,-0.316,0.12,0
0.215,0.602,0,0
0.626,0.601,-0.316,0
0.36,2.035,1.627,1
1.157,-0.426,0.552,0
0.414,1.4,-0.458,0
0.499,-0.659,0.313,1
0.4,1.809,0.799,1
0.359,1.358,0.838,0
3.043,0.15,-0.053,0
0.126,0.408,1.24,1
1.533,-0.416,-0.578,1
2.242,-0.148,-0.056,0
0.611,2.296,-0.255,1
0.161,0.821,-0.676,0
0.658,1.368,1.151,1
3.598,-0.143,-0.054,0
0.89,-0.319,0.09,0
0.715,-0.493,1.049,0
1.009,-0.405,1.02,0
0.186,0.9,-0.495,0
0.119,0.531,2.261,0
0.226,2.81,-0.392,1
0.445,1.472,1.207,1
2.938,1.369,-0.131,0
0.838,1.82,0.428,1
0.133,1.141,0.826,0
0.344,2.403,-0.41,0
0.936,1.747,-0.145,0
2.866,0.379,-0.256,0
0.691,2.021,-0.683,1
3.059,-0.104,-0.051,0
0.627,-0.475,0.372,0
2.585,-0.133,0.119,0
0.138,0.451,0,0
1.058,1.66,-0.444,1
0.865,1.29,-0.22,0
0.167,1.922,0,0
0.562,1.647,0.918,1
0.468,-0.455,-0.121,0
1.057,-0.132,0.076,0
0.683,-0.355,-0.257,0
0.462,0.884,0.242,0
0.25,0.711,0,0
2.935,-0.109,0.063,0
0.255,2.106,-0.365,0
0.259,0.601,1.546,0
0.415,-0.637,0.885,0
0.603,0.961,-0.361,1
1.932,-0.324,-0.329,0
0.666,-0.503,0.349,0
0.335,0.587,-1.04,1
0.516,0.935,-0.709,1
0.749,-0.321,0.079,0
3.576,-0.124,-0.065,0
0.815,0.194,0.084,0
1.251,-0.18,0,0
1.081,-0.267,0.103,0
0.159,1.377,-0.178,0
0.345,1.718,-0.712,1
1.622,-0.202,0.151,0
0.907,0.617,-0.13,0
1.558,-0.087,0.062,0
2.315,-0.138,0.098,0
1.696,-0.27,0.158,0
0.662,1.825,-0.239,0
0.381,1.96,0.648,0
2.606,-0.133,0.108,0
0.434,0.882,1.251,0
0.553,0.948,0.192,0
0.098,1.126,0,0
2.174,-0.128,0.076,0
2.545,-0.103,0.062,0
1.838,-0.084,0.062,0
1.158,-0.194,0.061,0
0.811,0.834,-0.433,0
0.928,-0.43,-0.284,1
1.405,-0.447,0.299,0
0.89,-0.527,0.154,0
2.328,-0.112,-0.051,0
1.839,0.208,-0.075,0
3.266,0.174,-0.117,0
0.305,1.172,-0.814,1
0.383,0.687,0,0
0.514,-0.549,0.132,0
2.533,0.133,-0.064,0
0.344,0.948,0.459,0
0.29,1.73,0,0
0.54,-0.665,0,0
0.119,0.629,-0.659,0
0.332,1.262,0,0
0.453,2.064,0.375,0
0.49,-1.086,-0.785,1
0.337,0.578,0.113,0
0.448,1.287,2.068,1
0.726,0.354,0.069,0
1.126,0.327,-0.176,0
0.156,1.158,-0.214,0
0.516,1.204,-0.176,0
0.207,0.664,-0.786,1
2.493,0.189,0.102,0
0.296,1.457,-0.317,0
2.453,0.384,0.429,0
0.257,1.962,0.547,0
0.525,1.83,-0.479,1
0.562,-0.641,-0.188,0
0.832,-0.452,-0.13,0
0.16,-1.3,-0.354,1
0.228,1.297,-0.219,0
