@relation phoneme

@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
-0.298,-0.102,0
-0.319,-0.081,0
0.601,-0.329,0
-0.414,0.166,0
0.835,1.956,0
0.229,-0.375,0
1.646,0,0
1.783,0,0
-0.332,-0.103,0
-0.115,0.066,0
-0.293,0.114,0
1.698,-0.513,0
0.384,-0.275,0
2.176,-0.352,0
-0.104,-0.046,0
-0.525,0.157,0
1.24,0.192,0
0.561,-0.46,0
-0.577,-0.272,0
0.622,-0.101,0
-0.637,0,0
2.238,0.544,0
1.48,-0.188,0
2.474,-0.307,0
-0.299,-0.16,0
1.342,0,0
1.712,0.925,0
-0.546,-0.174,0
-0.599,1.298,0
0.509,0,0
0.388,0,0
2.731,-0.413,0
0.163,-0.124,0
-0.579,-0.151,0
0.273,-0.08,0
0.192,-0.051,0
2.32,-0.359,0
0.192,0.085,0
-0.793,-0.202,0
-0.238,-0.058,0
1.04,0,0
0.933,0.355,0
0.668,0,0
2.22,0,0
-0.117,0.063,0
-0.485,0.343,0
0.514,0,0
-0.272,-0.06,0
1.647,0.704,0
0.587,-0.769,0
0.369,-0.137,0
1.768,-0.322,0
0.545,-0.139,0
-0.665,0,0
-0.419,-0.104,0
2.304,-0.191,0
-0.387,0.181,0
0.97,-0.601,0
1.331,-0.164,0
1.178,0,0
1.189,-0.189,0
0.176,-0.066,0
0.246,-0.101,0
-0.439,-0.455,0
1.114,-0.153,0
-0.428,-0.139,0
0.687,0.163,0
2.468,-0.41,0
-0.543,-0.121,0
-0.281,0.2,0
0.135,-0.2,0
0.433,-0.391,0
0.378,1.555,0
1.85,-0.233,0
-0.595,-0.123,0
0.313,-0.218,0
1.4,0,0
1.185,-0.195,0
-0.128,0.065,0
-0.44,-0.308,0
-0.424,0,0
1.05,0,0
-0.561,0,0
0.254,-0.089,0
-0.15,-0.063,0
0.755,1.173,0
0.261,-0.067,0
-0.664,-0.186,0
0.286,-0.391,0
-0.35,-0.126,0
0.997,-0.154,0
0.12,-0.173,0
-0.329,-0.15,0
1.317,-0.655,0
0.404,2.13,0
-0.12,-0.049,0
2.051,0.573,0
0.189,0.102,0
0.155,0.107,0
1.468,0,0
-0.48,-0.163,0
-0.604,-0.356,0
0.626,0,0
-0.364,0,0
