@relation australian

@attribute A1 {0,1}
@attribute A3 numeric
@attribute A4 {1,2,3}
@attribute A8 {0,1}
@attribute A9 {0,1}
@attribute A13 numeric
@attribute A14 numeric
@attribute Class {0,1}

@data
0,4,2,0,0,480,1,0
1,5,2,0,0,141,1,0
1,5,1,1,0,0,1,0
0,8125,1,0,1,184,19,0
1,35,2,1,1,329,1,0
1,75,1,0,0,240,1,0
1,585,2,0,0,145,1,0
1,835,2,1,0,200,1,0
1,55,2,0,0,210,688,0
0,175,1,0,0,132,1,0
0,5,1,0,0,260,1,0
0,1125,2,0,0,184,5201,0
1,25,2,0,1,160,9,0
0,665,1,0,1,2000,3,0
1,9,2,0,0,0,1,0
0,25,1,0,0,0,3,0
1,375,2,1,0,928,1,0
1,1625,2,0,0,0,317,0
1,12,2,1,1,120,6,0
0,0,1,0,0,86,1,0
1,14,1,0,1,160,2,0
1,171,1,0,0,400,1,0
1,1025,2,0,0,320,14,0
1,35,2,0,0,216,1,0
0,4585,2,0,0,240,1,0
1,29,2,0,0,280,365,0
1,13335,1,0,0,120,476,0
1,165,2,0,0,280,1,0
1,10915,2,0,1,200,8,0
1,7835,1,0,0,184,1,0
1,25,2,0,0,348,1,0
1,1585,2,0,0,0,1,0
1,475,2,0,1,460,69,0
0,708,2,1,1,100,51,0
1,25,2,0,0,340,1,0
0,2415,1,0,0,120,1,0
1,1,2,0,0,280,1,0
1,3165,1,0,1,280,81,0
1,5,2,0,0,550,1,0
1,125,1,1,1,140,211,0
1,175,1,0,0,112,7,0
1,15,1,1,0,100,21,0
1,5,2,1,1,0,39,0
1,26335,1,1,0,0,1,0
1,125,2,0,0,110,1,0
1,179,2,0,0,136,2,0
1,1029,2,0,0,80,1,0
1,175,2,1,0,160,1,0
1,115,2,1,0,100,69,0
1,175,2,0,0,300,3,0
1,5,2,0,1,17,2,0
1,25,2,0,0,200,1,0
0,375,2,0,1,40,155,0
0,15,2,1,0,100,28,0
1,375,2,0,0,220,141,0
1,446,2,0,0,80,1,0
0,585,1,0,0,120,88,0
0,25,1,0,0,200,457,0
1,125,2,1,0,260,1,0
1,85,1,0,0,140,723,0
1,19,1,0,1,0,352,0
0,29,2,0,1,200,19,0
0,15,2,1,0,368,1,0
0,75,2,1,1,212,1,0
