@relation 'australian-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,8-9,13-15'

@attribute A1 {0,1}
@attribute A3 numeric
@attribute A4 {1,2,3}
@attribute A8 {0,1}
@attribute A9 {0,1}
@attribute A13 numeric
@attribute A14 numeric
@attribute Class {0,1}

@data
1,1146,2,0,0,100,1213,0
0,7,2,0,0,160,1,0
0,585,2,1,1,100,1,1
1,125,1,0,0,140,5,0
0,5665,2,1,1,129,3258,1
1,15,2,1,1,0,1,1
0,12,2,1,1,220,20,1
1,325,1,0,1,369,2,0
0,71,2,0,1,240,5,0
1,0,2,0,0,184,1,1
1,5,2,1,1,0,368,1
1,15,2,0,0,150,9,1
1,585,1,1,1,260,501,1
1,0,1,0,1,45,2,0
1,65,2,0,0,0,229,0
1,79,2,0,1,420,284,0
1,15,2,1,0,140,1,0
1,1585,1,1,1,80,1,1
1,4165,2,0,0,520,1,0
1,25,2,0,0,100,4209,0
0,925,1,1,1,80,501,1
1,125,1,0,0,0,196,0
1,104,2,1,0,164,31286,1
1,5085,1,0,0,140,185,0
1,5,1,1,0,180,315,1
1,2165,2,0,0,120,1,0
1,225,2,1,0,560,1,0
1,7585,2,1,1,0,5001,1
1,145,2,1,1,0,1001,1
1,154,2,0,0,216,1,1
1,125,2,0,0,120,1,0
1,75,2,0,0,320,1,0
1,25,2,0,0,210,1,0
0,335,2,1,0,252,2198,0
1,11045,2,0,0,136,1,0
1,571,2,0,0,120,1,0
1,325,2,0,1,416,22,0
0,21,2,1,1,80,100,1
0,5125,2,1,0,0,4001,1
1,2085,2,0,0,300,1,0
1,1775,2,1,0,0,1,1
1,12625,2,0,1,0,5553,0
1,155,2,1,1,152,131,0
1,4,2,1,0,0,3001,1
1,7,2,0,0,0,13,0
0,1175,2,1,1,300,552,1
1,154,2,1,0,260,1,1
1,65,2,1,0,350,1,1
1,925,2,1,1,40,29,1
0,165,2,1,0,21,10562,1
1,975,2,1,0,140,1,0
1,115,2,1,1,0,8852,1
0,1,2,1,1,167,501,0
1,83,2,0,0,128,1,1
1,14585,2,0,0,178,1,0
1,625,1,1,0,180,2,0
0,225,1,0,0,200,142,0
1,25,2,1,0,239,201,1
1,1625,2,1,1,186,4701,1
1,75,1,0,0,240,4,0
1,79,1,0,0,160,1,0
1,221,1,1,0,188,1,0
1,54,2,0,1,272,445,0
1,4085,2,0,0,120,1,0
1,25125,2,1,1,515,501,1
1,12,2,0,0,80,1,0
1,9335,2,1,1,381,169,1
0,1021,2,0,0,0,51,0
1,75,2,1,0,320,1,0
