@relation 'australian-weka.filters.unsupervised.attribute.Remove-V-R2,8,10,15'

@attribute A2 numeric
@attribute A8 {0,1}
@attribute A10 numeric
@attribute Class {0,1}

@data
4117,0,0,0
5675,1,4,1
1817,0,0,0
3233,0,0,0
2225,0,0,0
1592,0,0,0
3483,1,0,0
1842,1,0,0
5333,0,0,0
2333,1,0,1
3458,0,0,0
375,0,0,1
2267,1,0,1
3192,0,2,0
2483,1,6,1
3157,0,2,0
3667,1,10,1
5192,0,0,0
6092,1,4,1
1883,1,0,1
3157,1,3,1
3108,0,2,0
2725,1,9,1
3075,0,0,0
2083,1,0,1
2825,1,3,1
3908,1,5,1
1708,0,0,0
3858,1,14,1
295,0,0,0
27,1,0,1
3233,1,0,1
2983,0,0,0
34,1,0,0
2442,0,2,0
2308,1,9,1
2358,1,6,0
3157,1,0,0
2042,0,0,0
2525,0,1,0
3983,1,0,0
2575,1,0,1
2867,1,5,1
2042,1,3,1
3483,0,0,0
2142,0,0,0
28,0,0,0
4158,0,0,0
3325,0,0,0
45,0,0,0
2542,1,2,0
4058,0,0,0
56,1,0,1
3208,1,0,1
3825,1,0,1
205,1,0,1
4192,1,6,1
2325,1,10,1
2833,1,0,1
2858,1,0,0
245,1,3,0
2458,0,0,0
4817,1,0,1
2617,0,0,0
235,0,1,0
2608,1,0,1
3157,0,0,0
4858,1,11,1
2067,0,0,0
