@relation australian

@attribute A8 {0,1}
@attribute A14 numeric
@attribute Class {0,1}

@data
0,1,0
0,2,0
1,1,0
0,1,0
1,69,0
0,1,0
0,1,0
0,538,0
0,1,0
0,7,0
0,688,0
0,723,0
1,401,0
0,36,0
0,1,0
1,1,0
1,1,0
0,1,0
0,1,0
1,2198,0
0,2,0
0,1,0
0,317,0
0,1,0
0,7,0
1,1,0
1,1,0
0,3,0
0,1,0
1,1,0
0,1,0
0,1,0
0,42,0
0,1,0
0,2,0
0,1,0
0,1,0
0,2101,0
0,1,0
0,1,0
0,1,0
0,1,0
0,2,0
0,810,0
0,1,0
0,1,0
0,2,0
1,1,0
0,201,0
0,1,0
0,1,0
0,1211,0
0,1,0
0,4,0
0,1,0
0,1,0
1,1,0
0,2,0
0,1,0
1,1,0
0,4501,0
1,1,0
0,22,0
0,1,0
0,2,0
0,1,0
1,1,0
0,14,0
1,1,0
0,1,0
0,3,0
0,351,0
0,476,0
1,131,0
0,395,0
1,1,0
1,1,0
0,101,0
0,1,0
1,1,0
0,18,0
0,1,0
0,54,0
0,1,0
0,2011,0
0,1,0
1,1,0
0,1,0
0,287,0
0,4,0
0,1,0
0,1301,0
0,1,0
0,1,0
0,3,0
0,51,0
0,1,0
0,352,0
0,1,0
0,71,0
0,6,0
0,229,0
0,1,0
0,43,0
0,7,0
0,1,0
1,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
0,13,0
0,4,0
0,502,0
0,1,0
0,4001,0
0,2,0
0,101,0
0,19,0
0,20,0
0,1213,0
0,3,0
0,2,0
0,1,0
0,28,0
0,485,0
0,1,0
0,770,0
1,1,0
0,1,0
1,21,0
0,1,0
1,1,0
0,1,0
0,1,0
1,2,0
0,1,0
0,1,0
0,2,0
1,1,0
0,5,0
1,1,0
0,2,0
0,501,0
1,201,0
0,1,0
1,1,0
1,1,0
1,91,0
0,1,0
0,10,0
0,1,0
0,2,0
0,1,0
0,2,0
0,6,0
0,17,0
1,2,0
0,1,0
0,51,0
0,19,0
1,348,0
0,45,0
0,1,0
1,1,0
0,51,0
0,1001,0
0,9,0
1,1,0
0,1,0
0,5553,0
0,23,0
0,2,0
0,1,0
0,1,0
0,21,0
0,2,0
0,1,0
0,88,0
0,1,0
1,21,0
1,226,0
0,365,0
0,1,0
1,341,0
0,22,0
0,118,0
0,2,0
0,4001,0
0,205,0
0,2,0
0,3,0
0,1,0
0,3,0
0,1,0
0,68,0
0,1005,0
0,1,0
0,151,0
0,247,0
0,3,0
0,11,0
0,1,0
0,1,0
0,1,0
0,1,0
0,351,0
0,3,0
1,1,0
0,1,0
0,1,0
1,6,0
0,4,0
0,1,0
1,1,0
0,1,0
0,1001,0
0,1001,0
0,1,0
0,2,0
0,1,0
0,1,0
0,19,0
1,148,0
0,2,0
0,1951,0
1,1,0
1,211,0
0,1,0
1,991,0
0,8,0
0,1,0
0,127,0
1,1,0
1,1,0
0,1,0
0,1,0
0,5,0
1,1,0
1,1,0
0,109,0
0,751,0
0,141,0
0,1,0
0,1,0
0,1,0
0,1,0
1,2,0
0,56,0
1,39,0
0,588,0
1,1,0
0,1,0
0,1,0
0,113,0
0,1111,0
0,4209,0
0,1,0
0,1,0
0,26,0
1,29,0
0,1,0
0,1,0
0,1,0
0,106,0
0,33,0
0,445,0
1,1,0
1,1,0
0,161,0
0,1,0
0,1,0
0,1,0
0,6,0
0,1,0
0,180,0
0,196,0
1,501,0
0,11,0
0,2804,0
0,1,0
0,1,0
0,123,0
0,2,0
0,1,0
