@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2,4,7-8,17,19-21,23-24,26,30,36-38,41'

@attribute A2 numeric
@attribute A4 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A17 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.765,-0.68,-0.795,-0.638,-0.959,-0.83,-0.994,-1.106,-1.007,-0.737,-0.601,-1.008,-0.558,-0.9,-0.666,2
-0.858,-0.717,-0.849,-0.691,-0.955,-0.757,-0.913,-1.219,-1.012,-0.814,-0.618,-1.038,-0.692,-0.961,-0.748,2
-0.679,-0.53,-0.693,-0.559,-0.902,-0.632,-0.696,-1.133,-1.02,-0.67,-0.521,-0.926,-0.593,-0.83,-0.601,2
-0.631,-0.478,-0.659,-0.536,-0.886,-0.601,-0.657,-1.113,-1.041,-0.739,-0.58,-0.967,-0.613,-0.848,-0.624,2
-0.244,-0.09,-0.186,-0.161,-0.436,-0.378,-0.553,-0.532,-0.601,-0.278,-0.297,-0.763,-0.489,-0.504,-0.423,2
-0.7,-0.57,-0.694,-0.514,-0.858,-0.595,-0.688,-1.083,-0.894,-0.658,-0.445,-0.883,-0.434,-0.799,-0.528,2
-0.63,-0.505,-0.651,-0.459,-0.832,-0.59,-0.697,-1.072,-0.923,-0.667,-0.501,-0.934,-0.563,-0.784,-0.578,2
-0.78,-0.647,-0.779,-0.571,-0.953,-0.659,-0.753,-1.191,-0.91,-0.744,-0.521,-0.897,-0.511,-0.831,-0.533,2
-0.697,-0.569,-0.686,-0.549,-0.918,-0.761,-0.917,-1.074,-1.013,-0.712,-0.574,-1.006,-0.569,-0.766,-0.523,2
-0.936,-0.769,-0.91,-0.666,-0.988,-0.649,-0.732,-1.342,-0.986,-0.835,-0.591,-1.006,-0.651,-1.01,-0.734,2
