@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R3-6,8-10,17,21,26-28,32,34,36,38,40-41'

@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A17 numeric
@attribute A21 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A32 numeric
@attribute A34 numeric
@attribute A36 numeric
@attribute A38 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.958,-0.707,-0.619,-0.469,-0.705,-0.62,-0.988,-1.018,-1.27,-0.721,-1.027,-0.877,-0.829,-0.774,-0.688,-0.693,-0.779,2
-0.671,-0.549,-0.436,-0.362,-0.517,-0.452,-0.665,-0.951,-1.13,-0.6,-0.882,-0.75,-0.67,-0.645,-0.511,-0.549,-0.591,2
-0.674,-0.45,-0.33,-0.217,-0.466,-0.376,-0.715,-0.842,-1.265,-0.413,-0.878,-0.694,-0.726,-0.652,-0.506,-0.518,-0.489,2
-0.699,-0.538,-0.41,-0.311,-0.497,-0.409,-0.732,-0.874,-1.154,-0.402,-0.817,-0.659,-0.718,-0.656,-0.535,-0.553,-0.587,2
-0.702,-0.526,-0.399,-0.321,-0.494,-0.451,-0.809,-0.901,-1.116,-0.489,-0.814,-0.651,-0.662,-0.635,-0.524,-0.503,-0.503,2
-0.553,-0.379,-0.278,-0.22,-0.369,-0.277,-0.551,-0.767,-0.987,-0.411,-0.732,-0.61,-0.564,-0.48,-0.318,-0.374,-0.419,2
-0.671,-0.467,-0.372,-0.266,-0.431,-0.339,-0.595,-0.745,-0.992,-0.299,-0.625,-0.501,-0.571,-0.522,-0.334,-0.418,-0.431,2
-0.921,-0.698,-0.614,-0.499,-0.667,-0.592,-0.877,-0.956,-1.205,-0.65,-0.951,-0.834,-0.812,-0.783,-0.724,-0.754,-0.833,2
-0.65,-0.426,-0.316,-0.193,-0.394,-0.33,-0.684,-0.788,-1.04,-0.476,-0.745,-0.652,-0.585,-0.598,-0.513,-0.511,-0.55,2
-0.747,-0.51,-0.473,-0.385,-0.515,-0.477,-0.758,-0.859,-1.021,-0.56,-0.791,-0.706,-0.644,-0.647,-0.561,-0.584,-0.636,2
-0.734,-0.675,-0.483,-0.379,-0.608,-0.509,-0.758,-1.053,-1.322,-0.618,-1.023,-0.829,-0.827,-0.762,-0.561,-0.629,-0.623,2
-0.823,-0.47,-0.437,-0.332,-0.486,-0.462,-0.902,-0.855,-1.031,-0.588,-0.787,-0.712,-0.579,-0.581,-0.649,-0.566,-0.674,2
-0.769,-0.506,-0.482,-0.428,-0.493,-0.463,-0.751,-0.803,-0.935,-0.525,-0.732,-0.633,-0.555,-0.552,-0.663,-0.595,-0.805,2
-0.528,-0.395,-0.244,-0.116,-0.346,-0.25,-0.551,-0.734,-1.128,-0.419,-0.802,-0.655,-0.706,-0.693,-0.492,-0.566,-0.541,2
-0.663,-0.611,-0.441,-0.379,-0.524,-0.462,-0.67,-0.992,-1.254,-0.653,-0.986,-0.825,-0.806,-0.754,-0.574,-0.643,-0.663,2
-0.774,-0.627,-0.47,-0.35,-0.582,-0.487,-0.785,-0.943,-1.246,-0.495,-0.878,-0.74,-0.76,-0.683,-0.541,-0.585,-0.603,2
-0.619,-0.382,-0.352,-0.299,-0.442,-0.378,-0.623,-0.819,-1.032,-0.599,-0.813,-0.716,-0.618,-0.614,-0.551,-0.541,-0.593,2
-0.941,-0.756,-0.663,-0.57,-0.743,-0.682,-0.969,-1.029,-1.264,-0.679,-0.992,-0.872,-0.849,-0.8,-0.69,-0.733,-0.8,2
-0.689,-0.533,-0.413,-0.335,-0.509,-0.458,-0.779,-0.896,-1.186,-0.55,-0.855,-0.726,-0.707,-0.647,-0.517,-0.539,-0.564,2
-0.736,-0.611,-0.487,-0.413,-0.58,-0.529,-0.78,-0.935,-1.181,-0.554,-0.869,-0.725,-0.741,-0.687,-0.562,-0.594,-0.658,2
-0.891,-0.567,-0.583,-0.513,-0.61,-0.569,-0.912,-0.807,-1.01,-0.423,-0.724,-0.578,-0.634,-0.61,-0.657,-0.607,-0.774,2
-0.928,-0.797,-0.708,-0.642,-0.759,-0.715,-0.939,-0.967,-1.181,-0.613,-0.904,-0.792,-0.847,-0.778,-0.65,-0.736,-0.83,2
-0.7,-0.519,-0.379,-0.268,-0.524,-0.42,-0.75,-0.895,-1.306,-0.531,-0.952,-0.789,-0.775,-0.7,-0.596,-0.571,-0.577,2
-0.815,-0.682,-0.578,-0.52,-0.674,-0.643,-0.959,-0.92,-1.157,-0.476,-0.8,-0.66,-0.77,-0.743,-0.584,-0.641,-0.609,2
