@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R7,10-12,23,26,28,30-31,33,37-38,41'

@attribute A7 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A23 numeric
@attribute A26 numeric
@attribute A28 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A33 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.857,-0.779,-1.331,-0.914,-0.992,-0.63,-0.825,-1.02,-1.331,-0.571,-0.952,-0.642,2
-0.557,-0.566,-1.049,-0.736,-0.955,-0.603,-0.748,-0.891,-1.049,-0.436,-0.835,-0.564,2
-0.735,-0.733,-1.193,-0.803,-0.978,-0.588,-0.753,-0.884,-1.193,-0.469,-0.883,-0.592,2
-0.749,-0.889,-1.071,-0.784,-0.877,-0.595,-0.719,-0.982,-1.071,-0.556,-0.796,-0.605,2
-0.869,-0.934,-1.15,-0.842,-1.037,-0.608,-0.812,-1.059,-1.15,-0.681,-0.964,-0.744,2
-0.606,-0.841,-1.044,-0.673,-0.789,-0.337,-0.552,-0.833,-1.044,-0.366,-0.739,-0.507,2
-0.604,-0.934,-1.011,-0.672,-0.999,-0.586,-0.709,-0.926,-1.011,-0.622,-0.765,-0.587,2
-0.572,-0.652,-1.102,-0.635,-0.868,-0.4,-0.577,-0.853,-1.102,-0.328,-0.746,-0.453,2
-0.538,-0.649,-1.013,-0.584,-0.901,-0.425,-0.658,-0.918,-1.013,-0.433,-0.692,-0.467,2
-0.726,-0.818,-1.119,-0.796,-0.972,-0.505,-0.71,-0.986,-1.119,-0.588,-0.843,-0.638,2
-0.784,-0.849,-1.108,-0.764,-0.991,-0.484,-0.693,-0.998,-1.108,-0.615,-0.847,-0.621,2
-0.756,-0.937,-1.111,-0.847,-1.079,-0.604,-0.757,-1.036,-1.111,-0.628,-0.817,-0.614,2
