@relation texture

@attribute A1 numeric
@attribute A5 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A19 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A36 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.093,-0.562,-0.619,-0.921,-0.744,-0.653,-0.731,-0.742,-1.093,-0.857,-1.063,-0.606,-1.014,-1.093,-0.746,-0.851,2
-1.41,-0.762,-0.851,-1.037,-0.894,-0.825,-0.829,-0.891,-1.41,-1.081,-1.094,-0.681,-1.074,-1.41,-0.723,-0.817,2
-1.075,-0.422,-0.524,-0.824,-0.568,-0.533,-0.643,-0.634,-1.075,-0.75,-0.908,-0.524,-0.909,-1.075,-0.532,-0.539,2
-0.883,-0.246,-0.321,-0.546,-0.378,-0.422,-0.485,-0.475,-0.883,-0.681,-0.879,-0.478,-0.833,-0.883,-0.614,-0.626,2
-1.116,-0.399,-0.494,-0.809,-0.663,-0.58,-0.68,-0.678,-1.116,-0.768,-0.87,-0.489,-1,-1.116,-0.524,-0.503,2
-1.306,-0.379,-0.524,-0.75,-0.657,-0.576,-0.651,-0.597,-1.306,-0.986,-1.03,-0.531,-0.972,-1.306,-0.596,-0.577,2
-0.991,-0.325,-0.439,-0.598,-0.517,-0.52,-0.581,-0.606,-0.991,-0.746,-0.914,-0.539,-0.893,-0.991,-0.558,-0.637,2
-1.107,-0.37,-0.451,-0.673,-0.565,-0.536,-0.57,-0.589,-1.107,-0.853,-0.964,-0.57,-0.912,-1.107,-0.577,-0.574,2
-1.101,-0.436,-0.499,-0.736,-0.655,-0.617,-0.665,-0.688,-1.101,-0.875,-0.998,-0.641,-0.96,-1.101,-0.549,-0.591,2
-1.186,-0.53,-0.615,-0.876,-0.739,-0.65,-0.747,-0.769,-1.186,-0.859,-1.029,-0.545,-1.078,-1.186,-0.553,-0.586,2
-1.316,-0.337,-0.478,-0.668,-0.594,-0.537,-0.577,-0.597,-1.316,-0.986,-0.976,-0.601,-1.012,-1.316,-0.541,-0.561,2
-1.099,-0.563,-0.607,-0.904,-0.859,-0.749,-0.791,-0.81,-1.099,-0.862,-1.077,-0.573,-0.973,-1.099,-0.624,-0.671,2
-1.241,-0.524,-0.622,-0.805,-0.758,-0.675,-0.697,-0.741,-1.241,-0.956,-1.044,-0.615,-1.035,-1.241,-0.634,-0.75,2
-1.367,-0.763,-0.856,-1.04,-0.83,-0.768,-0.786,-0.838,-1.367,-1.042,-1.041,-0.638,-1.051,-1.367,-0.719,-0.868,2
-1.351,-0.426,-0.549,-0.711,-0.673,-0.613,-0.658,-0.671,-1.351,-1.007,-1.011,-0.586,-1.02,-1.351,-0.565,-0.555,2
-1.264,-0.663,-0.743,-0.969,-0.892,-0.773,-0.787,-0.828,-1.264,-1.016,-1.064,-0.679,-1.035,-1.264,-0.69,-0.8,2
-1.224,-0.602,-0.685,-0.91,-0.702,-0.606,-0.622,-0.633,-1.224,-0.862,-0.937,-0.457,-1.001,-1.224,-0.64,-0.732,2
-1.172,-0.483,-0.583,-0.778,-0.614,-0.565,-0.615,-0.621,-1.172,-0.793,-0.932,-0.347,-0.883,-1.172,-0.521,-0.529,2
-1,-0.543,-0.577,-0.894,-0.722,-0.586,-0.633,-0.643,-1,-0.737,-0.782,-0.473,-0.84,-1,-0.64,-0.755,2
-1.239,-0.636,-0.704,-0.93,-0.9,-0.789,-0.79,-0.83,-1.239,-0.956,-1.049,-0.632,-1.007,-1.239,-0.621,-0.726,2
-1.076,-0.324,-0.451,-0.707,-0.399,-0.428,-0.471,-0.495,-1.076,-0.841,-0.958,-0.544,-0.918,-1.076,-0.512,-0.579,2
-1.295,-0.615,-0.699,-0.906,-0.848,-0.71,-0.743,-0.726,-1.295,-0.966,-1.072,-0.543,-1.041,-1.295,-0.651,-0.762,2
-1.154,-0.346,-0.458,-0.743,-0.492,-0.501,-0.567,-0.556,-1.154,-0.751,-0.895,-0.42,-0.904,-1.154,-0.524,-0.464,2
-0.985,-0.323,-0.386,-0.67,-0.528,-0.447,-0.492,-0.517,-0.985,-0.714,-0.841,-0.509,-0.858,-0.985,-0.55,-0.57,2
-1.096,-0.313,-0.412,-0.502,-0.528,-0.476,-0.493,-0.523,-1.096,-0.822,-0.882,-0.467,-0.87,-1.096,-0.42,-0.523,2
-1.239,-0.456,-0.551,-0.734,-0.642,-0.571,-0.598,-0.618,-1.239,-0.932,-0.969,-0.505,-0.91,-1.239,-0.539,-0.644,2
-1.238,-0.681,-0.739,-0.948,-0.775,-0.687,-0.727,-0.765,-1.238,-0.955,-0.988,-0.672,-1.038,-1.238,-0.68,-0.828,2
