@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,4,8,10,12,21,23-24,27,34,36,40-41'

@attribute A1 numeric
@attribute A4 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A27 numeric
@attribute A34 numeric
@attribute A36 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.153,-0.37,-0.339,-0.523,-0.765,-1.153,-0.874,-0.633,-0.801,-0.548,-0.413,-0.362,2
-0.939,-0.353,-0.438,-0.721,-0.563,-0.939,-0.938,-0.591,-0.715,-0.477,-0.459,-0.465,2
-1.375,-0.885,-0.838,-1.021,-0.994,-1.375,-1.021,-0.871,-1.034,-0.902,-0.744,-0.88,2
-1.18,-0.61,-0.546,-0.673,-0.806,-1.18,-0.92,-0.752,-0.887,-0.674,-0.461,-0.572,2
-1.278,-0.605,-0.537,-0.741,-0.862,-1.278,-1.083,-0.887,-0.992,-0.79,-0.618,-0.72,2
-1.191,-0.697,-0.657,-0.856,-0.844,-1.191,-0.977,-0.742,-0.881,-0.745,-0.579,-0.679,2
-1.117,-0.658,-0.648,-0.926,-0.765,-1.117,-0.988,-0.672,-0.794,-0.767,-0.558,-0.618,2
-1.031,-0.49,-0.485,-0.712,-0.71,-1.031,-0.999,-0.677,-0.771,-0.602,-0.573,-0.602,2
-1.167,-0.587,-0.549,-0.732,-0.795,-1.167,-0.948,-0.774,-0.893,-0.737,-0.537,-0.667,2
-0.966,-0.414,-0.378,-0.578,-0.611,-0.966,-0.897,-0.649,-0.742,-0.657,-0.603,-0.684,2
-1.246,-0.764,-0.713,-0.921,-0.861,-1.246,-0.943,-0.737,-0.898,-0.818,-0.64,-0.723,2
-0.889,-0.59,-0.578,-0.726,-0.694,-0.889,-0.86,-0.589,-0.684,-0.625,-0.527,-0.719,2
-1.235,-0.631,-0.597,-0.782,-0.847,-1.235,-0.929,-0.659,-0.847,-0.663,-0.576,-0.623,2
-1.159,-0.655,-0.67,-0.89,-0.81,-1.159,-0.965,-0.72,-0.883,-0.719,-0.658,-0.779,2
-1.151,-0.362,-0.419,-0.725,-0.616,-1.151,-0.817,-0.53,-0.715,-0.559,-0.531,-0.456,2
-1.381,-0.908,-0.85,-1.026,-1.065,-1.381,-1.082,-0.911,-1.047,-0.866,-0.71,-0.838,2
-1.213,-0.559,-0.515,-0.693,-0.827,-1.213,-0.947,-0.734,-0.879,-0.676,-0.556,-0.62,2
-0.596,-0.198,-0.262,-0.511,-0.385,-0.596,-0.63,-0.338,-0.445,-0.33,-0.505,-0.678,2
-1.212,-0.656,-0.628,-0.837,-0.841,-1.212,-1.005,-0.718,-0.867,-0.694,-0.565,-0.646,2
-1.075,-0.472,-0.524,-0.824,-0.693,-1.075,-0.908,-0.627,-0.758,-0.614,-0.532,-0.539,2
-1.295,-0.759,-0.71,-0.92,-0.874,-1.295,-0.961,-0.755,-0.931,-0.801,-0.664,-0.792,2
-0.99,-0.291,-0.425,-0.662,-0.528,-0.99,-0.839,-0.499,-0.649,-0.561,-0.518,-0.518,2
-1.117,-0.521,-0.518,-0.789,-0.754,-1.117,-0.937,-0.714,-0.829,-0.654,-0.516,-0.598,2
-1.346,-0.791,-0.759,-0.967,-0.954,-1.346,-0.965,-0.796,-0.973,-0.802,-0.681,-0.76,2
-1.129,-0.635,-0.618,-0.846,-0.794,-1.129,-1.047,-0.725,-0.845,-0.715,-0.665,-0.744,2
-1.118,-0.372,-0.444,-0.748,-0.701,-1.118,-0.852,-0.533,-0.692,-0.508,-0.477,-0.382,2
-1.186,-0.431,-0.457,-0.758,-0.689,-1.186,-0.886,-0.633,-0.802,-0.608,-0.549,-0.507,2
-1.252,-0.561,-0.465,-0.663,-0.75,-1.252,-0.917,-0.759,-0.903,-0.75,-0.549,-0.608,2
-1.16,-0.537,-0.569,-0.853,-0.792,-1.16,-0.882,-0.682,-0.837,-0.599,-0.482,-0.509,2
-1.182,-0.606,-0.588,-0.941,-0.865,-1.182,-1.118,-0.807,-0.934,-0.698,-0.616,-0.653,2
-1.285,-0.835,-0.788,-1.005,-0.885,-1.285,-0.95,-0.755,-0.92,-0.849,-0.695,-0.771,2
-0.977,-0.481,-0.497,-0.722,-0.638,-0.977,-0.821,-0.48,-0.612,-0.525,-0.419,-0.478,2
-1.24,-0.79,-0.772,-1,-0.924,-1.24,-1.094,-0.822,-0.939,-0.788,-0.71,-0.839,2
-1.013,-0.533,-0.48,-0.654,-0.714,-1.013,-0.868,-0.661,-0.752,-0.588,-0.443,-0.58,2
-1.076,-0.404,-0.451,-0.707,-0.673,-1.076,-0.958,-0.69,-0.807,-0.628,-0.512,-0.579,2
-1.183,-0.714,-0.678,-0.889,-0.858,-1.183,-1.034,-0.743,-0.872,-0.727,-0.638,-0.752,2
-0.984,-0.434,-0.492,-0.848,-0.665,-0.984,-0.913,-0.647,-0.746,-0.6,-0.546,-0.621,2
-1.077,-0.521,-0.584,-0.96,-0.731,-1.077,-1.038,-0.748,-0.843,-0.666,-0.707,-0.784,2
-1.239,-0.753,-0.704,-0.93,-0.947,-1.239,-1.049,-0.82,-0.936,-0.742,-0.621,-0.726,2
-1.045,-0.618,-0.598,-0.836,-0.79,-1.045,-0.924,-0.709,-0.784,-0.625,-0.5,-0.633,2
-1.105,-0.575,-0.572,-0.865,-0.749,-1.105,-0.899,-0.678,-0.822,-0.672,-0.574,-0.569,2
-0.904,-0.407,-0.418,-0.684,-0.669,-0.904,-0.953,-0.619,-0.71,-0.56,-0.499,-0.521,2
-0.653,-0.247,-0.291,-0.527,-0.439,-0.653,-0.681,-0.391,-0.5,-0.374,-0.523,-0.704,2
