@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,6-7,10,12,16,20-21,23,26-27,30,32-33,39,41'

@attribute A1 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.002,-0.384,-0.649,-0.858,-0.719,-0.632,-0.807,-1.002,-1.016,-0.554,-0.75,-0.961,-0.602,-0.552,-0.482,2
-1.198,-0.339,-0.749,-0.716,-0.873,-0.704,-0.837,-1.198,-1.035,-0.597,-0.921,-0.992,-0.722,-0.437,-0.511,2
-0.848,-0.495,-0.624,-0.693,-0.665,-0.772,-0.92,-0.848,-0.956,-0.658,-0.73,-0.97,-0.621,-0.498,-0.648,2
-1.044,-0.25,-0.618,-0.774,-0.708,-0.625,-0.792,-1.044,-0.971,-0.555,-0.806,-1.022,-0.622,-0.548,-0.537,2
-1.121,-0.2,-0.665,-0.764,-0.706,-0.525,-0.619,-1.121,-1.004,-0.599,-0.874,-0.983,-0.74,-0.616,-0.607,2
-1.015,-0.277,-0.58,-0.758,-0.668,-0.599,-0.728,-1.015,-0.852,-0.432,-0.698,-0.818,-0.595,-0.446,-0.489,2
-1.235,-0.435,-0.788,-0.891,-0.865,-0.689,-0.844,-1.235,-0.903,-0.447,-0.861,-0.951,-0.724,-0.546,-0.551,2
-1.273,-0.508,-0.871,-0.967,-0.942,-0.82,-0.975,-1.273,-1.087,-0.817,-1.047,-1.064,-0.87,-0.737,-0.653,2
-1.038,-0.306,-0.55,-0.655,-0.64,-0.571,-0.572,-1.038,-0.915,-0.585,-0.805,-0.871,-0.625,-0.495,-0.613,2
-1.172,-0.278,-0.663,-0.716,-0.737,-0.61,-0.675,-1.172,-0.927,-0.526,-0.882,-1.01,-0.661,-0.449,-0.511,2
-1.091,-0.42,-0.727,-0.883,-0.763,-0.627,-0.783,-1.091,-0.915,-0.515,-0.816,-0.906,-0.698,-0.648,-0.628,2
-1.012,-0.241,-0.555,-0.685,-0.642,-0.423,-0.505,-1.012,-0.956,-0.549,-0.765,-0.886,-0.661,-0.499,-0.518,2
