@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2,4,6,10-11,13,17,22,26-27,30,32,41'

@attribute A2 numeric
@attribute A4 numeric
@attribute A6 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A13 numeric
@attribute A17 numeric
@attribute A22 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.606,-0.498,-0.384,-0.858,-1.002,-0.647,-0.856,-0.776,-0.554,-0.75,-0.961,-0.602,2
-0.729,-0.566,-0.339,-0.716,-1.198,-0.741,-1.001,-0.927,-0.597,-0.921,-0.992,-0.722,2
-0.63,-0.564,-0.495,-0.693,-0.848,-0.736,-0.856,-0.684,-0.658,-0.73,-0.97,-0.621,2
-0.6,-0.437,-0.25,-0.774,-1.044,-0.693,-0.827,-0.812,-0.555,-0.806,-1.022,-0.622,2
-0.633,-0.476,-0.2,-0.764,-1.121,-0.542,-0.844,-0.906,-0.599,-0.874,-0.983,-0.74,2
-0.55,-0.416,-0.277,-0.758,-1.015,-0.546,-0.831,-0.689,-0.432,-0.698,-0.818,-0.595,2
-0.8,-0.638,-0.435,-0.891,-1.235,-0.759,-0.97,-0.828,-0.447,-0.861,-0.951,-0.724,2
-0.852,-0.714,-0.508,-0.967,-1.273,-0.904,-1.039,-1.068,-0.817,-1.047,-1.064,-0.87,2
-0.568,-0.411,-0.306,-0.655,-1.038,-0.454,-0.793,-0.811,-0.585,-0.805,-0.871,-0.625,2
-0.683,-0.503,-0.278,-0.716,-1.172,-0.56,-0.862,-0.837,-0.526,-0.882,-1.01,-0.661,2
-0.724,-0.604,-0.42,-0.883,-1.091,-0.669,-0.895,-0.804,-0.515,-0.816,-0.906,-0.698,2
-0.572,-0.387,-0.241,-0.685,-1.012,-0.356,-0.788,-0.827,-0.549,-0.765,-0.886,-0.661,2
-0.826,-0.714,-0.552,-0.885,-1.181,-0.893,-1.017,-0.964,-0.733,-0.953,-1.05,-0.811,2
-0.669,-0.556,-0.391,-0.92,-1.156,-0.825,-0.968,-0.919,-0.665,-0.926,-1.142,-0.701,2
-0.677,-0.515,-0.311,-0.847,-1.147,-0.6,-0.882,-0.817,-0.511,-0.829,-0.997,-0.658,2
-0.854,-0.712,-0.462,-0.835,-1.337,-0.739,-1.07,-1.09,-0.736,-1.08,-1.077,-0.927,2
-0.86,-0.772,-0.611,-0.936,-1.199,-0.841,-1.019,-0.944,-0.702,-0.952,-1.084,-0.86,2
-0.785,-0.625,-0.375,-0.734,-1.239,-0.642,-0.927,-0.932,-0.505,-0.903,-0.91,-0.812,2
-0.634,-0.447,-0.246,-0.625,-1.165,-0.613,-0.906,-0.805,-0.555,-0.83,-0.961,-0.623,2
-0.489,-0.334,-0.102,-0.497,-0.999,-0.484,-0.79,-0.758,-0.467,-0.704,-0.849,-0.578,2
-0.553,-0.441,-0.319,-0.796,-0.948,-0.591,-0.785,-0.718,-0.493,-0.711,-0.824,-0.595,2
-0.937,-0.82,-0.626,-1.001,-1.265,-0.913,-1.082,-0.978,-0.668,-0.997,-1.077,-0.841,2
-0.923,-0.81,-0.58,-0.981,-1.281,-0.719,-0.991,-0.896,-0.545,-0.923,-1.026,-0.88,2
-0.626,-0.475,-0.266,-0.908,-1.156,-0.645,-0.868,-0.796,-0.44,-0.822,-0.951,-0.635,2
-0.715,-0.588,-0.421,-0.823,-1.175,-0.713,-0.976,-0.851,-0.477,-0.832,-1.042,-0.657,2
-0.759,-0.64,-0.406,-0.698,-1.224,-0.744,-1.035,-0.938,-0.592,-0.94,-1.035,-0.767,2
-0.667,-0.538,-0.46,-0.817,-1.042,-0.578,-0.861,-0.646,-0.307,-0.706,-0.856,-0.598,2
