@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2,12,18,24,27,30,33-36,38,40-41'

@attribute A2 numeric
@attribute A12 numeric
@attribute A18 numeric
@attribute A24 numeric
@attribute A27 numeric
@attribute A30 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A38 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.649,-0.718,-0.603,-0.7,-0.829,-0.87,-0.445,-0.588,-0.371,-0.368,-0.457,-0.469,2
-1.011,-1.017,-0.87,-0.904,-1.045,-1.061,-0.788,-0.884,-0.699,-0.701,-0.799,-0.833,2
-0.794,-0.893,-0.697,-0.974,-1.084,-1.111,-0.681,-0.816,-0.62,-0.675,-0.726,-0.769,2
-0.767,-0.815,-0.664,-0.669,-0.849,-0.93,-0.499,-0.676,-0.476,-0.555,-0.575,-0.622,2
-0.905,-0.927,-0.748,-0.857,-0.998,-1.013,-0.615,-0.809,-0.564,-0.571,-0.659,-0.687,2
-0.784,-0.804,-0.76,-0.813,-0.908,-1.07,-0.739,-0.791,-0.661,-0.728,-0.767,-0.867,2
-0.669,-0.692,-0.521,-0.683,-0.856,-0.888,-0.514,-0.706,-0.496,-0.519,-0.599,-0.613,2
-0.705,-0.765,-0.721,-0.704,-0.825,-0.98,-0.646,-0.635,-0.543,-0.62,-0.615,-0.713,2
-0.59,-0.694,-0.717,-0.59,-0.715,-0.883,-0.455,-0.524,-0.398,-0.472,-0.465,-0.526,2
-0.754,-0.767,-0.709,-0.85,-0.951,-1.09,-0.782,-0.777,-0.642,-0.667,-0.713,-0.795,2
-0.678,-0.783,-0.693,-0.761,-0.873,-1.012,-0.553,-0.649,-0.488,-0.552,-0.579,-0.602,2
-0.82,-0.871,-0.739,-0.695,-0.877,-0.954,-0.608,-0.717,-0.561,-0.573,-0.656,-0.654,2
-0.757,-0.802,-0.692,-0.714,-0.876,-0.959,-0.595,-0.693,-0.54,-0.599,-0.632,-0.663,2
-0.708,-0.75,-0.531,-0.769,-0.905,-0.862,-0.524,-0.745,-0.502,-0.548,-0.597,-0.598,2
-0.777,-0.89,-0.738,-0.785,-0.916,-0.951,-0.47,-0.692,-0.474,-0.542,-0.558,-0.572,2
-0.988,-0.991,-0.853,-0.85,-1.018,-1.039,-0.738,-0.83,-0.657,-0.702,-0.743,-0.8,2
-0.597,-0.655,-0.606,-0.511,-0.659,-0.845,-0.303,-0.55,-0.347,-0.453,-0.43,-0.457,2
-0.756,-0.797,-0.647,-0.594,-0.785,-0.883,-0.499,-0.627,-0.481,-0.521,-0.552,-0.529,2
-0.649,-0.761,-0.701,-0.723,-0.844,-0.949,-0.462,-0.633,-0.432,-0.475,-0.513,-0.491,2
-0.672,-0.704,-0.596,-0.661,-0.821,-0.914,-0.621,-0.675,-0.557,-0.592,-0.632,-0.68,2
-0.665,-0.746,-0.651,-0.733,-0.85,-0.986,-0.553,-0.658,-0.5,-0.555,-0.592,-0.611,2
-0.606,-0.651,-0.789,-0.569,-0.659,-0.893,-0.462,-0.58,-0.449,-0.458,-0.567,-0.62,2
-1.025,-0.975,-0.792,-0.836,-1.002,-1.007,-0.854,-0.897,-0.757,-0.774,-0.851,-0.906,2
-0.913,-0.994,-0.93,-0.908,-1.01,-1.056,-0.672,-0.79,-0.604,-0.625,-0.688,-0.733,2
-0.885,-0.942,-0.856,-0.975,-1.077,-1.129,-0.726,-0.83,-0.634,-0.658,-0.728,-0.798,2
-0.845,-0.862,-0.807,-0.947,-1.054,-1.158,-0.822,-0.861,-0.707,-0.729,-0.798,-0.87,2
-0.733,-0.749,-0.636,-0.661,-0.796,-0.838,-0.501,-0.648,-0.457,-0.512,-0.552,-0.6,2
-0.578,-0.688,-0.65,-0.605,-0.729,-0.831,-0.478,-0.598,-0.46,-0.517,-0.507,-0.475,2
-0.63,-0.714,-0.632,-0.61,-0.768,-0.91,-0.382,-0.58,-0.405,-0.498,-0.464,-0.461,2
-0.649,-0.77,-0.698,-0.705,-0.816,-0.888,-0.465,-0.633,-0.469,-0.568,-0.571,-0.651,2
-0.574,-0.661,-0.608,-0.493,-0.644,-0.825,-0.242,-0.53,-0.293,-0.411,-0.353,-0.345,2
-0.853,-0.834,-0.703,-0.713,-0.891,-1.001,-0.622,-0.758,-0.588,-0.64,-0.689,-0.732,2
-0.862,-0.843,-0.766,-0.814,-0.954,-1.112,-0.779,-0.82,-0.691,-0.734,-0.803,-0.898,2
-1.006,-1.067,-0.957,-0.926,-1.049,-1.097,-0.8,-0.846,-0.687,-0.709,-0.772,-0.845,2
-0.659,-0.728,-0.637,-0.75,-0.842,-0.881,-0.497,-0.719,-0.533,-0.616,-0.634,-0.661,2
-0.658,-0.814,-0.789,-0.778,-0.904,-1.1,-0.526,-0.642,-0.487,-0.592,-0.545,-0.591,2
-0.655,-0.678,-0.766,-0.615,-0.73,-0.942,-0.488,-0.676,-0.529,-0.559,-0.674,-0.739,2
-0.613,-0.722,-0.698,-0.651,-0.76,-0.984,-0.573,-0.588,-0.464,-0.53,-0.528,-0.6,2
-0.733,-0.856,-0.819,-0.724,-0.797,-0.973,-0.633,-0.626,-0.52,-0.624,-0.569,-0.671,2
-0.879,-0.947,-0.876,-0.82,-0.936,-1.007,-0.675,-0.742,-0.581,-0.621,-0.654,-0.726,2
-0.616,-0.705,-0.676,-0.69,-0.854,-0.973,-0.543,-0.63,-0.493,-0.577,-0.581,-0.643,2
-0.821,-0.849,-0.76,-0.747,-0.871,-0.973,-0.712,-0.738,-0.616,-0.653,-0.699,-0.747,2
-0.743,-0.825,-0.773,-0.763,-0.875,-1.05,-0.684,-0.661,-0.549,-0.613,-0.618,-0.726,2
-0.767,-0.832,-0.774,-0.826,-0.936,-1.098,-0.648,-0.752,-0.609,-0.658,-0.702,-0.752,2
-0.498,-0.568,-0.602,-0.517,-0.608,-0.783,-0.374,-0.546,-0.409,-0.493,-0.486,-0.492,2
-0.634,-0.719,-0.687,-0.719,-0.807,-0.943,-0.631,-0.653,-0.542,-0.647,-0.618,-0.703,2
-0.682,-0.715,-0.773,-0.66,-0.763,-0.902,-0.513,-0.618,-0.46,-0.463,-0.557,-0.61,2
-0.75,-0.811,-0.694,-0.669,-0.835,-0.956,-0.504,-0.683,-0.507,-0.569,-0.596,-0.591,2
-0.64,-0.731,-0.639,-0.646,-0.795,-0.892,-0.39,-0.596,-0.4,-0.494,-0.479,-0.499,2
-0.703,-0.803,-0.807,-0.724,-0.825,-0.995,-0.68,-0.638,-0.572,-0.677,-0.635,-0.764,2
-0.439,-0.459,-0.346,-0.585,-0.718,-0.751,-0.612,-0.686,-0.557,-0.602,-0.619,-0.613,3
-0.745,-0.816,-0.608,-0.951,-1.038,-0.998,-0.758,-0.859,-0.7,-0.706,-0.786,-0.808,3
-0.638,-0.76,-0.642,-0.879,-0.968,-0.901,-0.739,-0.793,-0.662,-0.677,-0.743,-0.769,3
-0.331,-0.418,-0.339,-0.677,-0.797,-0.822,-0.63,-0.623,-0.509,-0.593,-0.553,-0.604,3
-0.668,-0.749,-0.597,-0.829,-0.953,-0.878,-0.624,-0.817,-0.565,-0.592,-0.659,-0.642,3
-0.578,-0.726,-0.55,-0.875,-0.969,-0.914,-0.691,-0.684,-0.583,-0.669,-0.63,-0.672,3
-0.81,-0.842,-0.68,-0.958,-1.067,-1.004,-0.858,-0.918,-0.763,-0.777,-0.85,-0.906,3
