@relation texture

@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A17 numeric
@attribute A21 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A32 numeric
@attribute A34 numeric
@attribute A36 numeric
@attribute A38 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.664,-0.444,-0.406,-0.35,-0.499,-0.451,-0.733,-0.766,-0.991,-0.492,-0.766,-0.701,-0.618,-0.583,-0.529,-0.558,-0.619,2
-0.796,-0.475,-0.423,-0.301,-0.497,-0.425,-0.812,-0.847,-1.151,-0.317,-0.756,-0.593,-0.611,-0.573,-0.54,-0.481,-0.495,2
-0.97,-0.673,-0.616,-0.505,-0.68,-0.634,-0.985,-0.982,-1.189,-0.673,-0.962,-0.866,-0.786,-0.776,-0.775,-0.77,-0.888,2
-0.75,-0.528,-0.447,-0.357,-0.547,-0.441,-0.713,-0.866,-1.156,-0.414,-0.818,-0.675,-0.691,-0.606,-0.461,-0.522,-0.529,2
-0.85,-0.494,-0.48,-0.39,-0.506,-0.483,-0.868,-0.843,-0.956,-0.597,-0.739,-0.702,-0.571,-0.583,-0.619,-0.58,-0.704,2
-0.494,-0.108,-0.125,-0.034,-0.137,-0.05,-0.347,-0.487,-0.611,-0.404,-0.497,-0.48,-0.32,-0.362,-0.531,-0.475,-0.703,2
-0.822,-0.6,-0.491,-0.393,-0.564,-0.506,-0.882,-0.918,-1.184,-0.654,-0.931,-0.835,-0.781,-0.724,-0.675,-0.7,-0.807,2
-0.815,-0.603,-0.53,-0.433,-0.615,-0.549,-0.876,-0.98,-1.186,-0.545,-0.875,-0.772,-0.686,-0.667,-0.553,-0.578,-0.586,2
-0.689,-0.472,-0.347,-0.235,-0.496,-0.407,-0.753,-0.853,-1.273,-0.433,-0.896,-0.729,-0.747,-0.666,-0.539,-0.567,-0.541,2
-0.719,-0.499,-0.416,-0.36,-0.467,-0.457,-0.78,-0.828,-1.014,-0.512,-0.723,-0.685,-0.625,-0.599,-0.586,-0.556,-0.613,2
-0.704,-0.591,-0.478,-0.393,-0.544,-0.488,-0.735,-0.891,-1.158,-0.587,-0.862,-0.743,-0.788,-0.739,-0.525,-0.634,-0.657,2
-0.821,-0.71,-0.6,-0.543,-0.673,-0.629,-0.904,-0.932,-1.152,-0.592,-0.89,-0.752,-0.809,-0.79,-0.677,-0.735,-0.785,2
-0.656,-0.391,-0.282,-0.2,-0.441,-0.358,-0.711,-0.779,-1.182,-0.426,-0.795,-0.654,-0.619,-0.596,-0.511,-0.471,-0.447,2
-0.529,-0.29,-0.274,-0.246,-0.309,-0.251,-0.469,-0.689,-0.843,-0.477,-0.657,-0.604,-0.517,-0.55,-0.548,-0.563,-0.609,2
-0.719,-0.476,-0.364,-0.2,-0.489,-0.392,-0.764,-0.844,-1.121,-0.599,-0.874,-0.796,-0.74,-0.715,-0.587,-0.671,-0.688,2
-0.754,-0.532,-0.431,-0.356,-0.464,-0.426,-0.75,-0.882,-1.037,-0.626,-0.798,-0.704,-0.625,-0.645,-0.628,-0.604,-0.689,2
-0.568,-0.409,-0.32,-0.193,-0.422,-0.323,-0.618,-0.798,-1.061,-0.544,-0.83,-0.737,-0.705,-0.703,-0.524,-0.6,-0.622,2
-0.811,-0.394,-0.403,-0.259,-0.516,-0.444,-0.933,-0.806,-1.035,-0.331,-0.665,-0.554,-0.544,-0.553,-0.489,-0.431,-0.427,2
-0.73,-0.537,-0.446,-0.335,-0.534,-0.448,-0.726,-0.942,-1.185,-0.487,-0.867,-0.713,-0.722,-0.659,-0.52,-0.559,-0.561,2
-0.563,-0.414,-0.325,-0.27,-0.439,-0.373,-0.598,-0.853,-0.991,-0.539,-0.751,-0.679,-0.578,-0.555,-0.558,-0.538,-0.637,2
-0.649,-0.404,-0.324,-0.225,-0.451,-0.361,-0.707,-0.809,-1.076,-0.544,-0.807,-0.733,-0.678,-0.628,-0.512,-0.538,-0.579,2
-0.705,-0.539,-0.446,-0.359,-0.532,-0.444,-0.697,-0.933,-1.207,-0.589,-0.911,-0.786,-0.764,-0.71,-0.564,-0.627,-0.657,2
-0.603,-0.438,-0.337,-0.277,-0.45,-0.391,-0.674,-0.783,-1.057,-0.539,-0.824,-0.74,-0.676,-0.624,-0.589,-0.626,-0.686,2
-0.907,-0.753,-0.636,-0.557,-0.703,-0.66,-0.931,-1.033,-1.218,-0.656,-0.952,-0.808,-0.816,-0.764,-0.641,-0.694,-0.78,2
