@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,5,8,10,13,15-16,19,21-23,26,30-31,36,40-41'

@attribute A1 numeric
@attribute A5 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A19 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A36 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.059,-0.475,-0.527,-0.8,-0.654,-0.578,-0.645,-0.655,-1.059,-0.793,-0.91,-0.532,-0.892,-1.059,-0.559,-0.684,2
-0.837,-0.317,-0.408,-0.616,-0.246,-0.36,-0.395,-0.469,-0.837,-0.671,-0.808,-0.509,-0.834,-0.837,-0.403,-0.537,2
-0.919,-0.397,-0.455,-0.819,-0.649,-0.565,-0.665,-0.65,-0.919,-0.695,-0.899,-0.534,-0.874,-0.919,-0.51,-0.592,2
-1.226,-0.718,-0.782,-0.943,-0.887,-0.813,-0.836,-0.893,-1.226,-0.988,-1.074,-0.763,-1.107,-1.226,-0.645,-0.832,2
-1.055,-0.423,-0.483,-0.704,-0.596,-0.539,-0.577,-0.579,-1.055,-0.75,-0.873,-0.423,-0.811,-1.055,-0.444,-0.5,2
-1.258,-0.51,-0.591,-0.706,-0.801,-0.739,-0.752,-0.808,-1.258,-1.024,-1.057,-0.715,-1.015,-1.258,-0.577,-0.666,2
-1.082,-0.43,-0.498,-0.8,-0.631,-0.558,-0.606,-0.632,-1.082,-0.695,-0.808,-0.357,-0.876,-1.082,-0.505,-0.509,2
-0.957,-0.326,-0.378,-0.637,-0.587,-0.514,-0.582,-0.585,-0.957,-0.721,-0.94,-0.531,-0.922,-0.957,-0.594,-0.614,2
-1.185,-0.446,-0.534,-0.726,-0.725,-0.641,-0.655,-0.678,-1.185,-0.914,-0.935,-0.487,-0.864,-1.185,-0.52,-0.561,2
-1.057,-0.337,-0.45,-0.674,-0.6,-0.512,-0.587,-0.58,-1.057,-0.823,-0.965,-0.539,-0.929,-1.057,-0.589,-0.686,2
-1.148,-0.573,-0.641,-0.939,-0.843,-0.754,-0.798,-0.842,-1.148,-0.895,-1.063,-0.638,-1.057,-1.148,-0.617,-0.716,2
-0.855,-0.273,-0.338,-0.534,-0.283,-0.359,-0.422,-0.418,-0.855,-0.666,-0.793,-0.47,-0.781,-0.855,-0.591,-0.645,2
-1.183,-0.396,-0.478,-0.69,-0.685,-0.615,-0.67,-0.673,-1.183,-0.841,-0.884,-0.471,-0.876,-1.183,-0.485,-0.464,2
-1.263,-0.628,-0.697,-0.986,-0.848,-0.734,-0.765,-0.805,-1.263,-0.975,-1.093,-0.69,-1.126,-1.263,-0.68,-0.782,2
-0.947,-0.496,-0.528,-0.812,-0.699,-0.63,-0.709,-0.719,-0.947,-0.734,-0.924,-0.629,-0.909,-0.947,-0.617,-0.696,2
-1.07,-0.4,-0.444,-0.697,-0.473,-0.478,-0.557,-0.535,-1.07,-0.799,-0.958,-0.468,-0.919,-1.07,-0.608,-0.626,2
-1.222,-0.414,-0.541,-0.753,-0.655,-0.576,-0.604,-0.636,-1.222,-0.957,-0.965,-0.558,-0.977,-1.222,-0.543,-0.648,2
