@relation texture

@attribute A3 numeric
@attribute A4 numeric
@attribute A7 numeric
@attribute A11 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A26 numeric
@attribute A33 numeric
@attribute A37 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.906,-0.753,-0.882,-1.239,-0.9,-0.887,-0.789,-0.79,-1.035,-1.239,-1.049,-0.632,-0.675,-0.894,2
-0.703,-0.675,-0.871,-1.325,-0.737,-0.886,-0.683,-0.712,-1.071,-1.325,-0.975,-0.563,-0.485,-0.906,2
-0.789,-0.643,-0.77,-1.087,-0.636,-0.743,-0.608,-0.662,-0.927,-1.087,-0.934,-0.567,-0.526,-0.911,2
-1.022,-0.849,-1,-1.322,-0.943,-1.01,-0.89,-0.897,-1.162,-1.322,-1.106,-0.752,-0.777,-1.01,2
-0.689,-0.472,-0.696,-1.273,-0.576,-0.684,-0.511,-0.574,-0.853,-1.273,-0.968,-0.433,-0.533,-0.83,2
-0.775,-0.46,-0.628,-1.101,-0.639,-0.718,-0.608,-0.643,-0.894,-1.101,-0.838,-0.344,-0.318,-0.679,2
-0.468,-0.444,-0.626,-1.199,-0.565,-0.735,-0.544,-0.61,-0.923,-1.199,-0.895,-0.44,-0.273,-0.746,2
-0.756,-0.633,-0.767,-1.203,-0.718,-0.785,-0.655,-0.665,-0.94,-1.203,-1.012,-0.643,-0.557,-0.907,2
-0.923,-0.791,-0.916,-1.265,-0.935,-0.944,-0.841,-0.839,-1.088,-1.265,-1.074,-0.754,-0.672,-0.945,2
-0.492,-0.314,-0.456,-0.901,-0.394,-0.508,-0.374,-0.449,-0.673,-0.901,-0.791,-0.354,-0.292,-0.655,2
-0.683,-0.55,-0.715,-1.132,-0.615,-0.719,-0.567,-0.616,-0.894,-1.132,-0.9,-0.483,-0.502,-0.814,2
-0.604,-0.58,-0.782,-1.174,-0.524,-0.772,-0.538,-0.516,-0.941,-1.174,-0.989,-0.659,-0.542,-0.942,2
-0.774,-0.554,-0.68,-1.014,-0.629,-0.69,-0.569,-0.637,-0.863,-1.014,-0.924,-0.578,-0.532,-0.812,2
-0.965,-0.738,-0.871,-1.235,-0.805,-0.844,-0.704,-0.711,-1.003,-1.235,-1.034,-0.559,-0.678,-0.923,2
-0.89,-0.712,-0.851,-1.212,-0.8,-0.78,-0.672,-0.714,-0.95,-1.212,-1.065,-0.569,-0.732,-0.915,2
-0.849,-0.66,-0.784,-1.108,-0.815,-0.719,-0.665,-0.721,-0.888,-1.108,-0.991,-0.484,-0.615,-0.847,2
-0.921,-0.811,-0.93,-1.238,-0.775,-0.849,-0.687,-0.727,-1.011,-1.238,-0.988,-0.672,-0.772,-0.97,2
-0.91,-0.768,-0.92,-1.29,-0.864,-0.888,-0.759,-0.785,-1.054,-1.29,-1.109,-0.812,-0.726,-0.988,2
-0.838,-0.625,-0.773,-1.089,-0.733,-0.756,-0.658,-0.704,-0.937,-1.089,-1.001,-0.57,-0.65,-0.794,2
-0.603,-0.438,-0.627,-1.057,-0.6,-0.599,-0.512,-0.587,-0.783,-1.057,-0.965,-0.539,-0.604,-0.784,2
-0.874,-0.707,-0.84,-1.182,-0.773,-0.783,-0.665,-0.699,-0.946,-1.182,-1.047,-0.54,-0.712,-0.895,2
-0.749,-0.463,-0.624,-1.077,-0.527,-0.693,-0.531,-0.585,-0.857,-1.077,-1.025,-0.463,-0.498,-0.807,2
-0.901,-0.738,-0.847,-1.163,-0.713,-0.773,-0.613,-0.642,-0.927,-1.163,-0.926,-0.572,-0.678,-0.92,2
-0.657,-0.487,-0.627,-1.094,-0.596,-0.66,-0.537,-0.559,-0.824,-1.094,-0.892,-0.471,-0.348,-0.787,2
-0.835,-0.639,-0.762,-1.101,-0.819,-0.709,-0.671,-0.733,-0.873,-1.101,-0.98,-0.508,-0.588,-0.835,2
-0.771,-0.646,-0.846,-1.355,-0.67,-0.81,-0.602,-0.657,-0.984,-1.355,-1.027,-0.649,-0.588,-0.968,2
-0.762,-0.534,-0.686,-1.098,-0.636,-0.68,-0.547,-0.576,-0.85,-1.098,-0.899,-0.551,-0.558,-0.793,2
-0.833,-0.572,-0.695,-1.058,-0.714,-0.729,-0.621,-0.644,-0.882,-1.058,-0.981,-0.542,-0.566,-0.804,2
-0.818,-0.474,-0.628,-1.052,-0.571,-0.661,-0.503,-0.559,-0.832,-1.052,-1.023,-0.624,-0.661,-0.818,2
-0.411,-0.359,-0.531,-1.173,-0.57,-0.703,-0.535,-0.605,-0.875,-1.173,-0.845,-0.43,-0.269,-0.685,2
-0.708,-0.6,-0.802,-1.334,-0.643,-0.823,-0.601,-0.62,-0.992,-1.334,-1.133,-0.766,-0.681,-0.992,2
-0.848,-0.635,-0.76,-1.129,-0.738,-0.734,-0.626,-0.688,-0.899,-1.129,-1.047,-0.587,-0.679,-0.877,2
-0.766,-0.391,-0.571,-1.029,-0.521,-0.622,-0.53,-0.588,-0.798,-1.029,-0.858,-0.352,-0.377,-0.687,2
-0.695,-0.313,-0.468,-0.971,-0.359,-0.553,-0.408,-0.534,-0.688,-0.971,-0.856,-0.371,-0.423,-0.728,2
-1.012,-0.885,-1.025,-1.384,-0.772,-0.899,-0.696,-0.705,-1.063,-1.384,-1.002,-0.546,-0.854,-1.075,2
-0.454,-0.363,-0.516,-0.834,-0.298,-0.557,-0.378,-0.369,-0.732,-0.834,-0.891,-0.539,-0.36,-0.698,2
-0.664,-0.531,-0.686,-1.135,-0.561,-0.679,-0.499,-0.583,-0.857,-1.135,-0.941,-0.449,-0.621,-0.836,2
-0.697,-0.505,-0.651,-1.072,-0.583,-0.661,-0.522,-0.573,-0.832,-1.072,-0.923,-0.501,-0.531,-0.784,2
-0.78,-0.511,-0.672,-1.104,-0.584,-0.703,-0.555,-0.556,-0.874,-1.104,-0.943,-0.632,-0.553,-0.828,2
-0.877,-0.695,-0.84,-1.215,-0.729,-0.814,-0.645,-0.661,-0.97,-1.215,-0.969,-0.565,-0.653,-0.892,2
-0.776,-0.639,-0.779,-0.929,-0.674,-0.745,-0.651,-0.71,-0.929,-0.929,-0.888,-0.588,-0.513,-0.76,2
-0.708,-0.473,-0.606,-1.058,-0.655,-0.716,-0.627,-0.659,-0.893,-1.058,-1.056,-0.599,-0.412,-0.804,2
-0.651,-0.453,-0.622,-1.074,-0.493,-0.66,-0.506,-0.56,-0.854,-1.074,-0.939,-0.484,-0.385,-0.759,2
-0.752,-0.665,-0.841,-1.241,-0.758,-0.808,-0.675,-0.697,-0.986,-1.241,-1.044,-0.615,-0.675,-0.924,2
-0.719,-0.476,-0.665,-1.121,-0.542,-0.662,-0.481,-0.525,-0.844,-1.121,-1.004,-0.599,-0.616,-0.891,2
-0.574,-0.292,-0.437,-0.867,-0.302,-0.548,-0.386,-0.461,-0.701,-0.867,-0.802,-0.368,-0.311,-0.698,2
-0.901,-0.787,-0.915,-1.22,-0.808,-0.893,-0.738,-0.771,-1.051,-1.22,-1.068,-0.764,-0.706,-0.979,2
-0.711,-0.435,-0.596,-1.016,-0.614,-0.663,-0.538,-0.602,-0.849,-1.016,-0.843,-0.322,-0.288,-0.671,2
-0.891,-0.567,-0.707,-1.01,-0.713,-0.642,-0.579,-0.634,-0.807,-1.01,-0.789,-0.423,-0.614,-0.769,2
-0.682,-0.49,-0.628,-1.031,-0.621,-0.69,-0.57,-0.63,-0.858,-1.031,-0.999,-0.564,-0.455,-0.77,2
-0.865,-0.726,-0.828,-1.131,-0.843,-0.781,-0.729,-0.794,-0.952,-1.131,-1.015,-0.544,-0.627,-0.912,2
-0.637,-0.499,-0.668,-1.072,-0.605,-0.732,-0.588,-0.599,-0.899,-1.072,-0.925,-0.545,-0.465,-0.812,2
