@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1-2,9,13,17,23-24,26,28,30-31,38,41'

@attribute A1 numeric
@attribute A2 numeric
@attribute A9 numeric
@attribute A13 numeric
@attribute A17 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A28 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A38 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.331,-0.862,-0.496,-0.712,-1.003,-0.992,-0.874,-0.63,-0.825,-1.02,-1.331,-0.642,2
-1.049,-0.632,-0.353,-0.505,-0.837,-0.955,-0.735,-0.603,-0.748,-0.891,-1.049,-0.564,2
-1.193,-0.727,-0.505,-0.621,-0.918,-0.978,-0.781,-0.588,-0.753,-0.884,-1.193,-0.592,2
-1.071,-0.697,-0.578,-0.783,-0.933,-0.877,-0.705,-0.595,-0.719,-0.982,-1.071,-0.605,2
-1.15,-0.873,-0.719,-0.862,-0.98,-1.037,-0.761,-0.608,-0.812,-1.059,-1.15,-0.744,2
-1.044,-0.608,-0.458,-0.551,-0.82,-0.789,-0.517,-0.337,-0.552,-0.833,-1.044,-0.507,2
-1.011,-0.583,-0.477,-0.614,-0.837,-0.999,-0.688,-0.586,-0.709,-0.926,-1.011,-0.587,2
-1.102,-0.586,-0.319,-0.376,-0.779,-0.868,-0.571,-0.4,-0.577,-0.853,-1.102,-0.453,2
-1.013,-0.483,-0.33,-0.577,-0.751,-0.901,-0.602,-0.425,-0.658,-0.918,-1.013,-0.467,2
-1.119,-0.748,-0.522,-0.77,-0.89,-0.972,-0.676,-0.505,-0.71,-0.986,-1.119,-0.638,2
-1.108,-0.784,-0.571,-0.815,-0.888,-0.991,-0.67,-0.484,-0.693,-0.998,-1.108,-0.621,2
-1.111,-0.749,-0.611,-0.843,-0.998,-1.079,-0.723,-0.604,-0.757,-1.036,-1.111,-0.614,2
-1.013,-0.533,-0.208,-0.196,-0.714,-0.909,-0.636,-0.488,-0.703,-0.881,-1.013,-0.563,2
-1.241,-0.688,-0.397,-0.721,-0.91,-0.976,-0.711,-0.435,-0.709,-0.921,-1.241,-0.504,2
-1.156,-0.71,-0.441,-0.575,-0.866,-0.91,-0.642,-0.414,-0.675,-0.896,-1.156,-0.522,2
-1.124,-0.692,-0.477,-0.709,-0.923,-1.024,-0.77,-0.648,-0.768,-1.036,-1.124,-0.587,2
-1.241,-0.79,-0.53,-0.721,-0.991,-0.915,-0.711,-0.462,-0.691,-0.911,-1.241,-0.517,2
-1.295,-0.895,-0.607,-0.848,-0.984,-1.072,-0.789,-0.543,-0.818,-1.041,-1.295,-0.683,2
-1.226,-0.73,-0.476,-0.696,-0.914,-0.97,-0.724,-0.509,-0.749,-0.993,-1.226,-0.596,2
-1.058,-0.622,-0.437,-0.655,-0.893,-1.056,-0.735,-0.599,-0.778,-0.956,-1.058,-0.549,2
-1.058,-0.692,-0.5,-0.714,-0.882,-0.981,-0.686,-0.542,-0.712,-0.957,-1.058,-0.589,2
-1.322,-0.968,-0.789,-0.943,-1.162,-1.106,-0.937,-0.752,-0.916,-1.118,-1.322,-0.786,2
-1.087,-0.695,-0.495,-0.732,-0.933,-1.062,-0.731,-0.603,-0.769,-1.014,-1.087,-0.603,2
-1.151,-0.682,-0.498,-0.652,-0.891,-1.036,-0.8,-0.682,-0.801,-1.023,-1.151,-0.638,2
-1.066,-0.672,-0.573,-0.851,-0.945,-1.03,-0.719,-0.627,-0.762,-1.044,-1.066,-0.525,2
-1.13,-0.69,-0.559,-0.826,-0.967,-1.08,-0.752,-0.633,-0.795,-1.094,-1.13,-0.594,2
-1.171,-0.738,-0.51,-0.643,-0.967,-1.062,-0.745,-0.543,-0.768,-0.955,-1.171,-0.626,2
-0.867,-0.481,-0.32,-0.302,-0.701,-0.802,-0.484,-0.368,-0.557,-0.794,-0.867,-0.469,2
-1.132,-0.69,-0.476,-0.615,-0.894,-0.9,-0.676,-0.483,-0.657,-0.86,-1.132,-0.576,2
-1.014,-0.59,-0.457,-0.554,-0.828,-1.012,-0.612,-0.512,-0.685,-0.926,-1.014,-0.556,2
-1.098,-0.687,-0.46,-0.636,-0.85,-0.899,-0.677,-0.551,-0.685,-0.908,-1.098,-0.607,2
