@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1-2,9-11,15-16,20-22,26,30,32,36-37,39-41'

@attribute A1 numeric
@attribute A2 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.27,-0.855,-0.62,-0.988,-1.27,-0.716,-0.75,-0.92,-1.27,-1.019,-0.721,-1.039,-0.829,-0.688,-0.937,-0.657,-0.779,2
-1.13,-0.709,-0.452,-0.665,-1.13,-0.657,-0.666,-0.824,-1.13,-0.882,-0.6,-0.914,-0.67,-0.511,-0.828,-0.523,-0.591,2
-1.265,-0.643,-0.376,-0.715,-1.265,-0.505,-0.569,-0.59,-1.265,-0.901,-0.413,-0.907,-0.726,-0.506,-0.809,-0.462,-0.489,2
-1.154,-0.689,-0.409,-0.732,-1.154,-0.519,-0.575,-0.663,-1.154,-0.833,-0.402,-0.857,-0.718,-0.535,-0.814,-0.507,-0.587,2
-1.116,-0.658,-0.451,-0.809,-1.116,-0.58,-0.68,-0.834,-1.116,-0.768,-0.489,-1,-0.662,-0.524,-0.783,-0.472,-0.503,2
-0.987,-0.527,-0.277,-0.551,-0.987,-0.447,-0.528,-0.632,-0.987,-0.731,-0.411,-0.846,-0.564,-0.318,-0.649,-0.323,-0.419,2
-0.992,-0.599,-0.339,-0.595,-0.992,-0.382,-0.389,-0.501,-0.992,-0.702,-0.299,-0.726,-0.571,-0.334,-0.688,-0.352,-0.431,2
-1.205,-0.856,-0.592,-0.877,-1.205,-0.717,-0.732,-0.888,-1.205,-0.939,-0.65,-1.037,-0.812,-0.724,-0.959,-0.723,-0.833,2
-1.04,-0.566,-0.33,-0.684,-1.04,-0.451,-0.53,-0.595,-1.04,-0.735,-0.476,-0.928,-0.585,-0.513,-0.773,-0.485,-0.55,2
-1.021,-0.664,-0.477,-0.758,-1.021,-0.594,-0.618,-0.807,-1.021,-0.799,-0.56,-0.869,-0.644,-0.561,-0.836,-0.569,-0.636,2
-1.322,-0.849,-0.509,-0.758,-1.322,-0.665,-0.697,-0.855,-1.322,-1.007,-0.618,-1.005,-0.827,-0.561,-0.933,-0.576,-0.623,2
-1.031,-0.588,-0.462,-0.902,-1.031,-0.575,-0.623,-0.811,-1.031,-0.79,-0.588,-1.006,-0.579,-0.649,-0.739,-0.566,-0.674,2
-0.935,-0.623,-0.463,-0.751,-0.935,-0.653,-0.704,-0.887,-0.935,-0.713,-0.525,-0.853,-0.555,-0.663,-0.735,-0.641,-0.805,2
