@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,10-11,16,18-19,22,24-25,30,32-33,38,41'

@attribute A1 numeric
@attribute A4 numeric
@attribute A7 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A16 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A22 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A38 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.41,-0.895,-1.043,-1.037,-1.41,-0.829,-0.941,-0.891,-1.081,-0.932,-0.808,-1.074,-0.919,-0.77,-0.748,2
-0.96,-0.439,-0.602,-0.727,-0.96,-0.547,-0.603,-0.571,-0.714,-0.599,-0.557,-0.865,-0.583,-0.438,-0.482,2
-1.172,-0.694,-0.817,-0.891,-1.172,-0.654,-0.727,-0.686,-0.881,-0.768,-0.734,-1.073,-0.78,-0.676,-0.701,2
-1.186,-0.603,-0.767,-0.876,-1.186,-0.747,-0.772,-0.769,-0.859,-0.729,-0.69,-1.078,-0.686,-0.52,-0.578,2
-1.281,-0.53,-0.751,-0.761,-1.281,-0.598,-0.652,-0.591,-0.95,-0.783,-0.657,-0.934,-0.779,-0.507,-0.584,2
-1.121,-0.576,-0.73,-1.004,-1.121,-0.677,-0.707,-0.693,-0.882,-0.78,-0.754,-1.013,-0.753,-0.691,-0.694,2
-0.883,-0.259,-0.398,-0.546,-0.883,-0.485,-0.513,-0.475,-0.681,-0.564,-0.604,-0.833,-0.518,-0.432,-0.564,2
-1.324,-0.835,-0.985,-0.978,-1.324,-0.688,-0.785,-0.723,-0.948,-0.795,-0.679,-1.019,-0.91,-0.721,-0.766,2
-0.966,-0.489,-0.602,-0.833,-0.966,-0.715,-0.733,-0.746,-0.71,-0.612,-0.619,-0.96,-0.558,-0.429,-0.479,2
-1.169,-0.547,-0.688,-0.705,-1.169,-0.63,-0.658,-0.644,-0.873,-0.74,-0.688,-0.955,-0.754,-0.579,-0.68,2
-1.065,-0.51,-0.659,-0.761,-1.065,-0.712,-0.716,-0.726,-0.729,-0.601,-0.571,-1.034,-0.568,-0.442,-0.534,2
-1.295,-0.719,-0.888,-0.874,-1.295,-0.73,-0.821,-0.782,-0.926,-0.76,-0.641,-0.958,-0.807,-0.58,-0.619,2
-1.184,-0.667,-0.798,-0.957,-1.184,-0.749,-0.804,-0.787,-0.926,-0.814,-0.773,-1.076,-0.798,-0.7,-0.689,2
-1.081,-0.614,-0.753,-0.902,-1.081,-0.725,-0.75,-0.743,-0.847,-0.759,-0.68,-0.925,-0.745,-0.661,-0.678,2
-1.246,-0.707,-0.853,-0.92,-1.246,-0.607,-0.689,-0.638,-0.884,-0.734,-0.638,-1.025,-0.822,-0.634,-0.69,2
-1.189,-0.673,-0.806,-0.985,-1.189,-0.752,-0.801,-0.791,-0.943,-0.829,-0.798,-1.059,-0.786,-0.775,-0.77,2
-1.173,-0.594,-0.742,-0.829,-1.173,-0.68,-0.72,-0.695,-0.927,-0.832,-0.786,-1.069,-0.727,-0.562,-0.644,2
-1.293,-0.81,-0.966,-1.008,-1.293,-0.788,-0.855,-0.828,-0.998,-0.893,-0.803,-1.102,-0.911,-0.765,-0.725,2
-1.043,-0.507,-0.647,-0.923,-1.043,-0.671,-0.682,-0.663,-0.77,-0.66,-0.642,-0.944,-0.642,-0.572,-0.554,2
-1.174,-0.412,-0.616,-0.76,-1.174,-0.58,-0.588,-0.555,-0.741,-0.605,-0.551,-0.929,-0.591,-0.423,-0.467,2
-1.149,-0.644,-0.783,-0.788,-1.149,-0.606,-0.693,-0.652,-0.864,-0.731,-0.683,-0.947,-0.746,-0.561,-0.63,2
-1.006,-0.593,-0.704,-0.845,-1.006,-0.61,-0.692,-0.681,-0.687,-0.563,-0.516,-0.869,-0.624,-0.53,-0.53,2
-1.362,-0.713,-0.899,-0.931,-1.362,-0.738,-0.777,-0.717,-1.072,-0.938,-0.832,-1.085,-0.931,-0.715,-0.736,2
-1.017,-0.35,-0.511,-0.626,-1.017,-0.518,-0.587,-0.546,-0.784,-0.679,-0.673,-0.904,-0.602,-0.409,-0.499,2
-0.748,-0.31,-0.459,-0.572,-0.748,-0.307,-0.417,-0.391,-0.583,-0.448,-0.503,-0.745,-0.486,-0.3,-0.441,2
-1.263,-0.716,-0.875,-0.932,-1.263,-0.66,-0.76,-0.711,-0.906,-0.777,-0.664,-0.986,-0.82,-0.643,-0.689,2
-1.201,-0.595,-0.753,-0.765,-1.201,-0.671,-0.709,-0.685,-0.811,-0.643,-0.597,-0.969,-0.658,-0.451,-0.53,2
-1.033,-0.442,-0.638,-0.83,-1.033,-0.644,-0.666,-0.643,-0.712,-0.561,-0.512,-0.863,-0.588,-0.346,-0.462,2
-1.191,-0.602,-0.791,-0.771,-1.191,-0.708,-0.77,-0.748,-0.928,-0.814,-0.781,-1.015,-0.785,-0.546,-0.624,2
-1.198,-0.7,-0.834,-1.003,-1.198,-0.743,-0.789,-0.766,-0.9,-0.787,-0.726,-1.05,-0.764,-0.65,-0.647,2
-1.303,-0.619,-0.814,-0.665,-1.303,-0.656,-0.752,-0.692,-0.929,-0.782,-0.644,-0.944,-0.752,-0.366,-0.508,2
-1.114,-0.72,-0.825,-0.954,-1.114,-0.769,-0.762,-0.752,-0.834,-0.705,-0.683,-1.019,-0.808,-0.751,-0.753,2
-1.208,-0.556,-0.745,-0.653,-1.208,-0.701,-0.778,-0.725,-0.861,-0.689,-0.584,-0.866,-0.655,-0.357,-0.44,2
-1.151,-0.475,-0.635,-0.812,-1.151,-0.6,-0.646,-0.597,-0.722,-0.562,-0.493,-0.883,-0.611,-0.436,-0.481,2
-1.145,-0.448,-0.644,-0.684,-1.145,-0.595,-0.631,-0.589,-0.843,-0.677,-0.643,-0.965,-0.692,-0.57,-0.558,2
-0.989,-0.431,-0.575,-0.689,-0.989,-0.604,-0.669,-0.642,-0.805,-0.67,-0.684,-0.846,-0.601,-0.283,-0.474,2
