@relation texture

@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A29 numeric
@attribute A33 numeric
@attribute A38 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.137,-0.05,-0.347,-0.611,-0.379,-0.349,-0.414,-0.423,-0.666,-0.507,-0.395,-0.475,-0.703,2
-0.527,-0.508,-0.858,-1.002,-0.719,-0.579,-0.632,-0.776,-1.016,-0.654,-0.552,-0.514,-0.58,2
-0.671,-0.631,-0.989,-1.114,-0.804,-0.679,-0.735,-0.805,-0.947,-0.642,-0.638,-0.612,-0.725,2
-0.783,-0.724,-0.978,-1.324,-0.944,-0.679,-0.688,-0.948,-1.007,-0.677,-0.721,-0.766,-0.767,2
-0.438,-0.393,-0.758,-1.015,-0.668,-0.527,-0.599,-0.689,-0.852,-0.531,-0.446,-0.526,-0.502,2
-0.705,-0.645,-0.925,-1.22,-0.913,-0.681,-0.663,-0.924,-0.985,-0.708,-0.628,-0.666,-0.717,2
-0.607,-0.566,-0.904,-1.099,-0.856,-0.749,-0.791,-0.862,-1.077,-0.662,-0.633,-0.569,-0.671,2
-0.498,-0.5,-0.833,-0.966,-0.695,-0.639,-0.715,-0.71,-0.9,-0.625,-0.429,-0.479,-0.538,2
-0.412,-0.297,-0.502,-1.096,-0.71,-0.476,-0.493,-0.822,-0.882,-0.591,-0.429,-0.477,-0.523,2
-0.496,-0.407,-0.753,-1.273,-0.764,-0.511,-0.574,-0.916,-0.968,-0.608,-0.533,-0.567,-0.541,2
-0.776,-0.734,-1.001,-1.265,-0.964,-0.813,-0.848,-0.978,-1.057,-0.787,-0.699,-0.71,-0.797,2
-0.575,-0.493,-0.825,-1.293,-0.845,-0.634,-0.671,-0.995,-1.029,-0.765,-0.642,-0.664,-0.722,2
-0.499,-0.431,-0.736,-1.101,-0.774,-0.617,-0.665,-0.875,-0.998,-0.713,-0.454,-0.561,-0.591,2
-0.424,-0.348,-0.661,-1.147,-0.729,-0.545,-0.602,-0.756,-0.929,-0.574,-0.405,-0.435,-0.496,2
-0.704,-0.657,-0.926,-1.195,-0.922,-0.829,-0.881,-0.982,-1.047,-0.819,-0.664,-0.683,-0.772,2
-0.404,-0.331,-0.643,-1.121,-0.721,-0.508,-0.552,-0.752,-0.915,-0.564,-0.405,-0.455,-0.518,2
-0.871,-0.826,-1.063,-1.334,-1.052,-0.869,-0.896,-1.089,-1.106,-0.905,-0.893,-0.866,-0.941,2
-0.458,-0.364,-0.743,-1.154,-0.706,-0.501,-0.567,-0.751,-0.895,-0.545,-0.387,-0.443,-0.464,2
-0.71,-0.63,-0.92,-1.295,-0.874,-0.633,-0.651,-0.917,-0.961,-0.631,-0.725,-0.731,-0.792,2
-0.719,-0.695,-0.915,-1.133,-0.835,-0.772,-0.823,-0.867,-1.04,-0.729,-0.639,-0.701,-0.775,2
-0.563,-0.488,-0.698,-1.224,-0.879,-0.705,-0.746,-0.938,-1.026,-0.725,-0.49,-0.603,-0.625,2
-0.559,-0.47,-0.777,-1.133,-0.757,-0.574,-0.611,-0.822,-1.02,-0.612,-0.532,-0.601,-0.66,2
-0.628,-0.538,-0.837,-1.212,-0.841,-0.676,-0.704,-0.882,-1.005,-0.644,-0.571,-0.59,-0.646,2
-0.403,-0.353,-0.566,-1.049,-0.736,-0.511,-0.518,-0.853,-0.955,-0.683,-0.436,-0.564,-0.582,2
-0.599,-0.56,-0.845,-1.006,-0.733,-0.572,-0.61,-0.687,-0.822,-0.533,-0.53,-0.53,-0.598,2
-0.457,-0.423,-0.796,-0.948,-0.626,-0.513,-0.585,-0.718,-0.888,-0.57,-0.41,-0.524,-0.549,2
-0.585,-0.544,-0.87,-1.055,-0.737,-0.641,-0.731,-0.753,-0.892,-0.649,-0.528,-0.618,-0.666,2
-0.544,-0.495,-0.793,-1.087,-0.797,-0.657,-0.689,-0.857,-1.062,-0.713,-0.553,-0.603,-0.654,2
-0.641,-0.622,-0.939,-1.148,-0.875,-0.754,-0.798,-0.895,-1.063,-0.753,-0.69,-0.613,-0.716,2
-0.384,-0.33,-0.649,-1.013,-0.584,-0.501,-0.606,-0.735,-0.901,-0.575,-0.433,-0.467,-0.551,2
-0.471,-0.471,-0.815,-1.002,-0.688,-0.463,-0.506,-0.761,-0.953,-0.602,-0.505,-0.53,-0.564,2
-0.719,-0.651,-0.959,-1.29,-0.942,-0.759,-0.785,-1.069,-1.109,-0.909,-0.726,-0.728,-0.798,2
-0.617,-0.609,-0.941,-1.055,-0.741,-0.667,-0.754,-0.859,-1.007,-0.79,-0.745,-0.736,-0.833,2
-0.478,-0.4,-0.774,-1.044,-0.708,-0.562,-0.625,-0.812,-0.971,-0.696,-0.548,-0.554,-0.621,2
-0.501,-0.421,-0.805,-1.135,-0.741,-0.547,-0.609,-0.812,-0.903,-0.624,-0.459,-0.506,-0.479,2
-0.532,-0.444,-0.697,-1.207,-0.805,-0.583,-0.616,-0.933,-0.978,-0.709,-0.565,-0.627,-0.657,2
-0.386,-0.339,-0.67,-0.985,-0.623,-0.447,-0.492,-0.714,-0.841,-0.581,-0.47,-0.517,-0.57,2
-0.393,-0.366,-0.631,-0.946,-0.614,-0.512,-0.6,-0.726,-0.954,-0.629,-0.385,-0.499,-0.528,2
-0.575,-0.522,-0.818,-1.119,-0.796,-0.656,-0.692,-0.818,-0.972,-0.64,-0.588,-0.638,-0.71,2
-0.459,-0.385,-0.784,-1.05,-0.661,-0.518,-0.579,-0.654,-0.801,-0.427,-0.242,-0.353,-0.345,2
-0.642,-0.611,-0.937,-1.111,-0.847,-0.763,-0.822,-0.839,-1.079,-0.703,-0.628,-0.614,-0.71,2
-0.48,-0.425,-0.654,-1.013,-0.714,-0.582,-0.634,-0.775,-0.868,-0.62,-0.424,-0.511,-0.58,2
-0.531,-0.446,-0.83,-1.033,-0.69,-0.572,-0.644,-0.712,-0.868,-0.52,-0.346,-0.462,-0.467,2
-0.522,-0.506,-0.804,-1.05,-0.706,-0.535,-0.607,-0.799,-0.989,-0.584,-0.576,-0.586,-0.638,2
-0.514,-0.428,-0.813,-1.142,-0.761,-0.594,-0.646,-0.831,-0.939,-0.671,-0.462,-0.513,-0.491,2
-0.486,-0.423,-0.807,-1.12,-0.728,-0.501,-0.554,-0.768,-0.882,-0.548,-0.44,-0.506,-0.522,2
-0.457,-0.365,-0.67,-1.131,-0.791,-0.647,-0.677,-0.804,-0.861,-0.552,-0.378,-0.467,-0.452,2
-0.568,-0.455,-0.746,-1.334,-0.893,-0.601,-0.62,-1.105,-1.133,-0.882,-0.681,-0.726,-0.769,2
-0.733,-0.673,-0.978,-1.235,-0.91,-0.704,-0.711,-0.914,-1.034,-0.696,-0.678,-0.705,-0.753,2
-0.513,-0.452,-0.659,-1.072,-0.77,-0.588,-0.599,-0.82,-0.925,-0.631,-0.465,-0.571,-0.651,2
-0.685,-0.635,-0.917,-1.155,-0.826,-0.648,-0.689,-0.872,-0.976,-0.687,-0.685,-0.691,-0.774,2
-0.451,-0.376,-0.683,-1.074,-0.678,-0.506,-0.56,-0.74,-0.939,-0.573,-0.385,-0.482,-0.529,2
-0.421,-0.348,-0.719,-1.139,-0.646,-0.461,-0.569,-0.797,-0.955,-0.626,-0.494,-0.548,-0.527,2
-0.451,-0.353,-0.745,-1.183,-0.682,-0.469,-0.56,-0.726,-0.855,-0.515,-0.401,-0.449,-0.465,2
-0.746,-0.713,-1.005,-1.218,-0.914,-0.79,-0.834,-0.971,-1.092,-0.811,-0.778,-0.719,-0.816,2
-0.544,-0.463,-0.838,-1.12,-0.735,-0.557,-0.625,-0.767,-0.894,-0.611,-0.419,-0.523,-0.54,2
-0.534,-0.434,-0.856,-1.125,-0.731,-0.551,-0.612,-0.783,-0.903,-0.562,-0.39,-0.479,-0.499,2
-0.682,-0.636,-0.91,-1.173,-0.872,-0.707,-0.748,-0.893,-0.986,-0.712,-0.648,-0.649,-0.726,2
-0.596,-0.569,-0.884,-1.114,-0.825,-0.67,-0.714,-0.878,-1.044,-0.745,-0.684,-0.618,-0.726,2
-0.35,-0.31,-0.572,-0.748,-0.484,-0.27,-0.307,-0.583,-0.74,-0.497,-0.3,-0.441,-0.463,2
-0.49,-0.446,-0.726,-0.863,-0.605,-0.544,-0.599,-0.648,-0.819,-0.636,-0.612,-0.64,-0.826,2
-0.549,-0.498,-0.732,-1.167,-0.795,-0.583,-0.615,-0.904,-0.948,-0.689,-0.493,-0.636,-0.667,2
-0.608,-0.514,-0.824,-1.194,-0.813,-0.588,-0.642,-0.819,-0.947,-0.572,-0.507,-0.563,-0.592,2
-0.432,-0.319,-0.625,-1.165,-0.762,-0.58,-0.625,-0.805,-0.944,-0.648,-0.416,-0.471,-0.559,2
-0.514,-0.428,-0.813,-1.139,-0.754,-0.547,-0.606,-0.859,-0.983,-0.709,-0.504,-0.573,-0.551,2
-0.262,-0.223,-0.511,-0.596,-0.385,-0.37,-0.452,-0.398,-0.63,-0.458,-0.396,-0.446,-0.678,2
