@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R5,8,10,15-16,22-23,26,29-32,34-36,41'

@attribute A5 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A26 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.367,-0.478,-0.681,-0.496,-0.533,-0.839,-0.853,-0.443,-0.595,-0.87,-1.107,-0.692,-0.588,-0.371,-0.368,2
-0.739,-0.834,-1.017,-0.762,-0.761,-1.038,-1.031,-0.652,-0.781,-1.061,-1.362,-0.964,-0.884,-0.699,-0.701,2
-0.428,-0.568,-0.746,-0.601,-0.62,-1.105,-1.133,-0.766,-0.882,-1.111,-1.334,-0.877,-0.816,-0.62,-0.675,2
-0.506,-0.589,-0.836,-0.584,-0.612,-0.828,-0.886,-0.408,-0.575,-0.93,-1.192,-0.715,-0.676,-0.476,-0.555,2
-0.57,-0.661,-0.821,-0.66,-0.672,-1.005,-0.992,-0.607,-0.744,-1.013,-1.338,-0.889,-0.809,-0.564,-0.571,2
-0.6,-0.675,-0.984,-0.682,-0.747,-0.92,-1.074,-0.727,-0.813,-1.07,-1.148,-0.81,-0.791,-0.661,-0.728,2
-0.303,-0.402,-0.617,-0.429,-0.482,-0.852,-0.895,-0.444,-0.596,-0.888,-1.161,-0.752,-0.706,-0.496,-0.519,2
-0.501,-0.58,-0.906,-0.631,-0.69,-0.817,-0.978,-0.525,-0.644,-0.98,-1.097,-0.685,-0.635,-0.543,-0.62,2
-0.449,-0.511,-0.847,-0.622,-0.673,-0.713,-0.866,-0.413,-0.549,-0.883,-0.975,-0.557,-0.524,-0.398,-0.472,2
-0.525,-0.614,-0.924,-0.617,-0.709,-0.96,-1.095,-0.693,-0.797,-1.09,-1.218,-0.842,-0.777,-0.642,-0.667,2
-0.429,-0.509,-0.805,-0.595,-0.616,-0.867,-0.977,-0.666,-0.745,-1.012,-1.135,-0.664,-0.649,-0.488,-0.552,2
-0.538,-0.638,-0.822,-0.65,-0.688,-0.875,-0.956,-0.462,-0.623,-0.954,-1.224,-0.797,-0.717,-0.561,-0.573,2
-0.506,-0.585,-0.728,-0.594,-0.676,-0.854,-0.979,-0.528,-0.654,-0.959,-1.162,-0.742,-0.693,-0.54,-0.599,2
-0.337,-0.44,-0.673,-0.443,-0.48,-0.942,-0.916,-0.499,-0.629,-0.862,-1.258,-0.799,-0.745,-0.502,-0.548,2
-0.477,-0.559,-0.741,-0.643,-0.645,-0.935,-0.972,-0.544,-0.674,-0.951,-1.258,-0.742,-0.692,-0.474,-0.542,2
-0.72,-0.807,-1.001,-0.756,-0.756,-0.983,-0.985,-0.573,-0.726,-1.039,-1.364,-0.896,-0.83,-0.657,-0.702,2
-0.415,-0.489,-0.765,-0.508,-0.565,-0.644,-0.825,-0.351,-0.468,-0.845,-1.02,-0.54,-0.55,-0.347,-0.453,2
-0.483,-0.583,-0.778,-0.565,-0.615,-0.793,-0.932,-0.347,-0.514,-0.883,-1.172,-0.69,-0.627,-0.481,-0.521,2
-0.408,-0.514,-0.813,-0.594,-0.646,-0.831,-0.939,-0.58,-0.671,-0.949,-1.142,-0.671,-0.633,-0.432,-0.475,2
-0.374,-0.47,-0.728,-0.499,-0.583,-0.837,-0.941,-0.449,-0.582,-0.914,-1.135,-0.734,-0.675,-0.557,-0.592,2
-0.436,-0.517,-0.773,-0.555,-0.556,-0.836,-0.943,-0.632,-0.709,-0.986,-1.104,-0.674,-0.658,-0.5,-0.555,2
-0.606,-0.618,-0.79,-0.68,-0.733,-0.65,-0.886,-0.577,-0.639,-0.893,-0.805,-0.588,-0.58,-0.449,-0.458,2
-0.758,-0.847,-1.033,-0.696,-0.705,-0.984,-1.002,-0.546,-0.692,-1.007,-1.384,-0.965,-0.897,-0.757,-0.774,2
-0.665,-0.732,-0.951,-0.841,-0.839,-1.006,-1.074,-0.754,-0.832,-1.056,-1.265,-0.846,-0.79,-0.604,-0.625,2
-0.637,-0.719,-0.959,-0.759,-0.785,-1.069,-1.109,-0.812,-0.909,-1.129,-1.29,-0.901,-0.83,-0.634,-0.658,2
-0.626,-0.694,-0.971,-0.721,-0.809,-1.047,-1.16,-0.786,-0.894,-1.158,-1.287,-0.919,-0.861,-0.707,-0.729,2
-0.474,-0.556,-0.767,-0.513,-0.518,-0.83,-0.866,-0.453,-0.576,-0.838,-1.113,-0.706,-0.648,-0.457,-0.512,2
-0.389,-0.468,-0.791,-0.551,-0.629,-0.753,-0.914,-0.429,-0.535,-0.831,-1.066,-0.635,-0.598,-0.46,-0.517,2
-0.4,-0.511,-0.814,-0.552,-0.614,-0.744,-0.893,-0.438,-0.565,-0.91,-1.131,-0.59,-0.58,-0.405,-0.498,2
-0.407,-0.513,-0.659,-0.588,-0.599,-0.82,-0.925,-0.545,-0.631,-0.888,-1.072,-0.652,-0.633,-0.469,-0.568,2
-0.392,-0.459,-0.784,-0.518,-0.579,-0.654,-0.801,-0.251,-0.427,-0.825,-1.05,-0.522,-0.53,-0.293,-0.411,2
-0.602,-0.685,-0.91,-0.606,-0.622,-0.862,-0.937,-0.457,-0.638,-1.001,-1.224,-0.818,-0.758,-0.588,-0.64,2
-0.704,-0.753,-0.979,-0.681,-0.708,-0.937,-1.026,-0.618,-0.79,-1.112,-1.19,-0.87,-0.82,-0.691,-0.734,2
-0.735,-0.826,-1.012,-0.845,-0.841,-1.074,-1.129,-0.706,-0.827,-1.097,-1.373,-0.935,-0.846,-0.687,-0.709,2
-0.453,-0.483,-0.68,-0.523,-0.566,-0.859,-0.956,-0.591,-0.675,-0.881,-1.087,-0.708,-0.719,-0.533,-0.616,2
-0.452,-0.541,-0.947,-0.69,-0.736,-0.875,-1.04,-0.639,-0.77,-1.1,-1.136,-0.662,-0.642,-0.487,-0.592,2
-0.559,-0.561,-0.722,-0.686,-0.768,-0.698,-0.953,-0.627,-0.682,-0.942,-0.874,-0.648,-0.676,-0.529,-0.559,2
-0.436,-0.518,-0.827,-0.595,-0.645,-0.803,-1.043,-0.547,-0.669,-0.984,-1.029,-0.645,-0.588,-0.464,-0.53,2
-0.563,-0.607,-0.904,-0.749,-0.791,-0.862,-1.077,-0.573,-0.662,-0.973,-1.099,-0.666,-0.626,-0.52,-0.624,2
-0.636,-0.704,-0.93,-0.789,-0.79,-0.956,-1.049,-0.632,-0.74,-1.007,-1.239,-0.802,-0.742,-0.581,-0.621,2
-0.364,-0.468,-0.673,-0.571,-0.614,-0.824,-0.965,-0.539,-0.666,-0.973,-1.1,-0.675,-0.63,-0.493,-0.577,2
-0.613,-0.685,-0.901,-0.665,-0.699,-0.908,-1.047,-0.54,-0.687,-0.973,-1.182,-0.781,-0.738,-0.616,-0.653,2
-0.526,-0.596,-0.884,-0.67,-0.714,-0.878,-1.044,-0.609,-0.745,-1.05,-1.114,-0.707,-0.661,-0.549,-0.613,2
-0.528,-0.607,-0.817,-0.669,-0.714,-0.918,-1.086,-0.72,-0.813,-1.098,-1.167,-0.782,-0.752,-0.609,-0.658,2
-0.355,-0.382,-0.68,-0.525,-0.598,-0.614,-0.818,-0.503,-0.538,-0.783,-0.846,-0.512,-0.546,-0.409,-0.493,2
-0.49,-0.575,-0.969,-0.584,-0.646,-0.824,-1.009,-0.627,-0.702,-0.943,-1.037,-0.664,-0.653,-0.542,-0.647,2
-0.607,-0.671,-0.879,-0.651,-0.71,-0.746,-0.888,-0.588,-0.667,-0.902,-0.929,-0.665,-0.618,-0.46,-0.463,2
-0.494,-0.589,-0.782,-0.597,-0.645,-0.828,-0.98,-0.484,-0.621,-0.956,-1.173,-0.707,-0.683,-0.507,-0.569,2
-0.41,-0.534,-0.856,-0.551,-0.612,-0.783,-0.903,-0.434,-0.562,-0.892,-1.125,-0.631,-0.596,-0.4,-0.494,2
-0.587,-0.645,-0.97,-0.709,-0.761,-0.829,-1.011,-0.659,-0.724,-0.995,-1.065,-0.676,-0.638,-0.572,-0.677,2
-0.21,-0.366,-0.828,-0.321,-0.458,-0.71,-0.716,-0.369,-0.479,-0.751,-1.092,-0.711,-0.686,-0.557,-0.602,3
-0.344,-0.522,-0.73,-0.498,-0.536,-1.044,-1.014,-0.761,-0.838,-0.998,-1.28,-0.921,-0.859,-0.7,-0.706,3
-0.322,-0.467,-0.751,-0.521,-0.561,-0.966,-0.896,-0.724,-0.777,-0.901,-1.194,-0.847,-0.793,-0.662,-0.677,3
-0.087,-0.275,-0.727,-0.336,-0.519,-0.802,-0.803,-0.482,-0.569,-0.822,-1.119,-0.691,-0.623,-0.509,-0.593,3
