@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2-3,11-12,15,18-19,22-24,26,30,32,34-35,37,41'

@attribute A2 numeric
@attribute A3 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A15 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A37 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.765,-0.79,-1.106,-0.812,-0.734,-0.826,-0.83,-0.843,-1.007,-0.737,-0.601,-1.008,-0.758,-0.727,-0.544,-0.9,2
-0.858,-0.896,-1.219,-0.869,-0.715,-0.796,-0.757,-0.935,-1.012,-0.814,-0.618,-1.038,-0.83,-0.79,-0.648,-0.961,2
-0.679,-0.787,-1.133,-0.757,-0.574,-0.673,-0.632,-0.822,-1.02,-0.67,-0.521,-0.926,-0.689,-0.659,-0.508,-0.83,2
-0.631,-0.794,-1.113,-0.715,-0.544,-0.639,-0.601,-0.888,-1.041,-0.739,-0.58,-0.967,-0.733,-0.689,-0.539,-0.848,2
-0.244,-0.531,-0.532,-0.325,-0.311,-0.39,-0.378,-0.338,-0.601,-0.278,-0.297,-0.763,-0.248,-0.296,-0.318,-0.504,2
-0.7,-0.731,-1.083,-0.761,-0.54,-0.635,-0.595,-0.82,-0.894,-0.658,-0.445,-0.883,-0.673,-0.624,-0.411,-0.799,2
-0.63,-0.697,-1.072,-0.697,-0.522,-0.616,-0.59,-0.79,-0.923,-0.667,-0.501,-0.934,-0.662,-0.624,-0.492,-0.784,2
-0.78,-0.781,-1.191,-0.852,-0.611,-0.712,-0.659,-0.887,-0.91,-0.744,-0.521,-0.897,-0.711,-0.661,-0.436,-0.831,2
-0.697,-0.846,-1.074,-0.824,-0.71,-0.787,-0.761,-0.821,-1.013,-0.712,-0.574,-1.006,-0.607,-0.6,-0.455,-0.766,2
-0.936,-0.826,-1.342,-0.914,-0.623,-0.706,-0.649,-1.001,-0.986,-0.835,-0.591,-1.006,-0.916,-0.842,-0.635,-1.01,2
-0.737,-0.843,-1.213,-0.802,-0.6,-0.687,-0.64,-0.878,-0.937,-0.738,-0.519,-0.939,-0.765,-0.713,-0.535,-0.89,2
-0.725,-0.752,-1.141,-0.811,-0.649,-0.761,-0.699,-0.909,-1.037,-0.768,-0.656,-1.012,-0.74,-0.721,-0.506,-0.9,2
-1.057,-1.018,-1.414,-1.08,-0.851,-0.958,-0.906,-1.079,-1.087,-0.925,-0.663,-1.095,-0.953,-0.873,-0.662,-1.04,2
-0.955,-0.936,-1.359,-0.963,-0.759,-0.846,-0.777,-1.046,-1.068,-0.902,-0.667,-1.058,-0.895,-0.824,-0.62,-1.002,2
-0.593,-0.681,-1.017,-0.643,-0.39,-0.508,-0.466,-0.818,-0.938,-0.674,-0.537,-0.885,-0.668,-0.621,-0.465,-0.794,2
-0.818,-0.809,-1.238,-0.873,-0.648,-0.754,-0.729,-0.855,-0.906,-0.667,-0.411,-0.902,-0.754,-0.672,-0.512,-0.835,2
-0.561,-0.766,-1.029,-0.642,-0.53,-0.61,-0.589,-0.667,-0.858,-0.529,-0.352,-0.845,-0.535,-0.532,-0.399,-0.687,2
-0.744,-0.863,-1.126,-0.807,-0.688,-0.761,-0.734,-0.815,-1.006,-0.675,-0.511,-1.093,-0.713,-0.676,-0.511,-0.85,2
-0.629,-0.857,-0.985,-0.699,-0.64,-0.745,-0.757,-0.736,-0.98,-0.637,-0.578,-1.025,-0.599,-0.576,-0.471,-0.746,2
-0.582,-0.742,-1.052,-0.623,-0.402,-0.487,-0.453,-0.821,-0.938,-0.663,-0.486,-0.855,-0.655,-0.619,-0.484,-0.79,2
-0.686,-0.816,-1.053,-0.733,-0.549,-0.663,-0.637,-0.699,-0.796,-0.532,-0.299,-0.813,-0.621,-0.591,-0.393,-0.76,2
-0.874,-0.938,-1.235,-0.955,-0.828,-0.929,-0.915,-0.958,-1.045,-0.859,-0.717,-1.084,-0.831,-0.782,-0.658,-0.946,2
-0.629,-0.546,-1.074,-0.686,-0.459,-0.557,-0.521,-0.808,-0.873,-0.678,-0.463,-0.863,-0.629,-0.559,-0.334,-0.734,2
-0.68,-0.841,-1.152,-0.827,-0.692,-0.791,-0.76,-0.901,-1.128,-0.794,-0.639,-1.135,-0.685,-0.671,-0.508,-0.825,2
-0.943,-0.979,-1.291,-1.024,-0.867,-0.971,-0.952,-1.019,-1.086,-0.908,-0.732,-1.124,-0.886,-0.818,-0.673,-0.984,2
-0.461,-0.651,-0.98,-0.581,-0.376,-0.443,-0.432,-0.632,-0.815,-0.485,-0.317,-0.801,-0.48,-0.511,-0.353,-0.647,2
-0.639,-0.59,-1.126,-0.779,-0.609,-0.713,-0.669,-0.78,-0.908,-0.611,-0.392,-0.87,-0.59,-0.566,-0.334,-0.739,2
-0.6,-0.678,-1.064,-0.717,-0.559,-0.663,-0.642,-0.802,-0.948,-0.689,-0.555,-0.972,-0.637,-0.581,-0.45,-0.734,2
-0.631,-0.843,-0.981,-0.709,-0.592,-0.691,-0.684,-0.758,-0.975,-0.636,-0.562,-0.984,-0.599,-0.586,-0.482,-0.754,2
-0.769,-0.841,-1.194,-0.813,-0.588,-0.69,-0.646,-0.819,-0.947,-0.652,-0.415,-0.93,-0.687,-0.669,-0.48,-0.836,2
-0.643,-0.754,-1.037,-0.72,-0.574,-0.672,-0.674,-0.801,-0.925,-0.707,-0.626,-0.922,-0.625,-0.645,-0.521,-0.816,2
-0.872,-0.907,-1.218,-0.918,-0.761,-0.852,-0.837,-0.946,-1.021,-0.84,-0.656,-1.045,-0.816,-0.764,-0.601,-0.937,2
-0.631,-0.794,-1.113,-0.715,-0.544,-0.639,-0.601,-0.888,-1.041,-0.739,-0.58,-0.967,-0.733,-0.689,-0.539,-0.848,2
-0.846,-0.922,-1.192,-0.854,-0.708,-0.789,-0.747,-0.922,-1.007,-0.799,-0.615,-1.048,-0.816,-0.779,-0.631,-0.95,2
-0.841,-0.902,-1.173,-0.872,-0.707,-0.795,-0.783,-0.893,-0.986,-0.781,-0.601,-1.002,-0.767,-0.723,-0.565,-0.894,2
