@relation texture

@attribute A1 numeric
@attribute A3 numeric
@attribute A10 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute A38 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.038,-0.854,-0.871,-0.67,-0.87,-0.624,-0.444,-0.572,-0.871,-0.677,-0.613,2
-1.152,-0.821,-0.904,-0.648,-0.783,-0.745,-0.592,-0.709,-0.997,-0.809,-0.735,2
-0.985,-0.617,-0.67,-0.492,-0.658,-0.604,-0.509,-0.581,-0.858,-0.559,-0.517,2
-1.111,-0.807,-0.91,-0.763,-0.942,-0.74,-0.604,-0.747,-1.12,-0.653,-0.563,2
-1.239,-0.906,-0.93,-0.79,-0.964,-0.82,-0.632,-0.74,-1.007,-0.802,-0.654,2
-1.163,-0.872,-0.914,-0.797,-0.976,-0.856,-0.708,-0.781,-0.981,-0.794,-0.692,2
-1.113,-0.724,-0.767,-0.518,-0.692,-0.661,-0.453,-0.576,-0.838,-0.706,-0.552,2
-1.002,-0.78,-0.858,-0.632,-0.807,-0.643,-0.554,-0.654,-0.961,-0.602,-0.514,2
-1.142,-0.768,-0.813,-0.646,-0.811,-0.723,-0.58,-0.671,-0.949,-0.671,-0.513,2
-1.3,-0.965,-0.964,-0.821,-0.963,-0.957,-0.789,-0.868,-1.089,-0.858,-0.702,2
-1.036,-0.585,-0.709,-0.548,-0.603,-0.62,-0.498,-0.608,-0.905,-0.626,-0.582,2
-1.078,-0.742,-0.723,-0.661,-0.814,-0.747,-0.639,-0.717,-0.968,-0.687,-0.563,2
-1.246,-0.874,-0.92,-0.607,-0.746,-0.734,-0.512,-0.671,-1.025,-0.822,-0.69,2
-1.151,-0.675,-0.725,-0.534,-0.478,-0.53,-0.34,-0.472,-0.864,-0.576,-0.451,2
-1.055,-0.833,-0.941,-0.754,-0.943,-0.779,-0.746,-0.79,-1.026,-0.776,-0.736,2
-0.891,-0.653,-0.586,-0.466,-0.589,-0.431,-0.321,-0.45,-0.81,-0.452,-0.436,2
-1.295,-0.94,-0.92,-0.651,-0.743,-0.755,-0.467,-0.631,-0.977,-0.856,-0.731,2
-1.061,-0.568,-0.618,-0.402,-0.422,-0.701,-0.544,-0.657,-0.926,-0.705,-0.6,2
-0.966,-0.598,-0.578,-0.432,-0.514,-0.649,-0.521,-0.604,-0.835,-0.638,-0.648,2
-1.067,-0.738,-0.754,-0.704,-0.859,-0.738,-0.604,-0.708,-0.982,-0.691,-0.587,2
-1.173,-0.795,-0.782,-0.645,-0.757,-0.669,-0.484,-0.621,-0.956,-0.707,-0.596,2
-1.119,-0.785,-0.874,-0.64,-0.755,-0.68,-0.536,-0.641,-0.964,-0.635,-0.54,2
-0.975,-0.765,-0.847,-0.673,-0.867,-0.59,-0.413,-0.549,-0.883,-0.557,-0.465,2
-1.199,-0.867,-0.936,-0.764,-0.946,-0.842,-0.702,-0.804,-1.084,-0.86,-0.734,2
-1.106,-0.739,-0.847,-0.601,-0.77,-0.704,-0.499,-0.644,-0.963,-0.633,-0.451,2
-1.154,-0.731,-0.743,-0.567,-0.604,-0.602,-0.42,-0.545,-0.904,-0.574,-0.443,2
-1.114,-0.934,-0.989,-0.735,-0.9,-0.697,-0.533,-0.642,-0.968,-0.684,-0.612,2
-1.282,-0.857,-0.86,-0.641,-0.78,-0.761,-0.512,-0.666,-1.004,-0.791,-0.619,2
-1.213,-0.685,-0.693,-0.648,-0.759,-0.734,-0.554,-0.672,-0.974,-0.715,-0.563,2
-1.152,-0.639,-0.695,-0.628,-0.729,-0.651,-0.493,-0.602,-0.929,-0.605,-0.454,2
-1.182,-0.656,-0.711,-0.571,-0.54,-0.632,-0.426,-0.582,-0.95,-0.619,-0.471,2
-1.169,-0.892,-0.867,-0.617,-0.759,-0.787,-0.592,-0.701,-0.948,-0.825,-0.69,2
-0.935,-0.769,-0.751,-0.704,-0.887,-0.622,-0.525,-0.603,-0.853,-0.555,-0.595,2
-1.219,-0.896,-0.903,-0.748,-0.913,-0.814,-0.618,-0.755,-1.038,-0.83,-0.748,2
-1.044,-0.773,-0.841,-0.567,-0.69,-0.517,-0.337,-0.469,-0.833,-0.579,-0.507,2
-1.141,-0.811,-0.869,-0.619,-0.783,-0.579,-0.33,-0.494,-0.854,-0.663,-0.519,2
-1.031,-0.823,-0.902,-0.623,-0.811,-0.686,-0.588,-0.68,-1.006,-0.579,-0.566,2
-1.226,-0.877,-0.943,-0.836,-1.022,-0.89,-0.763,-0.855,-1.107,-0.909,-0.775,2
-1.154,-0.699,-0.732,-0.575,-0.663,-0.649,-0.402,-0.535,-0.857,-0.718,-0.553,2
-1.357,-0.953,-0.985,-0.744,-0.88,-0.805,-0.525,-0.685,-1.018,-0.9,-0.725,2
-1.185,-0.864,-0.946,-0.736,-0.908,-0.844,-0.715,-0.821,-1.114,-0.834,-0.748,2
-1.346,-0.937,-0.967,-0.711,-0.839,-0.796,-0.502,-0.667,-1.009,-0.868,-0.715,2
-1.15,-0.932,-0.934,-0.813,-1.028,-0.761,-0.608,-0.745,-1.059,-0.818,-0.744,2
-1.224,-0.837,-0.822,-0.688,-0.811,-0.695,-0.462,-0.623,-0.954,-0.797,-0.656,2
-1.218,-0.956,-1.005,-0.834,-1.029,-0.86,-0.674,-0.811,-1.1,-0.827,-0.719,2
-1.155,-0.905,-0.917,-0.689,-0.858,-0.765,-0.592,-0.687,-0.97,-0.78,-0.691,2
-1.193,-0.881,-0.958,-0.718,-0.904,-0.853,-0.713,-0.828,-1.109,-0.82,-0.721,2
-1.015,-0.53,-0.515,-0.49,-0.617,-0.608,-0.382,-0.518,-0.821,-0.559,-0.369,2
-1.091,-0.84,-0.883,-0.627,-0.783,-0.695,-0.515,-0.61,-0.906,-0.698,-0.646,2
-1.106,-0.79,-0.851,-0.811,-0.994,-0.737,-0.601,-0.707,-1.008,-0.758,-0.666,2
-1.072,-0.637,-0.659,-0.599,-0.721,-0.705,-0.545,-0.631,-0.888,-0.652,-0.571,2
-0.543,-0.61,-0.664,-0.713,-0.885,-0.346,-0.478,-0.543,-0.847,-0.344,-0.466,2
-1.11,-0.796,-0.792,-0.612,-0.74,-0.765,-0.691,-0.763,-1.029,-0.657,-0.586,2
-1.307,-0.929,-0.944,-0.748,-0.917,-0.958,-0.793,-0.904,-1.175,-0.925,-0.792,2
-1.263,-0.847,-0.932,-0.66,-0.815,-0.777,-0.535,-0.668,-0.986,-0.82,-0.689,2
-1.195,-0.798,-0.824,-0.547,-0.684,-0.738,-0.503,-0.635,-0.904,-0.763,-0.637,2
-1.124,-0.853,-0.812,-0.68,-0.824,-0.77,-0.648,-0.74,-1.036,-0.697,-0.587,2
-1.098,-0.762,-0.762,-0.576,-0.739,-0.677,-0.551,-0.628,-0.908,-0.661,-0.607,2
-0.964,-0.781,-0.902,-0.74,-0.926,-0.692,-0.639,-0.707,-0.937,-0.693,-0.612,2
-1.195,-0.93,-0.926,-0.881,-1.058,-0.884,-0.753,-0.819,-1.025,-0.821,-0.683,2
-1.32,-1.028,-1.078,-0.854,-1.068,-0.954,-0.774,-0.884,-1.148,-0.968,-0.862,2
