@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,10,13,16,20,23,28,30,33-34,41'

@attribute A1 numeric
@attribute A4 numeric
@attribute A7 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A23 numeric
@attribute A28 numeric
@attribute A30 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.153,-0.37,-0.534,-0.523,-0.616,-0.598,-0.705,-0.874,-0.677,-0.905,-0.285,-0.548,2
-0.939,-0.353,-0.525,-0.721,-0.494,-0.611,-0.7,-0.938,-0.663,-0.909,-0.366,-0.477,2
-1.375,-0.885,-1.029,-1.021,-0.813,-0.767,-0.893,-1.021,-0.833,-1.048,-0.81,-0.902,2
-1.18,-0.61,-0.766,-0.673,-0.669,-0.663,-0.794,-0.92,-0.733,-0.961,-0.448,-0.674,2
-1.278,-0.605,-0.8,-0.741,-0.622,-0.577,-0.686,-1.083,-0.894,-1.059,-0.646,-0.79,2
-1.191,-0.697,-0.829,-0.856,-0.696,-0.604,-0.749,-0.977,-0.741,-0.959,-0.579,-0.745,2
-1.117,-0.658,-0.795,-0.926,-0.659,-0.666,-0.8,-0.988,-0.697,-0.998,-0.545,-0.767,2
-1.031,-0.49,-0.628,-0.712,-0.621,-0.63,-0.778,-0.999,-0.704,-0.956,-0.455,-0.602,2
-1.167,-0.587,-0.739,-0.732,-0.606,-0.615,-0.727,-0.948,-0.768,-0.903,-0.493,-0.737,2
-0.966,-0.414,-0.522,-0.578,-0.372,-0.432,-0.514,-0.897,-0.659,-0.835,-0.481,-0.657,2
-1.246,-0.764,-0.91,-0.921,-0.659,-0.64,-0.758,-0.943,-0.724,-1,-0.654,-0.818,2
-0.889,-0.59,-0.653,-0.726,-0.752,-0.725,-0.889,-0.86,-0.631,-0.825,-0.465,-0.625,2
-1.235,-0.631,-0.794,-0.782,-0.689,-0.661,-0.799,-0.929,-0.681,-0.941,-0.573,-0.663,2
-1.159,-0.655,-0.788,-0.89,-0.806,-0.727,-0.875,-0.965,-0.755,-1.035,-0.695,-0.719,2
-1.151,-0.362,-0.566,-0.725,-0.406,-0.534,-0.478,-0.817,-0.537,-0.864,-0.413,-0.559,2
-1.381,-0.908,-1.038,-1.026,-0.936,-0.839,-1.018,-1.082,-0.896,-1.067,-0.772,-0.866,2
-1.213,-0.559,-0.737,-0.693,-0.661,-0.648,-0.759,-0.947,-0.728,-0.974,-0.495,-0.676,2
-0.596,-0.198,-0.317,-0.511,-0.475,-0.452,-0.634,-0.63,-0.425,-0.79,-0.396,-0.33,2
-1.212,-0.656,-0.809,-0.837,-0.791,-0.704,-0.84,-1.005,-0.75,-0.997,-0.571,-0.694,2
-1.075,-0.472,-0.648,-0.824,-0.568,-0.643,-0.763,-0.908,-0.654,-0.909,-0.451,-0.614,2
-1.295,-0.759,-0.9,-0.92,-0.738,-0.651,-0.743,-0.961,-0.746,-0.977,-0.725,-0.801,2
-0.99,-0.291,-0.46,-0.662,-0.278,-0.486,-0.396,-0.839,-0.531,-0.776,-0.388,-0.561,2
-1.117,-0.521,-0.677,-0.789,-0.669,-0.631,-0.776,-0.937,-0.702,-0.902,-0.485,-0.654,2
-1.346,-0.791,-0.94,-0.967,-0.783,-0.711,-0.839,-0.965,-0.759,-1.009,-0.704,-0.802,2
-1.129,-0.635,-0.76,-0.846,-0.738,-0.688,-0.844,-1.047,-0.773,-0.996,-0.679,-0.715,2
-1.118,-0.372,-0.552,-0.748,-0.539,-0.583,-0.622,-0.852,-0.559,-0.847,-0.299,-0.508,2
-1.186,-0.431,-0.622,-0.758,-0.5,-0.572,-0.577,-0.886,-0.627,-0.918,-0.451,-0.608,2
-1.252,-0.561,-0.729,-0.663,-0.459,-0.467,-0.507,-0.917,-0.719,-0.864,-0.525,-0.75,2
-1.16,-0.537,-0.73,-0.853,-0.723,-0.628,-0.805,-0.882,-0.672,-0.936,-0.423,-0.599,2
-1.182,-0.606,-0.746,-0.941,-0.849,-0.765,-0.97,-1.118,-0.829,-1.133,-0.583,-0.698,2
-1.285,-0.835,-0.979,-1.005,-0.707,-0.666,-0.8,-0.95,-0.728,-0.99,-0.7,-0.849,2
-0.977,-0.481,-0.619,-0.722,-0.475,-0.455,-0.592,-0.821,-0.53,-0.833,-0.346,-0.525,2
-1.24,-0.79,-0.918,-1,-0.861,-0.766,-0.949,-1.094,-0.83,-1.041,-0.79,-0.788,2
-1.013,-0.533,-0.647,-0.654,-0.638,-0.634,-0.791,-0.868,-0.652,-0.874,-0.424,-0.588,2
-1.076,-0.404,-0.587,-0.707,-0.399,-0.471,-0.526,-0.958,-0.733,-0.918,-0.496,-0.628,2
-1.183,-0.714,-0.846,-0.889,-0.795,-0.727,-0.91,-1.034,-0.756,-0.981,-0.734,-0.727,2
-0.984,-0.434,-0.595,-0.848,-0.729,-0.721,-0.838,-0.913,-0.666,-0.878,-0.499,-0.6,2
-1.077,-0.521,-0.672,-0.96,-0.666,-0.695,-0.872,-1.038,-0.762,-0.98,-0.687,-0.666,2
-1.239,-0.753,-0.882,-0.93,-0.9,-0.79,-0.964,-1.049,-0.815,-1.007,-0.675,-0.742,2
-1.045,-0.618,-0.719,-0.836,-0.748,-0.68,-0.867,-0.924,-0.664,-0.883,-0.568,-0.625,2
-1.105,-0.575,-0.713,-0.865,-0.738,-0.75,-0.948,-0.899,-0.687,-0.983,-0.477,-0.672,2
-0.904,-0.407,-0.513,-0.684,-0.579,-0.64,-0.834,-0.953,-0.678,-0.85,-0.352,-0.56,2
-0.653,-0.247,-0.353,-0.527,-0.499,-0.459,-0.63,-0.681,-0.463,-0.814,-0.441,-0.374,2
-1.01,-0.389,-0.489,-0.497,-0.41,-0.425,-0.493,-0.933,-0.727,-0.869,-0.38,-0.602,2
-1.048,-0.494,-0.641,-0.789,-0.604,-0.571,-0.75,-0.862,-0.602,-0.878,-0.418,-0.619,2
-1.061,-0.409,-0.599,-0.618,-0.27,-0.402,-0.422,-0.915,-0.737,-0.926,-0.431,-0.703,2
-1.1,-0.617,-0.752,-0.84,-0.734,-0.669,-0.845,-1.019,-0.764,-0.962,-0.631,-0.685,2
-0.964,-0.658,-0.773,-0.902,-0.702,-0.74,-0.926,-0.894,-0.741,-0.937,-0.566,-0.656,2
-1.035,-0.653,-0.766,-0.874,-0.674,-0.65,-0.852,-0.867,-0.614,-0.842,-0.589,-0.643,2
-1.169,-0.68,-0.826,-0.867,-0.692,-0.617,-0.759,-0.988,-0.775,-0.948,-0.626,-0.763,2
-1.164,-0.354,-0.602,-0.659,-0.531,-0.545,-0.652,-0.891,-0.743,-0.855,-0.436,-0.658,3
-1.167,-0.425,-0.642,-0.674,-0.372,-0.481,-0.467,-0.768,-0.623,-0.769,-0.646,-0.738,3
-1.207,-0.468,-0.695,-0.631,-0.538,-0.501,-0.629,-0.946,-0.827,-0.922,-0.657,-0.748,3
-1.23,-0.269,-0.469,-0.7,-0.323,-0.482,-0.328,-0.884,-0.736,-0.893,-0.631,-0.7,3
-1.17,-0.233,-0.496,-0.753,-0.379,-0.544,-0.476,-0.772,-0.63,-0.825,-0.617,-0.647,3
-1.166,-0.429,-0.642,-0.719,-0.437,-0.529,-0.593,-0.849,-0.742,-0.891,-0.721,-0.718,3
-1.171,-0.408,-0.639,-0.654,-0.505,-0.505,-0.594,-0.913,-0.788,-0.93,-0.53,-0.708,3
-1.284,-0.501,-0.758,-0.756,-0.599,-0.594,-0.678,-0.994,-0.868,-0.997,-0.661,-0.766,3
-1.014,-0.225,-0.464,-0.739,-0.231,-0.397,-0.326,-0.639,-0.45,-0.597,-0.604,-0.602,3
-1.182,-0.439,-0.654,-0.679,-0.514,-0.522,-0.614,-0.962,-0.832,-0.959,-0.637,-0.747,3
-1.228,-0.476,-0.709,-0.908,-0.562,-0.632,-0.686,-0.876,-0.768,-0.948,-0.778,-0.798,3
-1.287,-0.415,-0.694,-0.76,-0.586,-0.56,-0.663,-0.965,-0.895,-1,-0.675,-0.774,3
-1.162,-0.346,-0.603,-0.649,-0.477,-0.563,-0.611,-0.905,-0.746,-0.897,-0.531,-0.668,3
-1.18,-0.331,-0.575,-0.725,-0.468,-0.6,-0.512,-0.898,-0.772,-0.917,-0.636,-0.76,3
-1.193,-0.443,-0.689,-0.851,-0.53,-0.582,-0.641,-0.814,-0.721,-0.892,-0.726,-0.757,3
