@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,7,13,15,19-21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Telephone {A192,A191}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A12,A73,35,A151,A192,A201,1
A12,A72,25,A151,A191,A201,2
A11,A72,24,A151,A191,A201,2
A11,A75,60,A152,A191,A201,2
A14,A75,31,A152,A192,A201,1
A14,A75,57,A151,A191,A201,1
A12,A75,61,A153,A192,A201,2
A14,A72,29,A152,A191,A201,1
A11,A75,58,A152,A192,A201,1
A14,A73,29,A152,A192,A201,1
A11,A74,28,A152,A191,A201,2
A12,A73,39,A152,A192,A201,2
A13,A72,23,A151,A192,A201,1
A12,A73,66,A152,A191,A201,2
A11,A75,45,A152,A191,A201,1
A14,A75,36,A152,A192,A201,1
A14,A73,32,A152,A192,A201,1
A14,A74,25,A151,A192,A201,1
A11,A75,52,A152,A191,A201,1
A14,A72,28,A152,A191,A201,2
A12,A71,68,A153,A192,A201,1
A11,A74,20,A152,A191,A201,2
A12,A73,33,A152,A192,A201,1
A14,A73,28,A152,A192,A201,1
A14,A75,52,A152,A192,A201,1
A11,A74,21,A151,A191,A201,2
A14,A74,55,A152,A191,A202,1
A14,A73,30,A152,A192,A201,1
A14,A74,22,A152,A191,A201,2
A14,A75,51,A153,A191,A201,1
A11,A75,29,A152,A191,A201,2
A14,A73,27,A152,A191,A201,1
A12,A74,24,A152,A192,A201,1
A14,A75,32,A152,A191,A202,1
A12,A71,36,A153,A192,A201,1
A11,A75,49,A152,A192,A201,1
A14,A73,29,A151,A192,A201,1
A12,A74,32,A152,A192,A201,1
A12,A73,24,A152,A191,A201,2
A14,A73,25,A152,A191,A201,1
A14,A73,36,A152,A191,A201,1
A12,A72,23,A152,A191,A201,1
A11,A73,28,A151,A192,A201,2
A13,A73,36,A152,A192,A201,1
A14,A73,36,A152,A191,A201,1
A14,A75,63,A153,A192,A201,1
A12,A75,60,A153,A192,A201,2
A13,A72,26,A152,A191,A201,1
A12,A73,27,A152,A191,A201,1
A14,A74,27,A152,A191,A201,1
A12,A74,47,A152,A191,A201,1
A14,A73,33,A152,A192,A201,1
A12,A73,30,A152,A192,A201,2
A14,A75,35,A152,A192,A201,1
A14,A74,34,A152,A192,A201,1
A14,A74,35,A152,A192,A201,1
A11,A72,23,A152,A191,A201,2
A12,A73,23,A152,A191,A201,1
A14,A73,52,A152,A192,A201,1
A14,A73,26,A151,A191,A201,1
A11,A75,42,A153,A191,A201,1
A11,A74,37,A152,A191,A202,1
A14,A75,36,A153,A191,A201,1
A12,A73,26,A152,A191,A201,1
A12,A74,32,A152,A191,A201,1
A11,A71,43,A153,A191,A201,2
A12,A72,22,A152,A191,A201,2
A14,A74,24,A152,A191,A201,1
A14,A72,27,A152,A191,A201,1
A14,A75,52,A153,A192,A201,1
A12,A73,36,A152,A192,A201,2
A14,A73,32,A153,A191,A201,1
A13,A72,23,A152,A191,A201,1
A11,A73,22,A152,A192,A201,1
A14,A75,64,A152,A191,A201,1
A11,A73,28,A152,A191,A201,1
A14,A72,34,A152,A191,A201,1
A14,A74,35,A152,A192,A201,1
A13,A73,50,A152,A191,A201,1
A11,A75,43,A151,A192,A201,2
A13,A75,40,A151,A192,A201,1
A11,A75,46,A153,A192,A201,2
A12,A74,27,A152,A192,A201,2
A14,A73,32,A153,A192,A201,1
A12,A75,31,A152,A192,A201,1
A14,A73,47,A152,A191,A201,1
A13,A73,36,A152,A192,A201,1
A12,A72,29,A152,A191,A201,1
A14,A75,41,A152,A192,A201,1
A14,A72,31,A151,A191,A201,1
A12,A75,28,A151,A192,A201,1
A13,A71,66,A153,A191,A201,1
A11,A73,25,A151,A191,A201,2
A14,A75,40,A152,A191,A201,1
A12,A73,32,A152,A192,A202,2
A11,A75,39,A151,A192,A201,2
A12,A72,30,A152,A191,A201,2
A12,A73,42,A153,A191,A201,2
A14,A75,31,A152,A191,A201,2
A12,A74,49,A152,A191,A201,2
