@relation german

@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
36,A61,A93,A152,1
12,A61,A93,A152,1
60,A62,A92,A152,1
9,A61,A93,A152,1
21,A65,A93,A152,1
6,A61,A94,A151,1
48,A61,A93,A152,1
12,A61,A93,A152,1
12,A63,A91,A152,1
12,A61,A93,A152,1
6,A64,A92,A152,1
21,A65,A93,A152,1
15,A61,A92,A151,1
21,A61,A93,A152,1
15,A61,A93,A153,1
24,A61,A92,A152,1
6,A61,A92,A152,1
42,A61,A93,A153,1
30,A65,A92,A152,1
11,A61,A92,A152,1
9,A61,A93,A151,1
18,A61,A93,A152,1
24,A61,A93,A152,1
36,A61,A92,A152,1
12,A65,A92,A152,1
24,A65,A93,A152,1
60,A65,A93,A153,1
15,A62,A93,A152,1
48,A61,A92,A152,1
24,A61,A93,A153,1
24,A61,A92,A152,1
12,A61,A94,A152,1
24,A61,A93,A152,1
11,A61,A93,A152,1
15,A65,A93,A152,1
10,A61,A93,A152,1
9,A62,A93,A151,1
13,A61,A93,A152,1
12,A65,A92,A151,1
12,A61,A92,A152,1
48,A65,A91,A152,1
12,A65,A93,A152,1
18,A61,A92,A152,1
6,A65,A93,A152,1
6,A61,A92,A152,1
18,A61,A91,A152,1
48,A62,A93,A152,1
24,A61,A92,A151,1
36,A61,A93,A152,1
12,A63,A93,A152,1
28,A61,A93,A152,1
12,A61,A93,A152,1
12,A61,A93,A152,1
39,A62,A93,A151,1
21,A65,A93,A152,1
36,A61,A93,A152,1
48,A65,A93,A152,1
18,A61,A93,A152,1
24,A63,A93,A152,1
9,A65,A93,A152,1
24,A61,A92,A152,1
18,A61,A92,A152,1
6,A61,A92,A152,1
24,A65,A93,A152,1
12,A61,A93,A152,1
6,A61,A92,A152,1
24,A65,A93,A152,1
6,A61,A94,A152,1
48,A65,A93,A153,1
10,A65,A92,A152,1
15,A61,A93,A152,1
6,A63,A94,A152,1
36,A65,A93,A152,1
24,A65,A91,A153,1
15,A61,A92,A151,1
36,A61,A93,A152,1
12,A62,A92,A152,1
24,A62,A93,A152,1
18,A64,A93,A152,1
24,A61,A93,A153,1
22,A63,A93,A152,1
24,A62,A93,A151,1
11,A64,A92,A152,1
24,A64,A92,A152,1
11,A61,A93,A151,1
24,A65,A93,A152,1
12,A61,A93,A152,1
9,A62,A93,A152,1
12,A61,A93,A152,1
18,A65,A93,A152,1
15,A65,A92,A152,1
9,A61,A93,A152,1
24,A61,A92,A152,1
54,A65,A93,A152,1
15,A61,A93,A152,1
24,A63,A91,A152,1
24,A62,A94,A152,1
36,A61,A93,A152,1
24,A63,A93,A152,1
11,A64,A91,A152,1
24,A62,A92,A151,1
10,A65,A92,A151,1
20,A65,A93,A151,1
12,A61,A91,A152,1
6,A61,A93,A152,1
24,A61,A93,A152,1
18,A61,A94,A152,1
15,A63,A92,A153,1
18,A61,A94,A152,1
6,A65,A94,A152,1
24,A64,A92,A151,1
12,A61,A92,A151,1
10,A61,A92,A152,1
14,A61,A93,A153,1
12,A61,A92,A151,1
12,A61,A93,A152,1
24,A62,A93,A152,1
18,A61,A94,A152,1
11,A64,A92,A152,1
21,A61,A93,A152,1
12,A61,A93,A152,1
15,A61,A93,A152,1
12,A61,A92,A152,1
24,A65,A93,A152,1
12,A65,A93,A152,1
48,A65,A93,A152,1
12,A65,A92,A152,1
24,A61,A92,A153,1
18,A61,A92,A152,1
36,A61,A93,A152,1
36,A62,A93,A152,1
9,A62,A93,A152,1
9,A61,A93,A152,1
30,A62,A93,A152,1
30,A64,A93,A152,1
12,A62,A92,A151,1
12,A61,A94,A152,1
9,A61,A94,A151,1
12,A61,A93,A152,1
48,A61,A93,A153,1
24,A61,A94,A152,1
6,A62,A91,A152,1
24,A65,A92,A152,1
18,A61,A92,A152,1
9,A62,A91,A152,1
24,A61,A92,A152,1
18,A64,A93,A152,1
30,A61,A93,A152,1
12,A65,A93,A152,1
6,A61,A94,A151,1
30,A65,A93,A152,1
12,A61,A94,A152,1
36,A61,A93,A152,1
24,A65,A93,A152,1
8,A61,A93,A152,1
9,A61,A93,A152,1
18,A61,A92,A152,1
36,A62,A93,A153,1
18,A65,A92,A151,1
18,A65,A93,A152,1
12,A61,A94,A152,1
7,A61,A93,A152,1
27,A61,A93,A152,1
33,A61,A93,A152,1
12,A61,A94,A152,1
26,A61,A93,A152,1
12,A61,A92,A152,1
10,A63,A93,A153,1
12,A65,A93,A151,1
24,A65,A93,A152,1
15,A61,A93,A153,1
9,A62,A92,A151,1
24,A63,A92,A152,1
15,A64,A92,A152,1
48,A65,A93,A153,1
18,A65,A93,A152,1
21,A61,A93,A152,1
12,A63,A93,A152,1
24,A63,A93,A152,1
6,A62,A93,A151,1
24,A65,A93,A152,1
