@relation german

@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
3398,A61,A121,39,A191,1
2404,A61,A123,26,A191,1
727,A63,A124,46,A192,1
2171,A61,A123,29,A191,1
3049,A61,A122,45,A191,1
1388,A61,A121,26,A191,1
3577,A62,A121,26,A191,1
2629,A61,A123,29,A192,1
3632,A61,A123,22,A191,1
5842,A61,A122,35,A192,1
2221,A63,A123,20,A191,1
7882,A61,A122,45,A191,1
7409,A65,A122,37,A191,1
3244,A61,A123,33,A192,1
2978,A65,A121,32,A192,1
6313,A65,A123,41,A192,1
975,A61,A122,25,A191,1
1867,A65,A123,58,A192,1
1549,A65,A121,35,A191,1
7374,A61,A122,40,A192,1
3229,A65,A124,38,A192,1
1175,A61,A123,68,A192,1
5045,A65,A123,59,A192,1
1941,A64,A122,35,A192,1
1410,A63,A121,35,A192,1
2991,A65,A123,25,A191,1
3017,A61,A122,47,A191,1
936,A63,A123,52,A192,1
5493,A61,A124,42,A191,1
1113,A61,A121,26,A191,1
3394,A61,A123,65,A191,1
3016,A61,A123,24,A191,1
10477,A65,A124,42,A191,1
806,A61,A122,22,A191,1
2080,A63,A123,24,A191,1
10366,A61,A122,42,A192,1
802,A61,A123,27,A191,1
1471,A61,A124,35,A192,1
1391,A61,A121,27,A192,1
2964,A65,A124,49,A192,1
3160,A65,A122,41,A192,1
10222,A65,A123,37,A192,1
9566,A61,A123,31,A191,1
3863,A61,A124,32,A191,1
2323,A61,A123,24,A191,1
1163,A63,A121,44,A192,1
1804,A62,A122,44,A191,1
6761,A61,A124,45,A192,1
1047,A61,A122,50,A191,1
4380,A62,A123,35,A192,1
866,A61,A121,25,A191,1
1107,A61,A121,20,A192,1
6614,A61,A123,34,A192,1
3535,A61,A123,37,A192,1
2697,A61,A121,32,A191,1
590,A61,A121,26,A191,1
1444,A65,A122,23,A191,1
2284,A61,A123,28,A192,1
276,A61,A121,22,A191,1
640,A61,A121,49,A191,1
1543,A64,A121,33,A191,1
1149,A64,A121,46,A191,1
1961,A61,A123,23,A191,1
1287,A64,A121,37,A192,1
731,A61,A121,47,A191,1
1299,A61,A121,74,A191,1
7824,A65,A121,40,A192,1
1520,A65,A122,63,A191,1
4686,A61,A124,32,A192,1
4020,A61,A123,27,A191,1
3905,A61,A121,36,A191,1
3990,A65,A124,29,A191,1
11054,A65,A123,30,A192,1
1455,A61,A121,42,A191,1
5954,A61,A121,41,A191,1
5954,A61,A123,38,A191,1
3195,A65,A121,33,A191,1
1546,A61,A121,31,A191,1
1567,A61,A123,22,A192,1
2315,A61,A121,52,A191,1
2279,A65,A124,37,A192,1
682,A62,A123,51,A192,1
9283,A61,A124,55,A192,1
2022,A61,A123,37,A192,1
1494,A65,A121,29,A191,1
4351,A65,A122,48,A192,1
15857,A61,A123,43,A191,1
1957,A61,A123,31,A191,1
3001,A61,A121,40,A191,1
3711,A65,A123,27,A191,1
1288,A62,A121,48,A191,1
1424,A65,A121,55,A192,1
4530,A61,A123,26,A192,1
1201,A61,A122,26,A191,1
1950,A61,A123,34,A192,1
3565,A65,A122,37,A191,1
2748,A61,A124,57,A191,1
3518,A61,A122,26,A191,1
4788,A61,A122,26,A191,1
5507,A61,A124,44,A191,1
1858,A61,A123,22,A191,1
926,A61,A122,38,A191,1
1311,A62,A122,26,A192,1
6187,A62,A123,24,A191,1
5801,A65,A122,49,A192,1
1559,A61,A123,50,A192,1
2346,A61,A123,35,A192,1
6948,A61,A123,35,A192,1
683,A61,A122,29,A191,1
958,A61,A121,47,A191,1
2606,A61,A122,28,A192,1
1185,A61,A121,27,A191,1
14179,A65,A122,30,A192,1
1048,A61,A121,23,A191,1
1595,A61,A122,51,A191,1
1851,A61,A123,33,A192,1
1572,A64,A121,36,A191,1
2463,A62,A122,27,A192,1
1206,A61,A121,25,A191,1
3378,A65,A122,31,A192,1
1449,A62,A123,31,A191,1
1007,A64,A121,22,A191,1
1164,A61,A124,51,A192,1
730,A65,A122,46,A192,1
1238,A65,A122,36,A192,1
6742,A65,A122,36,A191,1
5800,A61,A123,34,A192,1
1360,A61,A122,31,A191,1
4473,A61,A123,31,A191,1
1168,A61,A121,27,A191,1
7228,A61,A122,39,A191,1
1898,A65,A121,34,A191,1
3972,A61,A122,25,A192,1
960,A64,A122,30,A191,1
3079,A65,A121,36,A191,1
5117,A61,A123,26,A191,1
976,A65,A123,35,A191,1
3749,A61,A123,26,A191,1
2788,A61,A123,24,A191,1
2186,A65,A121,33,A191,1
2142,A64,A121,28,A192,1
1552,A61,A123,32,A191,1
