@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,A34,2,25,1,1
A13,A32,3,57,1,1
A13,A34,4,66,1,1
A12,A32,3,36,1,1
A14,A32,2,35,1,1
A14,A30,4,34,1,1
A13,A32,2,46,1,1
A12,A32,4,48,1,1
A14,A32,2,31,1,1
A14,A32,4,20,1,1
A14,A34,4,42,2,1
A14,A34,2,32,1,1
A12,A34,4,40,1,1
A12,A33,2,41,1,1
A14,A32,4,36,1,1
A14,A34,2,38,1,1
A14,A32,4,22,1,1
A11,A34,3,37,1,1
A14,A34,3,27,1,1
A14,A33,2,46,1,1
A11,A32,3,36,1,1
A12,A32,4,60,1,1
A14,A34,4,52,1,1
A11,A34,3,49,1,1
A14,A32,2,29,1,1
A12,A32,2,35,1,1
A12,A32,1,24,1,1
A12,A32,2,33,1,1
A11,A31,4,22,1,1
A11,A34,1,28,1,1
A14,A34,4,65,1,1
A12,A34,2,34,1,1
A14,A30,2,39,2,1
A12,A32,1,29,1,1
A12,A32,4,38,1,1
A14,A34,2,46,1,1
A12,A32,1,22,1,1
A14,A34,3,35,1,1
A14,A34,4,48,1,1
A12,A32,2,24,1,1
A14,A32,4,26,1,1
A14,A33,4,32,2,1
A14,A34,1,30,1,1
A14,A32,4,31,1,1
A14,A34,4,43,1,1
A14,A33,4,54,1,1
A14,A34,2,33,2,1
A11,A32,1,35,1,1
A11,A34,4,39,1,1
A11,A32,1,24,1,1
A11,A34,4,24,1,1
A14,A34,4,60,1,1
A14,A32,4,23,1,1
A13,A34,4,36,1,1
A14,A32,3,20,1,1
A14,A34,3,38,2,1
A14,A32,3,34,2,1
A12,A34,3,47,2,1
A11,A32,2,36,1,1
A12,A33,4,47,1,1
A14,A33,2,26,1,1
A14,A34,3,24,1,1
A13,A34,1,74,2,1
A14,A32,2,28,1,1
A14,A34,3,23,1,1
A12,A32,1,26,1,1
A14,A33,4,34,1,1
A14,A34,4,35,1,1
A12,A32,1,22,1,1
A14,A33,1,37,1,1
A14,A34,1,42,2,1
A14,A32,4,43,2,1
A14,A34,1,28,1,1
A14,A32,4,21,1,1
A12,A34,4,36,1,1
A14,A34,2,30,1,1
A11,A32,2,28,1,1
A12,A32,4,23,1,1
A14,A32,1,35,1,1
