@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R4-7,9,12,21'

@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Customer {1,2}

@data
A43,3059,A64,A74,A91,A121,1
A43,1282,A62,A73,A92,A123,2
A42,2069,A65,A73,A94,A123,1
A43,409,A64,A73,A92,A121,1
A41,6187,A62,A74,A94,A123,1
A43,2073,A62,A73,A92,A121,1
A49,14421,A61,A73,A93,A123,2
A45,5190,A65,A75,A93,A122,1
A49,5954,A61,A74,A92,A121,1
A43,5943,A65,A72,A92,A123,2
A40,2249,A62,A74,A93,A123,1
A49,2622,A62,A73,A93,A123,1
A40,1469,A62,A75,A94,A121,1
A40,709,A64,A72,A94,A121,1
A42,5371,A61,A73,A93,A122,1
A40,571,A61,A75,A93,A121,1
A42,3777,A64,A73,A93,A121,1
A40,884,A61,A75,A93,A123,2
A41,5129,A61,A75,A92,A124,2
A46,1501,A61,A75,A92,A123,2
A49,3104,A61,A74,A93,A122,1
A43,3913,A61,A73,A93,A121,1
A43,866,A61,A73,A94,A121,1
A43,1533,A61,A72,A92,A123,1
A43,999,A65,A75,A93,A123,1
A43,2697,A61,A73,A93,A121,1
A41,6419,A61,A75,A92,A124,1
A41,4796,A61,A75,A93,A124,1
A46,701,A61,A73,A93,A123,1
A40,7408,A62,A72,A92,A122,2
A41,11590,A62,A73,A92,A123,2
A43,1459,A61,A73,A92,A123,1
A43,2331,A65,A75,A93,A121,1
A49,7685,A61,A74,A92,A123,2
A40,1820,A61,A73,A94,A122,1
A42,983,A64,A72,A92,A121,1
A46,11760,A62,A74,A93,A124,1
A40,1223,A61,A75,A91,A121,2
A43,1473,A61,A72,A94,A121,1
A43,3235,A63,A75,A91,A123,1
A41,5842,A61,A75,A93,A122,1
A43,2743,A61,A75,A93,A123,1
A45,3394,A61,A71,A93,A123,1
A410,2629,A61,A73,A93,A123,1
A42,2759,A61,A75,A93,A122,1
A40,3905,A61,A73,A93,A121,1
A44,343,A61,A72,A92,A121,1
A40,1721,A61,A72,A93,A121,1
A49,2764,A61,A73,A92,A123,1
A43,3092,A62,A72,A94,A123,2
A42,3114,A61,A72,A92,A122,2
A42,960,A64,A74,A92,A122,1
A40,1207,A61,A72,A92,A122,2
A41,7966,A61,A72,A93,A123,1
A46,2319,A61,A72,A91,A123,2
A43,626,A61,A73,A92,A121,2
A46,1199,A61,A74,A92,A122,1
A46,1927,A65,A73,A92,A123,1
A42,1388,A61,A73,A92,A121,1
A40,1965,A65,A73,A92,A123,1
A40,2775,A61,A74,A93,A122,2
A43,2051,A61,A72,A93,A121,1
A40,947,A61,A74,A93,A124,2
A42,6361,A61,A75,A93,A124,1
A410,6314,A61,A71,A93,A124,1
A43,3017,A61,A75,A93,A122,1
A49,4139,A62,A73,A93,A122,1
A40,10366,A61,A75,A93,A122,1
A43,1478,A61,A73,A94,A121,1
A40,6527,A65,A73,A93,A124,1
A40,3651,A64,A73,A93,A122,1
A43,629,A63,A75,A93,A122,1
A41,7596,A65,A75,A93,A123,1
A43,1337,A61,A72,A93,A123,2
A43,1882,A61,A73,A92,A123,2
A49,1797,A61,A72,A93,A122,1
A43,5771,A61,A74,A92,A123,1
A41,5711,A64,A75,A93,A123,1
A48,1410,A61,A73,A93,A121,1
A41,2751,A65,A75,A93,A123,1
A42,2301,A62,A72,A92,A122,1
A40,717,A65,A75,A94,A123,1
A40,3931,A61,A74,A93,A124,2
A40,7432,A61,A73,A92,A122,1
A43,2611,A61,A75,A94,A121,1
A40,2235,A61,A73,A94,A122,2
A40,3959,A61,A73,A92,A122,2
A42,4526,A64,A72,A93,A121,1
A43,3595,A61,A75,A93,A123,1
A46,795,A61,A72,A92,A122,2
A49,15672,A61,A73,A93,A123,2
A41,7824,A65,A72,A93,A121,1
A41,5800,A61,A73,A93,A123,1
A42,2359,A62,A71,A91,A122,2
A43,1867,A65,A75,A93,A123,1
A43,1670,A61,A72,A92,A123,2
A43,745,A61,A73,A92,A121,2
A49,2145,A61,A74,A93,A123,2
A43,2397,A63,A75,A93,A123,2
A40,2538,A61,A75,A93,A123,2
