@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2,6,9,15,21'

@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
30,A65,A93,A152,1
6,A61,A93,A152,1
60,A61,A93,A152,2
24,A61,A93,A152,1
9,A61,A94,A152,1
18,A62,A92,A151,1
36,A61,A93,A152,1
18,A61,A93,A152,2
12,A63,A94,A152,1
33,A63,A92,A152,2
21,A61,A92,A152,2
36,A61,A93,A152,2
36,A61,A92,A152,1
21,A61,A92,A152,1
6,A62,A93,A153,1
24,A61,A91,A152,2
12,A61,A93,A151,1
15,A61,A93,A152,1
9,A65,A93,A152,1
6,A65,A93,A152,2
18,A61,A93,A153,1
12,A63,A92,A151,1
47,A61,A92,A152,1
24,A61,A92,A152,1
12,A61,A93,A152,1
18,A64,A93,A152,1
24,A64,A92,A152,1
6,A61,A93,A152,1
21,A61,A92,A151,1
6,A62,A93,A152,1
24,A61,A93,A152,2
18,A61,A92,A151,1
18,A61,A92,A152,1
12,A61,A92,A153,1
12,A63,A94,A152,2
10,A63,A93,A151,1
18,A61,A92,A153,2
6,A61,A93,A153,1
12,A61,A92,A152,2
15,A64,A94,A152,2
24,A61,A93,A152,1
24,A61,A93,A152,1
36,A61,A93,A153,1
24,A62,A92,A152,1
12,A61,A94,A151,1
24,A62,A94,A152,1
6,A65,A92,A152,1
24,A61,A93,A153,1
48,A65,A93,A153,1
24,A61,A93,A152,2
24,A65,A93,A153,1
24,A61,A93,A151,2
36,A65,A93,A153,2
48,A65,A93,A152,1
12,A61,A92,A152,1
36,A61,A93,A151,2
18,A61,A92,A151,2
12,A61,A93,A152,2
7,A61,A92,A152,1
36,A61,A92,A152,2
24,A61,A92,A151,1
15,A62,A93,A152,2
24,A61,A93,A152,2
24,A61,A93,A152,1
15,A61,A91,A152,1
12,A61,A93,A152,1
24,A61,A92,A151,2
39,A65,A93,A152,1
24,A62,A94,A152,1
12,A61,A94,A152,1
18,A61,A92,A152,1
12,A62,A92,A152,2
18,A64,A93,A152,1
21,A61,A92,A152,2
18,A61,A94,A152,2
36,A61,A93,A152,2
18,A61,A92,A151,2
18,A61,A92,A151,2
45,A61,A93,A151,2
12,A61,A93,A152,1
15,A65,A92,A152,1
9,A61,A93,A153,2
24,A61,A93,A152,1
30,A65,A93,A152,1
36,A61,A93,A152,1
12,A61,A93,A152,1
20,A65,A91,A152,1
24,A61,A93,A152,1
12,A61,A93,A151,1
10,A62,A93,A152,1
48,A63,A93,A152,1
24,A65,A93,A152,1
12,A65,A93,A152,1
10,A61,A93,A152,1
4,A61,A93,A152,1
48,A63,A92,A152,1
12,A65,A93,A152,1
24,A64,A92,A151,1
24,A62,A93,A153,1
30,A61,A92,A152,1
