@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,6761,3,45,A143,2,1
A11,1620,3,30,A143,1,1
A11,428,1,49,A141,1,1
A11,3104,1,31,A141,1,1
A14,937,3,27,A143,1,1
A14,7629,2,46,A141,2,1
A14,6614,4,34,A143,1,1
A14,7253,2,35,A143,1,1
A14,1076,2,26,A143,1,1
A13,3016,1,24,A143,1,1
A13,3148,2,31,A143,1,1
A14,2171,2,29,A141,1,1
A11,571,4,65,A143,1,1
A14,929,2,31,A142,1,1
A12,458,3,24,A143,1,1
A12,7758,4,29,A143,1,1
A14,3235,2,26,A143,1,1
A12,3001,4,40,A143,1,1
A14,3378,1,31,A143,1,1
A12,1549,2,35,A143,1,1
A12,7582,4,31,A143,1,1
A12,1082,4,27,A143,1,1
A14,717,4,52,A143,1,1
A14,2675,4,40,A143,1,1
A12,2427,2,42,A143,1,1
A12,3976,3,35,A143,1,1
A11,2325,3,32,A141,1,1
A12,2896,1,29,A143,1,1
A11,1433,3,25,A143,1,1
A11,385,3,58,A143,1,1
A12,1154,4,37,A143,1,1
A11,7882,4,45,A143,2,1
A11,8072,3,25,A141,1,1
A14,1393,2,31,A143,1,1
A11,4020,2,27,A142,1,1
A14,1154,4,57,A143,1,1
A14,3331,4,42,A142,1,1
A13,1480,4,66,A141,1,1
A14,1950,1,34,A142,1,1
A12,2181,4,36,A143,1,1
A14,4454,4,34,A143,1,1
A12,1567,1,22,A143,1,1
A14,1559,4,50,A141,1,1
A14,2872,4,36,A143,2,1
A14,1901,4,29,A143,1,1
A11,2442,4,43,A142,2,1
A14,2743,2,29,A143,1,1
A12,625,1,26,A141,1,1
A13,1925,2,26,A143,1,1
A11,1498,1,23,A141,1,1
A13,5152,2,25,A141,1,1
A12,2323,4,24,A143,1,1
A12,3512,3,38,A141,1,1
A14,9436,2,39,A143,2,1
A12,1860,2,34,A143,1,1
A13,1343,4,46,A143,2,1
A14,3868,2,41,A143,1,1
A14,1554,2,24,A143,1,1
A12,1410,2,35,A143,1,1
A11,2132,3,27,A143,1,1
A12,1113,4,26,A143,2,1
A11,2121,2,30,A143,1,1
A14,3181,4,26,A143,1,1
A14,2708,3,27,A141,1,1
A12,3566,2,30,A143,1,1
A11,7476,1,50,A143,1,1
A11,338,4,52,A143,1,1
A11,2483,4,22,A142,1,1
A14,5117,4,26,A143,1,1
A14,4811,4,24,A142,1,1
A14,1503,4,41,A143,1,1
A14,846,4,36,A143,1,1
A14,7228,4,39,A143,1,1
A14,5324,4,35,A143,1,1
A14,1453,1,26,A143,1,1
A14,1338,4,62,A143,1,1
A11,6568,2,21,A142,1,1
A14,2759,4,34,A143,1,1
A13,1275,2,23,A143,1,1
A14,3430,2,31,A143,2,1
A14,2679,1,29,A143,1,1
A11,1797,1,28,A141,1,1
A14,1169,3,29,A143,1,1
A12,754,4,38,A143,1,1
A11,701,2,40,A143,1,1
A13,392,4,23,A143,1,1
A11,1364,4,59,A143,1,1
A12,2862,3,30,A143,1,1
A11,1526,4,66,A143,1,1
A14,2301,4,22,A143,1,1
A11,1957,4,31,A143,1,1
A12,4576,4,27,A143,1,1
A11,2647,3,44,A143,2,1
A12,1913,3,36,A141,1,1
A13,3617,4,20,A143,1,1
A14,2788,3,24,A141,1,1
A12,2629,3,29,A141,1,1
A11,1872,4,36,A143,1,1
A14,3229,4,38,A143,1,1
A11,1478,4,44,A143,2,1
A13,1126,4,49,A143,1,1
A12,9283,2,55,A141,1,1
A11,1374,2,36,A141,1,1
A12,1537,4,50,A143,1,1
A14,874,1,24,A143,1,1
A11,2577,1,42,A143,1,1
A14,1736,4,31,A143,1,1
A11,2241,3,48,A143,2,1
A14,1163,4,44,A143,1,1
A13,1377,2,47,A143,1,1
A12,7057,4,36,A141,2,1
A14,2346,3,35,A143,1,1
A14,1388,2,26,A143,1,1
A14,8588,2,45,A143,1,1
A14,4042,4,36,A143,1,1
A14,3488,4,23,A143,1,1
A12,6078,2,32,A143,1,1
A13,709,2,27,A143,1,1
A14,3275,4,36,A143,1,1
A14,4657,2,30,A143,1,1
A12,6468,4,60,A143,1,1
A14,1300,4,45,A141,2,1
A14,2578,2,34,A143,1,1
A12,1175,3,68,A143,1,1
A12,3652,3,27,A143,1,1
A12,3711,2,27,A143,1,1
A11,609,3,37,A143,1,1
A14,926,2,38,A143,1,1
A12,2930,1,27,A143,1,1
A11,1053,2,27,A143,1,1
A14,1478,3,33,A141,1,1
A14,660,4,23,A143,1,1
A14,1249,2,28,A143,1,1
A14,2831,2,33,A143,1,1
A12,983,4,19,A143,1,1
A12,6204,4,44,A143,2,1
A14,1126,2,21,A143,1,1
A12,6948,2,35,A143,1,1
A14,730,2,46,A143,1,1
A11,3021,2,24,A143,1,1
A11,652,4,24,A143,1,1
A14,8133,2,30,A141,1,1
A12,1410,2,31,A143,1,1
A14,2073,2,28,A143,1,1
A14,1568,4,24,A143,1,1
A12,9857,3,31,A143,2,1
A14,700,4,36,A143,1,1
A13,3656,4,49,A142,1,1
A14,10366,4,42,A143,1,1
A14,7238,3,32,A141,2,1
A14,1316,2,47,A143,1,1
A11,708,3,38,A143,2,1
A14,3422,4,47,A141,2,1
A14,1418,2,35,A143,1,1
A14,8613,2,27,A143,1,1
A14,3447,3,35,A143,2,1
A12,6403,2,33,A143,1,1
A14,1412,2,29,A143,1,1
A14,936,2,52,A143,1,1
A14,2848,2,32,A143,2,1
A14,7814,3,38,A143,1,1
A11,6187,4,24,A143,1,1
A14,3972,4,25,A143,1,1
A12,5381,4,40,A141,1,1
A13,1445,4,49,A141,1,1
A14,5771,2,25,A143,1,1
A11,4716,3,44,A143,2,1
A12,484,3,28,A141,1,1
A11,1374,3,75,A143,1,1
A14,1231,4,32,A143,2,1
A14,1287,4,37,A143,1,1
A11,3763,2,24,A143,1,1
A14,2032,4,60,A143,1,1
A14,1469,4,41,A143,1,1
A11,3650,4,22,A143,1,1
A11,1361,4,40,A143,2,1
A14,5954,2,38,A143,1,1
A14,2394,4,25,A143,1,1
A11,2384,4,64,A141,1,1
A11,1288,4,48,A143,2,1
A14,3518,3,26,A143,1,1
A14,1360,2,31,A143,1,1
A14,5801,4,49,A143,1,1
A14,1455,1,42,A143,2,1
A12,454,1,22,A143,1,1
A14,8947,2,31,A142,2,1
A14,2697,2,32,A143,2,1
A11,2964,4,49,A141,2,1
A14,3079,4,36,A143,1,1
A14,2186,4,33,A141,1,1
A12,7472,2,24,A143,1,1
A12,4351,4,48,A143,1,1
A14,2670,4,35,A143,1,1
A14,2320,3,34,A143,1,1
A12,1577,1,20,A143,1,1
A14,4526,2,74,A143,1,1
A11,2315,4,52,A143,1,1
A14,1766,2,21,A143,1,1
A14,1473,4,39,A143,1,1
A11,1164,4,51,A141,2,1
A13,781,4,63,A143,1,1
A14,5804,2,27,A143,1,1
A12,1239,4,61,A143,1,1
A14,1386,2,40,A143,1,1
A12,2063,3,30,A143,1,1
A13,1474,1,33,A141,1,1
A14,1495,1,38,A143,2,1
A11,2511,4,23,A143,1,1
A11,1168,3,27,A143,1,1
A14,1934,2,26,A143,1,1
A12,2745,2,32,A143,1,1
A13,4796,4,56,A143,1,1
A14,3595,2,28,A143,1,1
A14,9055,4,35,A143,2,1
A14,1055,1,30,A143,1,1
A11,1403,4,28,A143,1,1
A14,2375,2,44,A143,2,1
A13,2923,1,28,A141,1,1
A14,3380,1,37,A143,2,1
A12,1967,4,20,A143,1,1
A12,2528,1,32,A143,2,1
A12,2118,2,37,A143,2,1
A14,4675,4,20,A143,1,1
A11,662,4,41,A143,2,1
A14,717,4,54,A143,1,1
A14,1364,4,64,A143,1,1
A12,2366,3,36,A143,1,1
A13,5848,1,24,A143,1,1
A14,2028,2,30,A143,1,1
A14,3780,2,35,A143,1,1
A14,1768,2,24,A143,1,1
A14,1311,3,26,A143,1,1
A11,2249,3,30,A143,2,1
A12,1521,2,31,A143,1,1
A11,339,1,45,A141,1,1
A14,640,2,49,A143,1,1
A14,909,4,36,A143,1,1
A14,3609,1,27,A142,1,1
A14,932,2,24,A143,1,1
A12,5084,4,42,A143,1,1
A12,6260,3,28,A143,1,1
A11,4583,2,32,A143,1,1
A14,894,3,40,A143,1,1
A13,3749,4,26,A143,1,1
A14,6842,4,46,A143,2,1
A12,2030,1,24,A143,1,1
A14,776,2,28,A143,1,1
A12,2576,2,35,A143,1,1
A14,6314,2,27,A141,1,1
A13,2116,2,41,A143,1,1
A14,1185,2,27,A143,1,1
A14,2507,4,51,A143,1,1
A11,3905,2,36,A143,2,1
A11,1721,3,36,A143,1,1
A14,672,4,54,A143,1,1
A14,3342,2,51,A143,1,1
A11,3590,2,29,A143,2,1
A14,1552,1,32,A141,2,1
A14,2197,4,43,A143,2,1
A12,6361,1,41,A143,1,1
A14,1346,4,42,A141,2,1
A11,2578,4,55,A143,1,1
A12,1743,2,48,A143,1,1
A14,1262,3,36,A143,1,1
A14,1743,2,34,A143,1,1
A14,2463,3,27,A143,1,1
A12,3872,4,67,A143,1,1
A14,3448,4,74,A143,1,1
A14,1884,4,39,A143,1,1
A12,4221,1,28,A143,1,1
A14,2142,2,28,A143,1,1
A14,1409,4,64,A143,1,1
A14,1867,4,58,A143,1,1
A14,9277,4,48,A143,1,1
A11,1936,4,23,A143,1,1
A14,6313,4,41,A143,2,1
A14,1382,1,28,A143,1,1
A11,2214,3,24,A143,1,1
A11,2122,2,39,A143,2,1
A14,7166,4,29,A143,1,1
A11,2799,2,36,A143,2,1
A14,2069,1,26,A143,1,1
A14,2753,4,35,A143,1,1
A14,2611,3,46,A143,1,1
A14,2133,4,52,A143,1,1
A11,1262,4,49,A143,1,1
A14,1542,4,36,A143,1,1
A12,276,4,22,A143,1,1
A14,1313,4,20,A143,1,1
A12,2353,4,47,A143,1,1
A14,1240,2,38,A143,1,1
A13,2687,4,26,A143,1,1
A14,3863,2,32,A143,1,1
A12,1103,3,29,A143,1,1
A11,975,3,25,A143,1,1
A12,3069,4,30,A143,1,1
A14,3594,2,46,A143,1,1
A14,7393,4,43,A143,2,1
A12,1295,1,27,A143,1,1
A14,3565,1,37,A143,2,1
A12,760,2,44,A143,1,1
A14,2476,4,46,A143,1,1
A13,2892,4,51,A143,1,1
A12,2503,2,41,A142,1,1
A12,1514,2,22,A143,1,1
A14,2662,3,32,A143,1,1
A11,10722,1,35,A143,1,1
A11,4788,3,26,A143,2,1
A11,4169,4,28,A143,1,1
A14,1820,2,30,A143,1,1
A12,3573,1,23,A143,1,1
A14,2288,4,23,A143,1,1
A14,3835,4,45,A143,1,1
A14,3777,4,50,A143,1,1
A14,5842,2,35,A143,2,1
A14,1963,2,31,A143,2,1
A11,1344,2,43,A143,2,1
A14,1413,2,28,A143,1,1
A14,1935,4,43,A143,1,1
A12,3612,4,37,A143,1,1
A14,1572,4,36,A141,1,1
A14,763,1,26,A143,1,1
A11,1038,3,49,A143,1,1
A14,1224,1,30,A143,1,1
