@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute ResidenceSince numeric
@attribute Customer {1,2}

@data
A14,24,A32,A41,3488,A92,4,1
A11,24,A32,A42,3149,A93,1,1
A14,9,A34,A46,936,A93,2,1
A12,9,A34,A42,1919,A93,3,1
A12,6,A32,A43,753,A92,3,1
A14,24,A32,A43,3235,A91,2,1
A14,27,A33,A49,5117,A93,4,1
A12,24,A32,A41,2760,A93,4,1
A14,12,A32,A40,3527,A93,3,1
A11,12,A34,A41,1409,A93,3,1
A12,12,A32,A43,1092,A92,4,1
A11,6,A32,A40,662,A93,4,1
A11,10,A34,A40,2241,A93,3,1
A11,30,A30,A42,4583,A91,2,1
A14,24,A32,A40,1393,A93,2,1
A11,12,A32,A46,1200,A92,4,1
A14,36,A33,A42,7678,A92,4,1
A12,6,A34,A48,932,A92,3,1
A14,12,A34,A42,1592,A92,2,1
A14,18,A34,A41,3229,A93,4,1
A14,12,A32,A40,2859,A93,4,1
A14,12,A32,A43,3059,A91,4,1
A11,27,A34,A49,2442,A93,4,1
A13,15,A32,A49,2687,A93,4,1
A14,12,A32,A49,1076,A94,2,1
A12,12,A34,A43,3573,A92,1,1
A14,15,A32,A41,3812,A92,4,1
A14,28,A31,A41,7824,A93,4,1
A11,36,A32,A410,15857,A91,3,1
A11,6,A32,A42,428,A92,1,1
A13,24,A32,A42,2892,A91,4,1
A12,18,A32,A43,1113,A92,4,1
A12,12,A32,A42,983,A92,4,1
A11,42,A32,A42,7882,A93,4,1
A11,18,A33,A46,8471,A92,2,1
A12,18,A33,A40,2899,A93,4,1
A14,24,A34,A43,1516,A92,1,1
A14,36,A32,A49,7409,A93,2,1
A11,12,A32,A43,701,A94,2,1
A12,10,A31,A43,1048,A93,4,1
A11,24,A32,A42,1747,A93,1,1
A12,36,A33,A49,9857,A93,3,1
A14,36,A32,A43,3835,A92,4,1
A14,24,A32,A40,1525,A92,3,1
A11,20,A34,A42,4272,A92,4,1
A12,18,A32,A40,6260,A93,3,1
A13,36,A32,A43,3913,A93,2,1
A11,39,A34,A42,14179,A93,4,1
A14,12,A30,A42,2759,A93,4,1
A14,12,A32,A42,1574,A93,2,1
A14,18,A34,A40,1055,A92,1,1
A14,30,A34,A43,5771,A92,2,1
A14,36,A32,A40,3079,A93,4,1
A14,4,A34,A40,1455,A93,1,1
A14,18,A34,A43,1098,A92,4,1
A11,47,A32,A40,10722,A92,1,1
A14,24,A32,A43,1413,A94,2,1
A14,36,A32,A43,2299,A93,4,1
A14,12,A34,A46,2012,A92,2,1
A13,24,A34,A42,3617,A93,4,1
A14,18,A32,A43,2051,A93,1,1
A11,12,A32,A40,1168,A94,3,1
A13,10,A34,A43,1347,A93,2,1
A12,7,A32,A43,2415,A93,2,1
A14,24,A32,A43,3181,A92,4,1
A14,6,A32,A46,1538,A92,2,1
A12,24,A34,A41,7758,A92,4,1
A14,6,A31,A40,783,A93,2,1
A14,12,A32,A43,1963,A93,2,1
A11,15,A32,A49,806,A92,4,1
A11,24,A32,A43,2384,A93,4,1
A14,6,A32,A43,1346,A93,4,1
A14,12,A32,A41,4675,A92,4,1
A14,6,A34,A40,2080,A94,2,1
A12,24,A34,A40,3878,A91,2,1
A14,18,A34,A43,1149,A93,3,1
A11,12,A34,A43,385,A92,3,1
A12,12,A32,A43,1155,A94,3,1
A14,39,A32,A41,2569,A93,4,1
A14,36,A34,A40,6614,A93,4,1
A14,6,A32,A48,1238,A93,4,1
A12,12,A32,A48,754,A93,4,1
A14,24,A32,A42,929,A93,2,1
A12,12,A34,A40,1995,A93,1,1
A13,24,A32,A43,1258,A92,3,1
A12,12,A34,A44,1424,A93,3,1
A14,12,A34,A43,1934,A93,2,1
A14,21,A34,A41,3275,A93,4,1
A12,12,A34,A41,1804,A93,4,1
A11,36,A32,A41,5493,A93,4,1
A12,24,A33,A49,4712,A93,2,1
A11,18,A32,A42,3650,A92,4,1
A11,24,A34,A49,1382,A93,1,1
A11,12,A32,A43,1107,A93,2,1
A14,11,A32,A49,2142,A91,2,1
A12,24,A32,A43,3758,A92,4,1
A14,12,A34,A40,682,A92,3,1
A12,12,A34,A40,3124,A93,3,1
A12,12,A32,A43,1158,A91,1,1
A12,45,A34,A41,4576,A93,4,1
A12,18,A32,A43,1301,A94,2,1
A14,30,A34,A43,3077,A93,2,1
A14,15,A34,A43,1829,A93,4,1
A11,6,A32,A41,1352,A92,2,1
A14,22,A32,A43,2675,A93,4,1
A14,24,A34,A43,2611,A94,3,1
A12,18,A34,A42,7374,A93,4,1
A12,24,A32,A43,5084,A92,4,1
A14,24,A32,A40,7393,A93,4,1
A14,24,A33,A40,717,A94,4,1
A14,6,A34,A42,1221,A94,2,1
A14,18,A34,A43,2404,A92,2,1
A14,18,A34,A43,1800,A93,2,1
A12,48,A31,A49,3566,A93,2,1
A12,9,A32,A40,276,A94,4,1
A14,15,A33,A42,960,A92,2,1
A14,24,A32,A43,3105,A93,2,1
A14,24,A32,A43,1552,A93,1,1
