@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-3,8,10,15,17,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A12,24,A32,4,A101,A153,A174,2
A12,12,A34,3,A101,A152,A173,1
A12,18,A32,2,A101,A152,A173,1
A14,30,A32,4,A101,A152,A174,1
A11,48,A34,4,A101,A153,A172,2
A14,36,A32,4,A101,A152,A173,1
A12,24,A33,4,A101,A152,A172,1
A12,27,A33,1,A101,A152,A174,1
A14,12,A32,3,A101,A152,A173,1
A14,6,A31,1,A103,A152,A172,1
A12,11,A33,2,A101,A152,A173,1
A12,30,A32,2,A101,A152,A173,1
A12,12,A32,4,A101,A152,A173,1
A14,12,A34,4,A101,A152,A173,1
A12,15,A34,4,A103,A152,A173,1
A11,18,A32,2,A101,A152,A173,2
A14,12,A34,4,A101,A152,A173,1
A14,10,A32,1,A101,A152,A173,1
A14,6,A34,1,A101,A152,A172,1
A12,10,A32,2,A101,A153,A174,1
A11,18,A32,4,A101,A152,A173,2
A14,24,A32,2,A101,A152,A174,2
A12,45,A32,4,A103,A151,A173,2
A11,12,A32,4,A101,A151,A173,1
A14,36,A30,4,A101,A152,A173,1
A12,48,A32,1,A102,A152,A173,2
A12,60,A33,1,A101,A152,A172,1
A14,24,A34,4,A101,A152,A172,1
A14,36,A34,4,A101,A152,A173,1
A11,30,A32,1,A101,A152,A172,2
A14,18,A34,2,A101,A152,A173,1
A12,24,A34,4,A101,A152,A173,1
A14,6,A32,4,A101,A152,A173,1
A11,15,A33,1,A101,A152,A172,1
A11,8,A34,1,A101,A152,A172,1
A11,24,A34,2,A101,A153,A174,1
A14,18,A34,4,A101,A152,A173,2
A11,24,A30,3,A101,A151,A173,2
A14,9,A32,1,A101,A151,A173,1
A13,12,A32,2,A101,A152,A174,1
A14,6,A34,4,A101,A152,A172,1
A12,18,A34,4,A101,A152,A174,1
A11,36,A34,3,A101,A152,A173,1
A12,18,A33,4,A101,A152,A173,1
A11,18,A33,1,A101,A151,A173,1
A14,21,A33,4,A101,A152,A174,1
A12,18,A32,1,A101,A151,A173,1
A14,36,A34,4,A101,A152,A174,1
A11,12,A32,3,A101,A153,A173,2
A14,6,A32,4,A101,A152,A174,1
A14,24,A32,4,A102,A153,A173,1
A14,24,A34,4,A101,A152,A173,1
A12,18,A32,4,A103,A152,A172,1
A12,12,A33,4,A102,A151,A173,1
A12,15,A32,2,A101,A151,A173,2
A14,24,A34,4,A101,A152,A173,1
A14,12,A34,4,A101,A152,A173,1
A12,24,A33,3,A101,A151,A173,1
A11,15,A32,4,A101,A152,A172,1
A11,24,A32,4,A101,A151,A173,2
A12,36,A32,4,A102,A153,A173,2
A12,30,A32,2,A102,A151,A173,2
A12,9,A31,2,A101,A152,A173,2
A14,60,A33,2,A101,A152,A173,1
A12,15,A32,4,A101,A152,A172,1
A14,24,A34,4,A103,A152,A173,1
A14,21,A32,4,A101,A152,A173,1
A14,6,A34,1,A101,A152,A173,1
A14,6,A32,1,A101,A152,A173,1
A14,12,A32,4,A101,A153,A173,1
A13,10,A34,4,A101,A152,A173,1
A12,10,A31,4,A101,A152,A172,1
A11,12,A32,3,A101,A152,A172,2
A14,15,A32,2,A101,A152,A173,1
A14,12,A33,4,A101,A153,A173,2
A14,21,A34,4,A101,A153,A174,2
A14,12,A34,2,A101,A152,A172,1
A11,36,A34,3,A101,A152,A174,2
A14,36,A34,4,A101,A152,A173,1
A11,40,A34,4,A101,A152,A173,2
A14,6,A34,1,A101,A152,A173,1
A11,20,A34,1,A101,A152,A173,1
A14,12,A34,4,A101,A152,A173,1
A11,36,A34,4,A101,A152,A173,2
A13,15,A32,2,A101,A152,A172,2
A14,21,A33,3,A101,A152,A172,1
A14,18,A32,2,A101,A151,A173,2
A14,24,A32,4,A101,A152,A173,1
A11,24,A32,4,A101,A152,A173,2
A12,11,A34,4,A101,A152,A173,1
A11,18,A31,3,A102,A153,A174,1
A12,24,A32,3,A101,A152,A173,2
A12,9,A32,1,A101,A152,A172,1
A12,30,A32,2,A101,A152,A173,1
A11,6,A32,1,A101,A152,A174,2
A11,18,A34,4,A101,A151,A173,1
A11,24,A32,4,A102,A152,A172,1
A12,24,A32,3,A101,A151,A173,2
A12,27,A34,4,A101,A152,A172,2
A11,36,A32,2,A101,A152,A173,2
