@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A32,2,A101,27,1,1
A32,4,A101,36,1,1
A34,1,A101,24,1,1
A32,4,A101,26,1,1
A32,4,A101,36,1,1
A34,1,A101,39,2,1
A33,3,A101,30,2,1
A32,2,A101,20,1,1
A32,1,A101,31,1,1
A32,3,A101,30,1,1
A34,4,A101,57,2,1
A32,3,A103,28,1,1
A32,2,A101,48,1,1
A32,4,A101,30,1,1
A33,4,A101,54,2,1
A32,3,A101,26,1,1
A34,4,A101,34,2,1
A32,4,A101,47,3,1
A32,4,A101,28,1,1
A32,2,A101,42,1,1
A34,4,A101,42,2,1
A33,3,A101,31,1,1
A34,1,A101,24,2,1
A33,2,A101,32,1,1
A34,3,A101,40,3,1
A32,2,A101,21,1,1
A32,1,A101,23,1,1
A32,4,A101,26,1,1
A34,4,A101,44,1,1
A32,4,A101,28,1,1
A32,4,A101,35,1,1
A30,2,A101,33,2,1
A32,3,A101,25,1,1
A32,2,A101,29,1,1
A32,1,A101,22,1,1
A33,2,A101,45,2,1
A34,4,A101,51,2,1
A32,2,A101,40,1,1
A32,4,A101,48,4,1
A32,1,A101,62,1,1
A34,3,A101,27,2,1
A33,4,A102,20,2,1
A32,4,A101,50,1,1
A32,4,A101,25,2,1
A32,3,A101,27,2,1
A34,2,A101,25,2,1
A33,4,A101,42,2,1
A32,4,A101,26,1,1
A32,3,A101,29,1,1
A32,1,A101,24,1,1
A34,1,A101,31,1,1
A32,1,A101,38,1,1
A32,1,A101,23,1,1
A33,4,A101,41,2,1
A31,4,A101,35,1,1
A34,3,A101,35,2,1
A34,2,A101,26,2,1
A33,3,A101,35,2,1
A32,4,A101,46,1,1
A32,4,A101,28,1,1
A31,4,A101,45,1,1
A32,1,A102,32,1,1
A34,2,A101,47,2,1
A32,4,A101,24,1,1
A34,4,A101,46,2,1
A34,2,A101,31,1,1
A32,4,A101,26,1,1
A34,4,A101,32,2,1
A34,4,A101,37,2,1
A32,3,A101,53,1,1
A34,3,A101,33,2,1
A32,1,A101,74,1,1
A33,4,A101,34,2,1
A32,2,A101,23,1,1
A32,1,A101,20,1,1
A33,2,A101,26,2,1
A32,1,A101,21,1,1
A33,3,A101,24,1,1
A32,3,A101,29,1,1
A34,2,A101,42,3,1
A32,4,A101,32,1,1
A32,2,A101,49,1,1
A32,4,A101,28,1,1
A34,4,A101,35,2,1
A32,4,A101,27,2,1
A33,1,A101,30,2,1
A34,1,A101,34,2,1
A32,2,A102,29,1,1
A34,4,A101,50,1,1
A32,4,A101,38,1,1
A32,1,A101,35,1,1
A32,1,A101,64,1,1
A33,4,A101,37,2,1
A33,2,A101,51,1,1
A32,3,A101,32,1,1
A34,3,A101,40,2,1
A33,2,A101,44,1,1
A32,1,A101,22,1,1
A32,2,A101,38,2,1
A31,3,A103,40,2,1
A32,4,A101,31,1,1
A32,4,A101,38,1,1
A32,1,A101,56,1,1
A32,2,A101,32,1,1
A32,1,A101,19,1,1
