@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,3,6,8,10,12,15,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Property {A121,A122,A124,A123}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A12,A32,A61,2,A101,A121,A152,2
A11,A32,A63,2,A101,A121,A151,1
A11,A34,A61,3,A101,A124,A153,1
A11,A32,A65,4,A101,A124,A152,2
A11,A32,A61,4,A101,A123,A152,2
A14,A30,A65,2,A101,A122,A152,1
A12,A30,A61,3,A101,A124,A151,2
A12,A34,A61,4,A101,A123,A151,1
A12,A32,A61,2,A101,A123,A152,1
A12,A32,A61,3,A101,A121,A151,1
A11,A34,A65,2,A102,A121,A151,1
A12,A32,A65,4,A101,A121,A151,2
A11,A32,A61,4,A101,A121,A152,1
A13,A32,A61,2,A101,A123,A151,1
A14,A34,A64,4,A101,A123,A152,1
A11,A34,A62,3,A103,A121,A152,1
A11,A30,A61,4,A101,A123,A151,2
A14,A31,A65,4,A101,A121,A152,2
A14,A34,A61,4,A101,A121,A152,1
A14,A34,A61,2,A101,A121,A152,1
A12,A32,A62,4,A101,A123,A151,2
A14,A32,A61,3,A101,A122,A152,1
A11,A34,A64,3,A101,A121,A152,1
A11,A32,A61,2,A101,A121,A152,1
A11,A32,A61,4,A101,A123,A152,1
A14,A32,A61,1,A101,A122,A152,2
A12,A32,A61,4,A103,A121,A152,1
A11,A33,A61,4,A101,A121,A152,2
A12,A32,A61,1,A101,A123,A152,2
A12,A30,A61,4,A101,A123,A152,2
A11,A34,A61,4,A102,A122,A152,1
A14,A32,A65,2,A101,A122,A151,1
A12,A32,A61,2,A103,A122,A152,1
A12,A32,A61,4,A101,A123,A152,1
A14,A34,A65,2,A101,A124,A152,1
A14,A32,A63,4,A101,A124,A153,1
A11,A32,A61,4,A101,A123,A152,2
A14,A33,A65,3,A101,A124,A153,1
A14,A32,A65,4,A101,A122,A151,1
A11,A32,A61,2,A101,A124,A153,1
A12,A32,A61,1,A101,A122,A152,2
A14,A34,A64,4,A101,A121,A152,1
A14,A34,A64,4,A101,A121,A152,1
A11,A32,A61,2,A102,A122,A152,1
A12,A32,A61,2,A103,A121,A152,1
A14,A32,A61,4,A101,A124,A152,1
A11,A34,A61,4,A101,A123,A152,1
A14,A34,A61,2,A101,A124,A152,1
A13,A34,A63,2,A101,A123,A152,1
A12,A31,A62,1,A101,A122,A152,2
A14,A32,A62,4,A101,A123,A152,1
A11,A32,A61,4,A101,A121,A152,2
A13,A32,A61,2,A101,A122,A151,1
A12,A32,A61,4,A101,A122,A152,2
A14,A33,A61,4,A101,A121,A152,2
A14,A32,A61,4,A101,A121,A152,1
A13,A32,A61,2,A101,A121,A152,1
A11,A31,A61,4,A101,A123,A152,2
A14,A32,A63,4,A101,A123,A152,1
A11,A30,A61,2,A103,A121,A152,1
A12,A30,A61,2,A101,A123,A152,1
A11,A32,A65,4,A101,A123,A152,2
A14,A34,A61,4,A101,A123,A151,1
A11,A32,A61,4,A101,A121,A151,1
A14,A32,A62,3,A102,A123,A152,1
A14,A34,A61,1,A101,A122,A152,1
A14,A32,A63,4,A101,A123,A151,2
A14,A32,A63,1,A101,A124,A153,1
A12,A32,A61,4,A101,A121,A152,1
A12,A32,A61,2,A101,A121,A152,1
A11,A32,A61,2,A101,A121,A151,2
A12,A30,A62,4,A101,A123,A151,2
A11,A31,A63,4,A101,A121,A152,1
A11,A32,A61,1,A101,A123,A152,2
A14,A34,A64,4,A101,A121,A152,1
A12,A33,A61,4,A101,A124,A153,2
A13,A32,A61,3,A101,A123,A152,1
A14,A30,A61,2,A101,A123,A152,2
A11,A34,A61,4,A101,A122,A152,1
A14,A34,A61,4,A101,A124,A153,1
A14,A32,A62,1,A103,A121,A151,1
A14,A33,A61,4,A101,A123,A152,2
A14,A34,A61,4,A101,A123,A152,1
A14,A34,A64,3,A101,A122,A152,1
A11,A34,A61,2,A103,A122,A151,2
A14,A34,A61,4,A101,A124,A152,1
A11,A32,A61,3,A101,A122,A151,2
A12,A32,A61,3,A101,A122,A151,1
A11,A33,A61,4,A101,A121,A152,1
A11,A32,A61,4,A101,A123,A152,1
A14,A32,A65,4,A101,A123,A152,1
A11,A32,A61,4,A103,A122,A151,1
A14,A32,A61,4,A101,A123,A152,2
A11,A32,A61,4,A103,A122,A152,1
A14,A34,A61,2,A101,A121,A151,1
A14,A32,A61,1,A101,A122,A152,1
A12,A32,A61,2,A103,A121,A152,1
A11,A32,A61,4,A101,A124,A153,1
A14,A32,A65,4,A101,A123,A152,1
A14,A32,A61,4,A101,A123,A152,1
