@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R3,7-8,13,21'

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute InstallmentRate numeric
@attribute Age numeric
@attribute Customer {1,2}

@data
A32,A74,2,61,1
A32,A73,4,32,2
A34,A73,2,26,1
A31,A73,3,42,1
A34,A74,1,24,1
A32,A73,4,28,1
A30,A73,2,25,2
A32,A75,4,48,1
A34,A74,2,41,1
A32,A72,1,44,2
A32,A74,4,30,1
A32,A73,4,34,1
A32,A75,4,41,1
A32,A72,2,27,1
A34,A73,3,28,1
A34,A75,4,65,1
A34,A73,4,50,1
A34,A75,4,36,2
A31,A75,2,74,2
A34,A75,2,34,2
A30,A74,3,31,1
A32,A73,2,23,1
A32,A73,4,25,1
A32,A72,4,38,1
A32,A75,4,25,1
A32,A73,1,32,1
A34,A75,2,44,1
A34,A75,4,56,1
A34,A73,4,32,1
A32,A72,4,24,2
A34,A73,2,24,2
A34,A73,4,43,1
A34,A75,1,49,1
A31,A74,2,37,2
A32,A73,2,30,1
A32,A72,1,19,1
A33,A74,2,32,1
A32,A75,1,46,2
A32,A72,3,39,1
A32,A75,3,26,1
A34,A75,2,35,1
A34,A75,4,29,1
A34,A71,4,65,1
A33,A73,2,29,1
A30,A75,2,34,1
A34,A73,2,36,1
A32,A72,4,27,1
A32,A72,2,36,1
A33,A73,2,26,1
A32,A72,3,22,2
A30,A72,1,26,2
A33,A74,3,30,1
A32,A72,4,24,2
A32,A72,2,30,1
A34,A72,2,33,2
A31,A73,4,24,2
A32,A74,4,67,1
A34,A73,3,33,1
A32,A73,4,26,1
A33,A73,4,42,1
A34,A74,2,31,2
A32,A72,4,33,1
A32,A74,4,38,2
A34,A75,2,41,1
A34,A71,4,27,1
A34,A75,4,47,1
A34,A73,3,27,1
A32,A75,2,42,1
A33,A73,4,33,1
A32,A73,4,34,1
A32,A73,1,31,1
A34,A75,4,32,1
A34,A75,1,63,1
A30,A72,4,34,2
A32,A73,4,25,2
A34,A72,3,28,1
A34,A74,4,25,1
A34,A75,4,38,1
A30,A73,2,31,1
A34,A75,4,38,1
A32,A72,2,22,1
A33,A75,4,54,1
A32,A74,4,46,2
A33,A73,2,54,1
A34,A75,4,46,1
A34,A73,4,33,2
A32,A73,3,29,2
A34,A72,4,32,1
A32,A75,4,28,1
A32,A72,4,53,2
A32,A73,2,23,2
A31,A72,3,40,1
A34,A73,3,34,1
A32,A71,1,33,2
A32,A75,4,58,1
A32,A72,4,22,2
A32,A73,3,28,2
A33,A74,2,24,2
A32,A75,3,35,2
A33,A75,4,47,2
