@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,3,11,14-15,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute ResidenceSince numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A12,A32,2,A143,A151,1
A12,A32,1,A143,A151,2
A11,A32,4,A143,A151,2
A11,A34,4,A143,A152,2
A14,A32,2,A143,A152,1
A14,A34,4,A143,A151,1
A12,A30,4,A143,A153,2
A14,A32,2,A141,A152,1
A11,A32,4,A143,A152,1
A14,A34,2,A143,A152,1
A11,A30,3,A143,A152,2
A12,A34,3,A143,A152,2
A13,A32,4,A143,A151,1
A12,A32,3,A143,A152,2
A11,A31,1,A141,A152,1
A14,A34,4,A143,A152,1
A14,A32,2,A143,A152,1
A14,A32,4,A143,A151,1
A11,A34,4,A143,A152,1
A14,A33,1,A143,A152,2
A12,A34,3,A143,A153,1
A11,A32,1,A143,A152,2
A12,A30,4,A141,A152,1
A14,A34,1,A143,A152,1
A14,A34,2,A143,A152,1
A11,A32,4,A143,A151,2
A14,A32,2,A143,A152,1
A14,A32,2,A143,A152,1
A14,A32,2,A143,A152,2
A14,A32,4,A143,A153,1
A11,A32,2,A141,A152,2
A14,A34,2,A143,A152,1
A12,A32,1,A143,A152,1
A14,A34,4,A143,A152,1
A12,A31,4,A143,A153,1
A11,A32,4,A143,A152,1
A14,A32,4,A143,A151,1
A12,A34,2,A143,A152,1
A12,A32,4,A143,A152,2
A14,A32,1,A142,A152,1
A14,A34,3,A143,A152,1
A12,A34,4,A143,A152,1
A11,A30,2,A143,A151,2
A13,A33,2,A142,A152,1
A14,A32,4,A143,A152,1
A14,A34,4,A141,A153,1
A12,A31,4,A141,A153,2
A13,A32,1,A143,A152,1
A12,A34,4,A141,A152,1
A14,A32,2,A143,A152,1
A12,A34,3,A143,A152,1
A14,A34,2,A143,A152,1
A12,A34,3,A143,A152,2
A14,A32,4,A143,A152,1
A14,A32,1,A142,A152,1
A14,A33,3,A143,A152,1
A11,A32,4,A143,A152,2
A12,A34,1,A143,A152,1
A14,A32,4,A143,A152,1
A14,A32,3,A143,A151,1
A11,A32,4,A143,A153,1
A11,A34,3,A143,A152,1
A14,A34,4,A143,A153,1
A12,A32,4,A143,A152,1
A12,A32,1,A143,A152,1
A11,A33,2,A143,A153,2
A12,A32,1,A142,A152,2
A14,A34,3,A141,A152,1
A14,A32,3,A143,A152,1
A14,A32,4,A143,A153,1
A12,A30,4,A143,A152,2
A14,A33,2,A143,A153,1
A13,A32,2,A143,A152,1
A11,A31,4,A142,A152,1
A14,A32,4,A143,A152,1
A11,A32,4,A143,A152,1
A14,A32,3,A143,A152,1
A14,A34,3,A143,A152,1
A13,A34,4,A143,A152,1
A11,A34,4,A143,A151,2
A13,A32,4,A143,A151,1
A11,A34,4,A143,A153,2
A12,A32,2,A143,A152,2
A14,A32,2,A143,A153,1
A12,A30,4,A141,A152,1
A14,A34,2,A143,A152,1
A13,A34,4,A143,A152,1
A12,A31,2,A141,A152,1
A14,A32,3,A143,A152,1
A14,A32,4,A143,A151,1
A12,A34,4,A143,A151,1
A13,A34,4,A141,A153,1
A11,A32,4,A143,A151,2
A14,A32,4,A143,A152,1
A12,A30,2,A141,A152,2
A11,A32,2,A143,A151,2
A12,A33,3,A142,A152,2
A12,A32,4,A143,A153,2
A14,A32,4,A143,A152,2
A12,A34,2,A143,A152,2
