@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,15,18,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Housing {A152,A153,A151}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,12,A152,2,1
A11,42,A153,2,1
A14,24,A152,1,1
A14,9,A152,1,1
A12,18,A152,1,1
A12,12,A152,1,1
A12,18,A152,2,1
A14,11,A152,1,1
A11,6,A151,1,1
A14,11,A152,1,1
A14,18,A152,1,1
A12,36,A153,1,2
A11,36,A151,1,2
A11,10,A152,1,1
A12,36,A151,1,1
A12,14,A152,1,1
A12,6,A152,2,1
A14,48,A152,1,1
A12,12,A152,1,1
A14,24,A151,1,1
A14,12,A151,1,1
A13,10,A153,1,1
A12,12,A152,1,1
A11,12,A152,1,2
A14,18,A153,1,1
A12,24,A151,1,1
A11,12,A151,1,2
A14,18,A152,1,1
A14,12,A152,1,1
A12,18,A152,1,2
A14,27,A152,1,1
A14,24,A152,2,1
A14,12,A152,1,1
A11,24,A152,2,2
A14,18,A151,1,2
A14,18,A152,1,1
A11,48,A152,2,1
A14,18,A152,1,1
A13,4,A152,2,1
A11,24,A152,1,2
A11,6,A151,1,2
A14,12,A152,1,1
A11,18,A152,1,2
A12,18,A151,1,1
A11,6,A152,1,1
A14,9,A152,1,1
A14,14,A152,1,1
A14,33,A152,1,1
A14,12,A152,1,2
A11,24,A152,1,2
A11,12,A152,2,2
A14,15,A151,1,1
A11,9,A152,1,1
A12,12,A151,1,1
A14,39,A152,1,1
A14,12,A152,1,1
A12,6,A152,1,2
A14,10,A152,1,2
A11,48,A153,2,2
A14,6,A152,2,1
A12,12,A152,1,1
A14,24,A151,1,1
A12,36,A152,1,2
A11,12,A152,1,1
A12,24,A153,1,2
A12,60,A153,1,1
A14,15,A152,1,1
A14,42,A152,1,1
A12,15,A152,1,1
A14,12,A152,2,1
A12,12,A152,1,2
A12,36,A152,1,2
A14,48,A152,1,1
A14,18,A152,1,1
A12,36,A153,1,1
A12,15,A152,1,1
A11,9,A152,1,1
A11,12,A152,1,2
A11,24,A152,1,1
A14,21,A152,1,1
A12,12,A151,1,1
A14,24,A152,1,1
A11,18,A153,2,2
A14,24,A153,2,1
A14,12,A152,1,1
A14,12,A152,1,1
A11,36,A152,1,2
A14,24,A152,1,1
A11,18,A153,2,2
A14,36,A152,2,1
A11,27,A152,2,1
A14,36,A152,2,1
A11,18,A152,1,2
A12,24,A152,1,2
A11,24,A151,1,2
A14,12,A152,2,1
A14,18,A152,2,2
A13,30,A152,1,1
A12,15,A151,1,2
A14,48,A151,1,2
