@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,5,7-8,14,18,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute InstallmentRate numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,9566,A73,2,A142,1,1
A13,1961,A75,3,A143,1,1
A14,3181,A72,4,A143,1,1
A12,1007,A73,4,A143,1,1
A14,1819,A73,4,A142,1,2
A12,12612,A73,1,A143,2,2
A13,3617,A75,4,A143,1,1
A11,7721,A72,1,A143,1,1
A14,8613,A73,2,A143,1,1
A11,3416,A73,3,A143,1,1
A12,1577,A72,4,A143,1,1
A12,951,A72,4,A141,1,2
A11,5293,A71,2,A142,1,2
A13,2251,A73,1,A143,1,1
A14,1574,A73,4,A143,1,1
A14,1520,A75,4,A143,1,1
A12,7582,A71,2,A143,1,1
A14,4675,A72,1,A143,1,1
A14,672,A71,1,A143,1,1
A14,10127,A73,2,A141,1,2
A12,276,A73,4,A143,1,1
A12,685,A74,2,A141,1,2
A12,4249,A71,4,A143,1,2
A11,4169,A73,4,A143,1,1
A12,959,A73,1,A143,1,2
A12,14318,A75,4,A143,1,2
A14,8648,A72,2,A141,1,2
A14,2197,A74,4,A143,2,1
A12,2028,A73,4,A143,1,1
A13,1424,A75,3,A143,1,1
A14,4594,A72,3,A143,1,1
A11,3620,A73,1,A143,2,1
A11,654,A73,4,A143,1,2
A11,3622,A75,4,A143,1,1
A14,1418,A73,3,A143,1,1
A14,2255,A72,4,A143,1,1
A11,1361,A72,2,A143,2,1
A11,7763,A75,4,A141,1,2
A13,3049,A72,1,A142,1,1
A11,6350,A75,4,A143,1,2
A11,6758,A73,3,A143,1,2
A12,2718,A73,3,A143,1,2
A14,1300,A75,4,A141,2,1
A14,3914,A73,4,A141,1,2
A11,1858,A72,4,A143,1,1
A11,2600,A73,4,A143,1,2
A11,1880,A74,4,A143,1,1
A11,684,A73,4,A143,2,2
A13,1297,A73,3,A143,1,1
A12,3496,A73,4,A142,2,1
A14,3609,A73,1,A142,1,1
A12,5595,A73,2,A143,1,2
A12,2503,A75,4,A142,1,1
A12,2528,A72,4,A143,2,1
A12,2969,A72,4,A143,1,2
A11,1198,A75,4,A143,1,2
A14,2603,A73,2,A143,1,1
A14,6761,A74,1,A143,2,1
A11,691,A75,4,A143,1,2
A14,5045,A75,1,A143,1,1
A11,3108,A72,2,A143,1,2
A11,2812,A75,2,A143,1,1
A12,1549,A72,4,A143,1,1
A12,1795,A75,3,A141,1,1
A14,976,A75,4,A143,1,1
A12,590,A72,3,A143,1,1
A12,907,A72,3,A143,1,1
A14,1554,A74,1,A143,1,1
A11,731,A75,4,A143,1,1
A14,3780,A72,3,A143,1,1
A12,5084,A75,2,A143,1,1
A11,1082,A73,4,A141,1,2
A14,3422,A75,4,A141,2,1
A14,4042,A74,3,A143,1,1
A14,894,A74,4,A143,1,1
A14,3343,A73,4,A143,1,1
A14,5804,A73,4,A143,1,1
A11,2389,A72,4,A142,1,1
A14,7409,A75,3,A143,1,1
A11,652,A75,4,A143,1,1
A14,6742,A74,2,A143,1,1
A14,1098,A71,4,A143,1,1
A14,1169,A73,4,A143,1,1
A11,2606,A72,4,A143,1,1
A14,2186,A74,1,A141,1,1
A14,10477,A75,2,A143,1,1
A11,3763,A74,2,A143,1,1
A14,3594,A72,1,A143,1,1
A14,2142,A75,1,A143,1,1
A11,6872,A72,2,A141,1,2
A14,1224,A73,3,A143,1,1
A11,3349,A72,4,A143,2,2
A11,4006,A73,3,A143,1,2
A14,3556,A73,3,A143,1,1
A14,7166,A74,2,A143,1,1
A11,1193,A71,1,A143,1,2
A11,7297,A75,4,A143,1,2
A14,1409,A71,2,A143,1,1
A11,1845,A73,4,A143,1,2
A12,4576,A71,3,A143,1,1
