@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,5,8,14,18,20-21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A11,8072,2,A141,1,A201,1
A11,1374,1,A141,1,A201,1
A11,6836,3,A143,1,A201,2
A11,4020,2,A142,1,A201,1
A12,1391,2,A141,1,A201,1
A14,1568,3,A143,1,A201,1
A12,2337,4,A143,1,A201,1
A14,6458,2,A141,2,A201,2
A11,1680,3,A143,1,A201,1
A11,4281,1,A143,1,A201,2
A11,1835,3,A143,1,A201,2
A11,6887,4,A142,1,A201,2
A12,4795,4,A143,1,A201,1
A14,2288,4,A143,1,A201,1
A14,1346,2,A141,2,A201,1
A12,1935,4,A143,1,A201,2
A14,1963,4,A143,2,A201,1
A14,1360,4,A143,1,A201,1
A14,3074,1,A143,2,A201,1
A12,14555,1,A143,1,A201,2
A11,5302,2,A143,1,A201,1
A14,1402,3,A143,1,A201,1
A11,10722,1,A143,1,A201,1
A13,3749,2,A143,1,A201,1
A11,708,2,A143,2,A201,1
A11,2659,4,A143,1,A201,1
A14,1525,4,A143,2,A201,1
A12,1068,4,A143,2,A201,1
A11,3599,1,A143,1,A201,1
A14,1743,1,A143,1,A201,1
A12,1246,4,A142,1,A201,2
A11,3650,1,A143,1,A201,1
A14,2238,2,A143,1,A201,1
A11,2578,3,A143,1,A201,1
A13,939,4,A143,1,A201,2
A14,1597,3,A143,2,A202,1
A11,1190,2,A143,2,A201,2
A11,1872,4,A143,1,A201,1
A13,609,4,A143,1,A201,2
A12,1512,3,A142,1,A201,2
A11,2924,3,A141,2,A201,1
A12,1201,4,A143,1,A201,1
A14,4686,2,A143,1,A201,1
A14,3488,3,A143,1,A201,1
A14,1503,4,A143,1,A201,1
A14,1311,4,A143,1,A201,1
A11,1374,4,A143,1,A201,1
A14,2032,4,A143,1,A201,1
A14,8858,2,A143,1,A201,1
A11,3552,3,A141,1,A201,2
A11,2964,4,A141,2,A201,1
A11,1546,4,A141,1,A201,2
A12,12389,1,A143,1,A201,2
A12,3979,4,A143,2,A201,1
A12,2930,2,A143,1,A201,1
A12,2384,4,A143,1,A201,2
A11,2039,1,A141,1,A201,2
A11,2246,3,A143,1,A201,2
A12,2329,1,A143,1,A201,1
A14,3349,4,A143,1,A201,2
A11,3632,1,A141,1,A202,1
A14,4623,3,A143,1,A201,2
A11,2303,4,A143,1,A201,2
A14,5150,4,A143,1,A201,1
A11,975,2,A143,1,A201,1
A12,1103,4,A143,1,A202,1
A12,11560,1,A143,1,A201,2
A11,14179,4,A143,1,A201,1
A14,2463,4,A143,1,A201,1
A12,1155,3,A141,1,A201,1
A11,3509,4,A143,1,A201,1
A12,836,4,A141,1,A201,2
A12,1941,4,A143,1,A201,1
A12,1188,2,A143,2,A201,2
A11,1345,4,A141,1,A201,2
A11,2712,2,A141,2,A201,2
A11,3966,1,A141,1,A201,2
A11,1216,4,A143,1,A201,2
A11,11816,2,A143,1,A201,2
A14,3331,2,A142,1,A201,1
A14,874,4,A143,1,A201,1
A11,1422,3,A143,1,A201,2
A14,7814,3,A143,1,A201,1
A12,2181,4,A143,1,A201,1
A14,6614,4,A143,1,A201,1
A11,2171,4,A141,1,A202,1
A14,3485,2,A143,1,A201,1
A14,1278,4,A143,1,A201,1
A11,1107,2,A143,2,A201,1
A14,2848,1,A143,2,A201,1
A14,12749,4,A143,1,A201,1
A14,6842,2,A143,2,A201,1
A14,3527,2,A143,2,A201,1
A14,1546,3,A143,2,A202,1
A14,1455,2,A143,2,A201,1
A12,8358,1,A143,1,A201,1
A14,2859,4,A143,1,A201,1
A11,1231,4,A143,1,A201,1
A12,3069,4,A143,1,A201,1
A14,2831,4,A143,1,A201,1
