@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute InstallmentRate numeric
@attribute Age numeric
@attribute Customer {1,2}

@data
A34,A72,3,35,1
A32,A72,1,45,1
A32,A74,4,32,1
A32,A72,4,26,1
A33,A74,2,51,1
A32,A71,4,36,1
A34,A74,4,33,1
A32,A72,1,20,1
A32,A72,4,26,1
A34,A72,1,48,1
A32,A73,1,43,1
A32,A72,4,23,1
A34,A74,1,39,1
A34,A75,4,36,1
A32,A73,4,26,1
A32,A75,4,58,1
A34,A75,4,42,1
A32,A75,4,36,1
A32,A72,3,36,1
A34,A75,4,47,1
A34,A73,1,39,1
A32,A72,4,23,1
A32,A71,3,55,1
A34,A73,4,28,1
A34,A75,4,63,1
A33,A75,2,45,1
A32,A75,4,39,1
A33,A71,4,35,1
A34,A73,4,37,1
A34,A75,4,54,1
A33,A74,2,40,1
A34,A75,4,46,1
A32,A72,4,27,1
A32,A74,4,31,1
A34,A72,3,47,1
A32,A73,3,24,1
A32,A73,4,22,1
A34,A75,4,41,1
A32,A74,4,25,1
A34,A75,4,67,1
A32,A75,2,42,1
A33,A73,2,26,1
A34,A75,3,48,1
A32,A73,2,32,1
A34,A72,4,27,1
A32,A73,2,26,1
A32,A73,4,30,1
A34,A74,2,36,1
A32,A75,4,41,1
A33,A72,1,33,1
A32,A72,2,29,1
A32,A75,4,36,1
A32,A72,4,26,1
A32,A75,4,38,1
A34,A74,4,34,1
A32,A75,4,45,1
A32,A74,2,31,1
A32,A75,4,64,1
A34,A72,4,30,1
A34,A74,3,27,1
A34,A73,1,23,1
A32,A73,4,24,1
A34,A74,4,35,1
A34,A75,2,42,1
A34,A73,2,41,1
A32,A72,1,22,1
A34,A73,4,28,1
A34,A73,4,38,1
A32,A73,4,21,1
A34,A75,4,44,1
A33,A74,3,36,1
A34,A75,4,46,1
A32,A72,3,26,1
A34,A75,3,23,1
A34,A73,4,30,1
A32,A71,3,40,1
A32,A73,2,64,1
A30,A72,2,33,1
A34,A75,2,28,1
A32,A72,4,21,1
A32,A74,4,25,1
A30,A75,4,39,1
A32,A73,4,28,1
A33,A75,3,32,1
A32,A75,4,50,1
A32,A72,3,32,1
A32,A71,2,43,1
A33,A75,1,27,1
A34,A74,1,39,1
A33,A73,2,27,1
A32,A73,2,37,1
A32,A75,2,49,1
A34,A73,4,31,1
A34,A71,1,38,1
A34,A72,4,27,1
A32,A73,3,25,1
A32,A72,4,54,1
A34,A74,2,42,1
A32,A72,4,29,1
A34,A75,4,36,1
