@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R3,8,10,13,16,21'

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A32,2,A101,22,1,2
A32,2,A101,44,1,1
A34,3,A101,51,2,1
A32,4,A101,40,1,2
A32,4,A101,34,1,2
A30,2,A101,39,1,1
A30,3,A101,58,1,2
A34,4,A101,35,1,1
A32,2,A101,32,1,1
A32,3,A101,28,1,1
A34,2,A102,27,2,1
A32,4,A101,27,1,2
A32,4,A101,40,1,1
A32,2,A101,44,1,1
A34,4,A101,46,2,1
A34,3,A103,48,2,1
A30,4,A101,33,2,2
A31,4,A101,53,1,2
A34,4,A101,43,3,1
A34,2,A101,42,3,1
A32,4,A101,61,2,2
A32,3,A101,51,1,1
A34,3,A101,39,2,1
A32,2,A101,27,1,1
A32,4,A101,55,1,1
A32,1,A101,32,1,2
A32,4,A103,49,2,1
A33,4,A101,48,1,2
A32,1,A101,26,1,2
A30,4,A101,42,1,2
A34,4,A102,49,2,1
A32,2,A101,24,1,1
A32,2,A103,23,1,1
A32,4,A101,31,1,1
A34,2,A101,38,1,1
A32,4,A101,46,1,1
A32,4,A101,42,1,2
A33,3,A101,36,1,1
A32,4,A101,25,1,1
A32,2,A101,39,1,1
A32,1,A101,22,1,2
A34,4,A101,46,2,1
A34,4,A101,37,2,1
A32,2,A102,30,1,1
A32,2,A103,35,1,1
A32,4,A101,29,1,1
A34,4,A101,44,2,1
A34,2,A101,26,2,1
A34,2,A101,36,1,1
A31,1,A101,34,1,2
A32,4,A101,45,1,1
A32,4,A101,26,1,2
A32,2,A101,26,1,1
A32,4,A101,30,1,2
A33,4,A101,22,1,2
A32,4,A101,49,1,1
A32,2,A101,41,1,1
A31,4,A101,44,1,2
A32,4,A101,28,1,1
A30,2,A103,32,2,1
A30,2,A101,28,2,1
A32,4,A101,23,1,2
A34,4,A101,26,1,1
A32,4,A101,64,1,1
A32,3,A102,35,1,1
A34,1,A101,38,1,1
A32,4,A101,29,1,2
A32,1,A101,35,1,1
A32,4,A101,25,1,1
A32,2,A101,37,1,1
A32,2,A101,21,1,2
A30,4,A101,26,2,2
A31,4,A101,22,1,1
A32,1,A101,23,1,2
A34,4,A101,60,1,1
A33,4,A101,50,1,2
A32,3,A101,24,1,1
A30,2,A101,36,2,2
A34,4,A101,63,2,1
A34,4,A101,35,2,1
A32,1,A103,26,1,1
A33,4,A101,28,1,2
A34,4,A101,46,2,1
A34,3,A101,35,1,1
A34,2,A103,43,1,2
A34,4,A101,28,2,1
A32,3,A101,22,1,2
A32,3,A101,30,1,1
A33,4,A101,43,2,1
A32,4,A101,23,1,1
A32,4,A101,31,1,1
A32,4,A103,46,1,1
A32,4,A101,26,2,2
A32,4,A103,29,1,1
A34,2,A101,30,2,1
A32,1,A101,43,1,1
A32,2,A103,64,1,1
A32,4,A101,29,1,1
A32,4,A101,50,1,1
A32,4,A101,38,1,1
