@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,A61,4,A92,A123,25,1,1
A12,A61,4,A93,A121,23,1,1
A12,A62,1,A91,A123,31,2,1
A12,A64,4,A93,A122,35,1,1
A14,A61,4,A92,A121,29,1,1
A12,A64,3,A94,A121,36,1,1
A14,A62,4,A92,A123,31,1,1
A14,A61,2,A93,A123,33,1,1
A14,A61,4,A93,A123,24,1,1
A14,A64,3,A92,A122,30,1,1
A11,A61,3,A92,A124,55,1,1
A14,A62,1,A92,A123,23,1,1
A14,A62,3,A93,A121,35,1,1
A13,A61,4,A92,A122,23,1,1
A14,A61,3,A93,A123,35,1,1
A12,A61,2,A92,A121,27,1,1
A11,A61,4,A94,A121,40,1,1
A12,A65,2,A93,A124,27,1,1
A12,A61,1,A93,A123,28,1,1
A14,A61,4,A93,A123,27,1,1
A12,A63,2,A93,A123,27,1,1
A12,A61,3,A92,A121,48,1,1
A13,A63,3,A92,A123,57,1,1
A14,A65,4,A93,A123,25,1,1
A12,A61,1,A93,A121,49,2,1
A14,A61,4,A93,A123,37,1,1
A14,A63,4,A93,A123,37,1,1
A11,A61,3,A93,A122,31,1,1
A12,A62,3,A93,A122,44,1,1
A14,A65,1,A92,A123,20,1,1
A13,A61,2,A92,A123,26,1,1
A14,A64,4,A93,A121,46,1,1
A11,A61,2,A93,A124,75,1,1
A14,A65,3,A93,A123,40,2,1
A14,A61,1,A93,A122,38,1,1
A14,A65,4,A92,A123,25,1,1
A12,A61,4,A93,A123,24,1,1
A11,A61,4,A93,A122,26,2,1
A14,A62,3,A93,A124,35,1,1
A14,A63,4,A93,A123,30,1,1
A11,A61,4,A92,A121,25,1,1
A14,A61,2,A94,A122,30,1,1
A14,A61,2,A93,A124,32,1,1
A14,A61,3,A93,A122,51,2,1
A12,A61,3,A93,A123,32,2,1
A12,A65,2,A93,A123,24,1,1
A12,A61,2,A93,A123,32,1,1
A14,A61,4,A93,A121,25,1,1
A13,A61,2,A92,A122,50,1,1
A14,A65,4,A92,A123,21,1,1
A14,A61,4,A93,A121,30,1,1
A13,A64,2,A94,A121,27,1,1
A11,A61,4,A93,A121,65,1,1
A12,A65,4,A93,A122,38,1,1
A11,A61,2,A92,A124,44,2,1
A12,A65,4,A94,A121,28,1,1
A14,A65,4,A92,A123,61,1,1
A11,A61,2,A92,A122,49,1,1
A11,A61,3,A94,A122,46,1,1
A14,A61,2,A92,A123,26,1,1
A14,A61,4,A93,A123,34,1,1
A14,A65,4,A93,A123,25,1,1
A12,A61,4,A94,A121,32,1,1
A14,A61,4,A92,A123,43,1,1
A12,A62,3,A94,A123,31,1,1
A11,A61,2,A92,A123,28,1,1
A14,A61,2,A94,A121,29,1,1
A14,A63,4,A93,A121,36,1,1
A14,A62,4,A93,A122,52,1,1
A11,A61,4,A92,A121,27,1,1
A14,A61,2,A92,A122,22,1,1
A14,A61,1,A92,A121,23,1,1
A11,A65,2,A93,A123,25,1,1
A11,A61,2,A92,A122,30,1,1
A13,A64,3,A92,A121,42,1,1
A14,A61,3,A92,A121,24,1,1
A12,A61,2,A92,A121,41,1,1
A14,A61,4,A93,A121,33,1,1
A11,A61,4,A92,A122,29,1,1
A11,A61,2,A93,A124,36,1,1
A14,A65,4,A93,A121,36,1,1
A14,A64,2,A91,A121,61,1,1
A14,A61,1,A92,A123,24,1,1
A14,A62,4,A93,A121,34,1,1
A12,A65,4,A93,A122,23,1,1
A14,A65,4,A93,A123,37,1,1
A14,A61,4,A92,A121,34,1,1
A11,A62,3,A93,A123,35,2,1
A12,A65,4,A93,A123,43,2,1
A14,A65,4,A92,A122,41,1,1
A12,A61,4,A94,A121,20,1,1
A14,A61,2,A92,A124,57,1,1
A14,A61,4,A92,A124,62,1,1
A14,A62,4,A94,A122,27,1,1
A14,A64,4,A91,A121,33,1,1
A14,A65,2,A93,A122,36,1,1
A14,A61,1,A94,A122,21,1,1
A14,A61,2,A92,A123,64,1,1
A12,A65,4,A93,A124,61,1,1
A14,A61,4,A93,A123,50,1,1
A14,A61,4,A92,A123,34,2,1
A11,A61,2,A93,A123,27,1,1
A14,A61,4,A93,A123,48,1,1
A11,A61,2,A93,A121,20,2,1
A14,A61,4,A93,A123,38,1,1
A14,A62,4,A94,A121,33,1,1
A14,A61,4,A93,A124,27,1,1
A13,A65,2,A93,A123,37,1,1
A14,A64,4,A93,A121,50,1,1
A12,A61,4,A93,A121,33,1,1
A14,A65,2,A93,A124,35,2,1
A14,A61,2,A93,A123,52,1,1
A12,A61,2,A92,A123,28,1,1
A14,A63,3,A93,A124,40,2,1
A14,A61,4,A94,A121,46,1,1
A14,A61,2,A93,A121,31,1,1
A12,A65,4,A93,A121,35,1,1
A12,A62,2,A93,A123,29,1,1
A14,A61,2,A92,A123,26,1,1
A12,A65,4,A93,A123,30,1,1
A11,A65,4,A93,A124,49,2,1
A14,A62,3,A92,A122,24,1,1
A14,A61,3,A93,A123,32,2,1
A14,A61,2,A93,A124,26,1,1
A11,A61,1,A93,A122,39,2,1
A14,A63,2,A93,A124,51,1,1
A12,A62,4,A93,A123,34,1,1
A11,A61,3,A93,A121,52,1,1
A14,A61,1,A92,A123,28,1,1
A14,A64,4,A92,A121,36,1,1
A12,A65,4,A93,A122,29,1,1
A12,A61,3,A92,A122,37,1,1
A14,A63,4,A93,A124,46,1,1
A12,A62,3,A92,A121,25,1,1
A14,A65,4,A92,A121,23,1,1
A14,A65,3,A93,A121,40,2,1
A13,A61,3,A92,A123,23,1,1
A14,A61,1,A93,A124,45,2,1
A11,A61,4,A93,A124,50,1,1
A14,A61,1,A93,A121,74,1,1
A13,A61,2,A93,A122,26,1,1
A14,A61,3,A92,A121,26,1,1
A14,A65,4,A93,A121,36,1,1
A14,A65,1,A93,A121,49,1,1
A14,A62,4,A94,A121,41,1,1
A14,A63,4,A93,A123,44,2,1
A11,A61,1,A93,A121,39,1,1
A14,A61,4,A92,A123,41,1,1
A14,A65,4,A93,A122,29,1,1
A12,A61,4,A93,A123,34,1,1
A14,A63,4,A93,A122,32,1,1
A14,A61,4,A94,A121,41,1,1
A14,A65,2,A93,A124,63,1,1
A14,A63,1,A92,A124,35,1,1
A12,A61,1,A91,A122,47,1,1
A14,A65,2,A92,A122,24,1,1
A14,A62,4,A92,A123,51,1,1
A12,A61,2,A93,A121,35,1,1
A11,A61,2,A93,A124,42,2,1
A14,A61,4,A94,A121,28,1,1
A14,A61,4,A93,A122,47,2,1
A11,A61,4,A93,A122,63,1,1
A12,A61,2,A93,A123,35,1,1
A12,A61,4,A94,A121,25,1,1
A13,A65,4,A93,A122,27,1,1
A14,A63,2,A94,A122,47,1,1
A12,A62,2,A93,A124,31,1,1
A14,A65,4,A92,A124,52,1,1
A14,A61,3,A93,A121,30,1,1
A12,A64,4,A93,A123,34,2,1
A14,A65,4,A93,A124,36,1,1
A14,A61,3,A93,A123,35,1,1
A13,A61,4,A93,A122,47,1,1
A11,A61,1,A92,A124,39,1,1
A14,A65,2,A93,A124,35,1,1
A14,A65,4,A94,A123,54,1,1
A14,A62,3,A93,A121,36,2,1
A14,A65,2,A93,A122,31,1,1
A12,A61,4,A92,A122,32,2,1
A11,A61,1,A92,A122,24,1,1
A13,A61,2,A92,A122,29,1,1
A11,A61,1,A92,A123,22,1,1
A11,A61,2,A91,A123,42,1,1
A14,A61,4,A93,A121,35,1,1
A12,A62,4,A93,A123,30,1,1
A11,A65,4,A92,A122,23,1,1
