@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute InstallmentRate numeric
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A11,A31,4,A121,22,A152,A173,1
A14,A34,1,A121,37,A152,A173,1
A11,A34,4,A122,37,A152,A173,1
A11,A34,4,A122,49,A152,A173,1
A14,A34,4,A121,29,A152,A174,1
A12,A32,2,A121,37,A152,A172,1
A12,A32,4,A122,26,A152,A173,1
A13,A31,4,A123,49,A152,A172,1
A13,A32,2,A121,49,A152,A173,1
A12,A34,3,A123,34,A152,A173,1
A11,A32,1,A123,26,A151,A172,1
A14,A32,2,A123,20,A151,A173,1
A11,A32,4,A121,64,A151,A172,1
A14,A34,4,A122,31,A152,A173,1
A12,A33,4,A124,38,A153,A173,1
A12,A32,2,A123,35,A151,A174,1
A14,A32,3,A122,53,A152,A173,1
A12,A32,2,A121,64,A152,A173,1
A11,A32,4,A121,27,A152,A173,1
A12,A32,1,A121,35,A152,A173,1
A13,A32,2,A123,26,A152,A173,1
A14,A30,4,A123,27,A152,A173,1
A12,A32,4,A121,26,A152,A172,1
A11,A32,4,A123,23,A152,A173,1
A13,A32,2,A121,23,A152,A173,1
A14,A32,3,A122,55,A152,A173,1
A14,A32,4,A124,29,A152,A174,1
A12,A32,2,A121,27,A152,A173,1
A14,A32,4,A124,32,A151,A173,1
A12,A34,4,A122,40,A152,A174,1
A14,A34,4,A121,46,A152,A173,1
A12,A34,4,A122,48,A152,A172,1
A14,A32,2,A121,31,A152,A173,1
A14,A32,4,A121,40,A151,A173,1
A12,A32,3,A123,26,A152,A173,1
A14,A30,2,A122,39,A152,A172,1
A14,A34,4,A123,46,A152,A174,1
A14,A34,3,A124,44,A153,A173,1
A11,A32,4,A122,23,A151,A173,1
A14,A34,1,A123,36,A152,A174,1
A12,A34,1,A122,39,A152,A172,1
A14,A34,4,A122,42,A152,A173,1
A14,A32,3,A121,27,A152,A173,1
A12,A31,4,A124,36,A153,A174,1
A12,A32,4,A122,23,A152,A173,1
A11,A32,4,A124,49,A153,A173,1
A11,A34,3,A121,39,A152,A172,1
A14,A32,3,A121,29,A152,A173,1
A14,A32,3,A123,41,A152,A174,1
A14,A34,2,A122,22,A151,A172,1
A11,A32,2,A122,38,A152,A172,1
A14,A34,4,A121,35,A152,A172,1
A13,A32,2,A121,27,A152,A171,1
A12,A34,4,A122,27,A152,A173,1
A14,A32,3,A124,40,A151,A172,1
A14,A34,4,A123,38,A152,A173,1
A14,A32,4,A123,38,A152,A173,1
A12,A34,4,A123,40,A152,A173,1
A14,A34,4,A121,36,A152,A173,1
A14,A32,4,A121,30,A152,A173,1
A12,A34,4,A123,27,A152,A173,1
A11,A34,1,A123,24,A151,A173,1
A14,A34,4,A123,48,A152,A173,1
A12,A32,4,A123,34,A152,A173,1
A14,A32,3,A123,35,A152,A173,1
A14,A34,4,A122,40,A152,A173,1
A12,A32,4,A122,38,A152,A173,1
A14,A32,2,A123,26,A151,A173,1
A14,A31,4,A121,35,A152,A172,1
A14,A32,1,A121,32,A152,A173,1
A14,A34,2,A121,42,A152,A172,1
A14,A34,4,A123,46,A152,A173,1
A12,A34,4,A121,50,A152,A173,1
A14,A32,4,A123,34,A152,A173,1
A14,A34,2,A121,30,A151,A173,1
A14,A33,4,A123,54,A152,A173,1
A14,A32,1,A122,43,A152,A172,1
A14,A34,4,A123,25,A152,A173,1
A11,A32,1,A122,23,A151,A171,1
A14,A32,1,A124,56,A152,A173,1
A11,A32,4,A123,39,A152,A173,1
A14,A32,4,A124,34,A153,A173,1
A12,A32,2,A123,67,A152,A173,1
A12,A32,3,A121,25,A152,A172,1
A12,A34,2,A122,27,A152,A173,1
A12,A30,2,A123,48,A152,A174,1
A11,A34,1,A123,31,A152,A173,1
A13,A32,1,A121,29,A152,A172,1
A13,A34,4,A124,63,A153,A173,1
A14,A34,2,A122,47,A152,A172,1
A14,A32,2,A122,22,A151,A173,1
A14,A33,3,A121,28,A152,A172,1
A14,A34,2,A123,24,A152,A173,1
A14,A32,4,A121,28,A152,A173,1
A14,A32,4,A123,28,A152,A173,1
A12,A32,3,A121,28,A151,A172,1
A14,A32,2,A124,51,A153,A172,1
A14,A32,4,A123,35,A152,A173,1
A14,A32,4,A122,48,A152,A173,1
A14,A32,1,A121,26,A151,A173,1
A14,A32,2,A121,61,A152,A172,1
A14,A34,4,A124,28,A152,A173,1
A11,A34,4,A122,57,A151,A174,1
A14,A34,2,A123,25,A152,A173,1
A14,A34,4,A124,36,A153,A173,1
A14,A32,4,A123,24,A152,A173,1
A14,A34,4,A121,52,A152,A173,1
A12,A32,2,A123,32,A152,A173,1
A11,A32,3,A124,55,A153,A174,1
A14,A34,1,A123,24,A152,A173,1
A14,A33,3,A124,36,A153,A173,1
A14,A34,2,A121,42,A152,A172,1
A14,A32,4,A123,38,A152,A173,1
A14,A32,4,A122,36,A152,A173,1
A14,A34,3,A123,35,A152,A174,1
A12,A32,3,A123,32,A152,A173,1
A12,A32,1,A123,22,A152,A173,1
A12,A32,4,A122,35,A152,A172,1
A14,A30,4,A123,39,A152,A172,1
A14,A32,2,A121,26,A152,A173,1
A14,A34,4,A123,33,A152,A173,1
A12,A33,4,A122,29,A152,A172,1
A12,A32,4,A121,26,A152,A172,1
A11,A32,4,A122,75,A152,A174,1
A14,A31,4,A123,34,A152,A172,1
A14,A32,3,A123,31,A152,A173,1
A12,A34,4,A121,35,A152,A173,1
A12,A33,4,A123,42,A151,A173,1
A14,A31,3,A121,40,A151,A173,1
A12,A34,2,A124,24,A153,A173,1
A12,A32,1,A121,19,A151,A172,1
A14,A32,4,A123,39,A152,A173,1
A12,A32,2,A123,35,A152,A173,1
A14,A34,3,A124,47,A153,A173,1
A12,A31,4,A123,30,A152,A173,1
A14,A32,3,A123,30,A152,A173,1
A12,A32,2,A123,27,A152,A173,1
A11,A34,4,A121,54,A152,A173,1
A13,A32,3,A123,24,A152,A173,1
A14,A33,2,A123,21,A152,A173,1
A14,A34,2,A121,41,A152,A172,1
A14,A34,4,A121,23,A152,A173,1
A11,A30,3,A122,31,A152,A173,1
A11,A32,4,A121,58,A152,A172,1
A12,A34,4,A121,28,A152,A173,1
A11,A32,4,A122,40,A152,A174,1
A14,A34,3,A122,35,A152,A173,1
A14,A34,4,A123,51,A152,A173,1
A11,A32,1,A122,39,A152,A173,1
A14,A34,4,A121,50,A152,A173,1
A14,A34,4,A121,56,A152,A173,1
A14,A32,4,A122,28,A152,A173,1
A14,A34,4,A123,52,A152,A172,1
A11,A34,3,A124,38,A153,A174,1
A14,A34,4,A123,37,A152,A173,1
A14,A32,4,A122,47,A152,A173,1
A13,A32,2,A121,41,A152,A173,1
A12,A33,2,A124,27,A153,A174,1
A11,A34,2,A124,75,A153,A174,1
A14,A32,1,A121,32,A152,A173,1
A14,A34,2,A124,26,A152,A173,1
