@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-5,9,11,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute ResidenceSince numeric
@attribute Customer {1,2}

@data
A11,24,A33,A40,4870,A93,4,2
A14,36,A32,A46,9055,A93,4,1
A12,30,A34,A40,5234,A94,2,2
A12,12,A32,A43,1567,A92,1,1
A11,15,A32,A40,1403,A92,4,1
A13,12,A32,A42,1474,A92,1,1
A14,48,A34,A46,6110,A93,3,1
A13,18,A32,A43,2100,A93,2,2
A12,12,A32,A43,6468,A93,1,2
A14,36,A32,A43,2394,A92,4,1
A12,20,A33,A41,7057,A93,4,1
A14,60,A32,A43,10144,A92,4,1
A11,6,A34,A40,860,A92,4,1
A14,15,A32,A44,1262,A93,3,1
A14,36,A32,A40,909,A93,4,1
A12,8,A32,A43,1414,A93,2,1
A11,12,A32,A42,2577,A91,1,1
A12,36,A33,A49,4455,A91,2,2
A11,21,A31,A40,1647,A93,2,2
A12,48,A30,A49,3844,A93,4,2
A12,27,A32,A49,3915,A93,2,2
A11,24,A32,A49,6568,A94,2,1
A13,30,A33,A49,1908,A93,4,2
A11,24,A32,A42,3021,A91,2,1
A11,12,A32,A42,7865,A93,4,2
A13,36,A32,A43,4210,A93,2,2
A11,30,A32,A43,2522,A93,3,1
A11,48,A30,A41,4605,A93,4,2
A14,24,A32,A49,1258,A93,1,1
A11,14,A32,A40,8978,A91,4,2
A12,48,A32,A43,3060,A93,4,2
A12,36,A32,A41,9398,A94,4,2
A12,24,A32,A42,4351,A92,4,1
A14,12,A34,A42,5801,A93,4,1
A13,36,A32,A43,4473,A93,2,1
A12,18,A32,A46,1239,A93,4,1
A14,12,A32,A49,1542,A93,4,1
A14,10,A34,A42,2146,A92,3,1
A14,18,A33,A43,2320,A94,3,1
A12,18,A34,A49,1887,A94,4,1
A11,15,A32,A43,1053,A94,2,1
A14,21,A32,A40,2782,A92,2,1
A14,9,A32,A42,1313,A93,4,1
A14,5,A32,A49,3448,A93,4,1
A14,9,A34,A46,1244,A92,4,1
A11,24,A33,A43,1659,A92,2,2
A14,24,A34,A45,5507,A93,4,1
A14,4,A34,A43,1503,A93,1,1
A13,18,A32,A42,2864,A93,1,2
A12,18,A30,A40,2278,A92,3,2
A14,21,A30,A40,5003,A92,4,2
A13,6,A33,A43,683,A92,1,1
A11,12,A32,A40,1372,A91,3,2
A14,30,A34,A43,5954,A93,2,1
A12,18,A34,A40,1056,A93,3,2
A11,9,A34,A40,2799,A93,2,1
A14,21,A32,A49,1572,A92,4,1
A14,24,A34,A49,4526,A93,2,1
A13,10,A32,A40,1240,A92,4,2
A11,6,A34,A40,3676,A93,3,1
A14,9,A32,A42,1980,A92,2,2
A14,36,A33,A49,7980,A93,4,2
A11,48,A32,A46,7476,A93,1,1
A12,12,A32,A40,888,A93,4,2
A12,6,A33,A42,1050,A93,1,1
A14,36,A32,A49,5742,A93,2,1
A12,24,A32,A43,2896,A93,1,1
A14,6,A32,A41,1236,A93,4,1
A13,24,A32,A43,1377,A92,2,1
A12,48,A32,A40,6560,A93,2,2
A13,24,A34,A43,3148,A93,2,1
A12,6,A31,A46,433,A92,2,2
A14,6,A34,A40,250,A92,2,1
A12,24,A33,A43,6403,A93,2,1
A12,8,A32,A43,760,A92,2,1
A13,6,A34,A40,1299,A93,1,1
A13,15,A34,A43,1271,A93,4,2
A11,18,A34,A42,2124,A92,4,2
A14,24,A34,A43,2223,A93,4,1
A12,18,A32,A45,3872,A92,4,1
A12,39,A34,A43,4933,A93,2,2
A12,20,A32,A41,6468,A91,4,1
A14,24,A32,A41,6313,A93,4,1
A14,12,A34,A42,1258,A92,4,1
A14,6,A32,A44,1338,A91,4,1
A12,21,A32,A42,3976,A93,3,1
A11,9,A32,A43,1364,A93,4,1
A14,15,A32,A42,2221,A92,4,1
A11,12,A32,A42,3590,A93,2,1
A14,24,A32,A41,9277,A91,4,1
A12,24,A34,A49,2825,A93,3,1
A12,36,A32,A46,3711,A94,2,1
A14,36,A33,A43,4454,A92,4,1
A12,6,A32,A43,2063,A94,3,1
A12,18,A34,A49,3590,A94,3,1
A12,9,A34,A43,1154,A93,4,1
A12,21,A33,A40,2353,A91,4,1
A13,21,A32,A40,2923,A92,1,1
A11,15,A34,A42,1433,A92,3,1
A11,18,A32,A43,1936,A94,4,1
