@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,6,13,19,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A12,36,A61,35,A192,1
A12,12,A61,25,A191,2
A11,48,A61,24,A191,2
A11,24,A61,60,A191,2
A14,24,A63,31,A192,1
A14,12,A65,57,A191,1
A12,36,A61,61,A192,2
A14,12,A61,29,A191,1
A11,24,A61,58,A192,1
A14,12,A61,29,A192,1
A11,12,A61,28,A191,2
A12,24,A61,39,A192,2
A13,15,A61,23,A192,1
A12,12,A63,66,A191,2
A11,12,A61,45,A191,1
A14,24,A62,36,A192,1
A14,6,A63,32,A192,1
A14,24,A61,25,A192,1
A11,6,A63,52,A191,1
A14,36,A61,28,A191,2
A12,16,A61,68,A192,1
A11,12,A62,20,A191,2
A12,18,A61,33,A192,1
A14,6,A61,28,A192,1
A14,9,A63,52,A192,1
A11,12,A61,21,A191,2
A14,12,A64,55,A191,1
A14,15,A61,30,A192,1
A14,9,A61,22,A191,2
A14,9,A63,51,A191,1
A11,24,A65,29,A191,2
A14,12,A61,27,A191,1
A12,9,A65,24,A192,1
A14,10,A61,32,A191,1
A12,48,A65,36,A192,1
A11,12,A65,49,A192,1
A14,24,A62,29,A192,1
A12,21,A64,32,A192,1
A12,8,A61,24,A191,2
A14,24,A62,25,A191,1
A14,18,A61,36,A191,1
A12,13,A61,23,A191,1
A11,12,A61,28,A192,2
A13,12,A61,36,A192,1
A14,36,A65,36,A191,1
A14,60,A65,63,A192,1
A12,60,A62,60,A192,2
A13,12,A61,26,A191,1
A12,15,A63,27,A191,1
A14,9,A61,27,A191,1
A12,12,A61,47,A191,1
A14,24,A61,33,A192,1
A12,48,A61,30,A192,2
A14,24,A61,35,A192,1
A14,18,A61,34,A192,1
A14,24,A61,35,A192,1
A11,6,A61,23,A191,2
A12,12,A61,23,A191,1
A14,12,A61,52,A192,1
A14,6,A61,26,A191,1
A11,36,A61,42,A191,1
A11,6,A61,37,A191,1
A14,6,A65,36,A191,1
A12,18,A61,26,A191,1
A12,36,A61,32,A191,1
A11,24,A61,43,A191,2
A12,12,A61,22,A191,2
A14,15,A61,24,A191,1
A14,24,A61,27,A191,1
A14,12,A65,52,A192,1
A12,24,A61,36,A192,2
A14,24,A61,32,A191,1
A13,10,A61,23,A191,1
A11,24,A63,22,A192,1
A14,9,A65,64,A191,1
A11,24,A61,28,A191,1
A14,12,A61,34,A191,1
A14,24,A61,35,A192,1
A13,6,A61,50,A191,1
A11,12,A61,43,A192,2
A13,15,A61,40,A192,1
A11,48,A61,46,A192,2
A12,60,A61,27,A192,2
A14,18,A61,32,A192,1
A12,20,A62,31,A192,1
A14,15,A63,47,A191,1
A13,24,A64,36,A192,1
A12,36,A65,29,A191,1
A14,21,A65,41,A192,1
A14,10,A65,31,A191,1
A12,12,A61,28,A192,1
A13,12,A63,66,A191,1
A11,24,A65,25,A191,2
A14,22,A63,40,A191,1
A12,48,A61,32,A192,2
A11,24,A61,39,A192,2
A12,30,A62,30,A191,2
A12,60,A61,42,A191,2
A14,24,A62,31,A191,2
A12,30,A61,49,A191,2
