@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,3,6,13,15,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A11,A34,A61,48,A151,1
A12,A32,A61,34,A152,1
A12,A34,A61,25,A152,2
A14,A34,A65,46,A151,1
A12,A34,A61,27,A152,1
A11,A34,A61,54,A152,1
A14,A33,A61,24,A152,1
A14,A32,A65,26,A151,1
A11,A32,A65,30,A152,2
A11,A34,A61,30,A152,1
A12,A32,A65,24,A152,1
A12,A31,A62,30,A152,1
A11,A33,A61,26,A152,2
A14,A32,A61,29,A151,1
A12,A32,A65,36,A153,1
A11,A32,A61,27,A152,1
A11,A34,A61,38,A153,1
A14,A32,A65,45,A152,1
A14,A34,A65,51,A152,1
A12,A34,A65,39,A152,1
A14,A32,A61,64,A152,1
A14,A32,A61,30,A152,1
A14,A30,A62,35,A151,1
A12,A32,A61,24,A152,2
A14,A32,A62,23,A152,1
A14,A34,A61,57,A153,1
A12,A32,A61,37,A152,2
A14,A32,A61,26,A152,1
A14,A34,A65,46,A152,1
A14,A32,A65,45,A152,1
A13,A34,A65,37,A152,2
A11,A32,A62,33,A152,2
A11,A32,A65,24,A151,2
A13,A32,A61,37,A152,1
A12,A32,A63,23,A151,1
A14,A32,A61,21,A151,1
A11,A32,A65,39,A152,1
A12,A32,A61,38,A153,2
A14,A33,A62,26,A152,1
A14,A34,A64,43,A152,1
A11,A32,A61,34,A152,2
A11,A32,A61,31,A152,2
A12,A32,A65,38,A152,1
A14,A33,A65,32,A152,1
A13,A32,A61,25,A152,1
A12,A30,A61,42,A153,2
A11,A32,A65,20,A152,2
A13,A34,A62,28,A152,1
A13,A32,A62,49,A152,1
A14,A34,A62,31,A152,1
A14,A32,A65,25,A152,1
A12,A34,A61,37,A152,1
A14,A32,A61,32,A152,1
A12,A33,A65,37,A152,1
A12,A34,A61,49,A152,1
A11,A34,A61,58,A152,1
A12,A31,A62,32,A152,2
A12,A34,A61,27,A152,1
A14,A34,A61,32,A152,2
A12,A32,A61,25,A152,2
A11,A33,A61,26,A152,2
A14,A33,A63,41,A152,2
A14,A32,A61,28,A152,1
A14,A34,A61,24,A152,1
A14,A32,A65,46,A152,1
A14,A34,A65,40,A152,1
A14,A32,A61,21,A151,2
A12,A31,A61,59,A151,2
A11,A32,A62,35,A152,1
A11,A32,A61,49,A152,1
A11,A32,A65,32,A151,2
A11,A32,A61,24,A152,1
A14,A32,A63,32,A151,1
A12,A32,A65,24,A151,1
A11,A32,A61,24,A152,2
A12,A31,A61,55,A153,1
A12,A30,A61,26,A151,2
A11,A32,A61,54,A152,2
A11,A32,A61,43,A152,1
A11,A34,A61,30,A152,1
A11,A32,A65,47,A153,2
A14,A33,A63,44,A152,1
A14,A32,A61,23,A152,2
A11,A32,A61,57,A152,2
A14,A32,A61,25,A151,2
A11,A31,A61,46,A152,2
A11,A32,A61,39,A153,2
A12,A32,A61,22,A152,1
A12,A32,A65,26,A152,1
A14,A32,A61,54,A151,1
A11,A34,A61,40,A152,1
A12,A32,A62,22,A152,1
A13,A32,A63,57,A152,1
A12,A33,A65,42,A152,1
A14,A34,A61,30,A152,1
A13,A30,A61,33,A152,1
A14,A34,A65,37,A152,1
A14,A31,A62,34,A152,1
A11,A32,A61,30,A152,1
A11,A32,A61,40,A152,1
