@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R5-6,12-13,19,21'

@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
1169,A65,A121,67,A192,1
2835,A63,A122,53,A191,1
426,A61,A123,39,A191,1
1225,A61,A123,37,A192,1
458,A61,A121,24,A191,1
1537,A65,A121,50,A192,1
8133,A61,A122,30,A191,1
1526,A61,A124,66,A191,1
1213,A63,A122,47,A192,1
618,A61,A121,56,A191,1
797,A65,A122,33,A191,2
7855,A61,A121,25,A192,2
639,A61,A123,30,A191,2
2708,A61,A122,27,A191,1
1240,A65,A121,38,A192,1
5848,A61,A123,24,A191,1
6967,A62,A123,36,A192,1
3512,A62,A123,38,A192,1
2064,A61,A122,34,A192,2
1495,A61,A121,38,A191,1
1424,A61,A122,26,A191,1
625,A61,A121,26,A191,1
3149,A61,A124,22,A191,1
1291,A61,A122,35,A191,1
3447,A63,A121,35,A191,1
717,A61,A121,52,A191,1
1925,A61,A121,26,A191,1
4151,A62,A122,35,A191,1
2149,A61,A124,29,A191,2
1154,A62,A121,57,A191,1
3368,A64,A124,23,A192,1
1445,A65,A123,49,A191,1
5381,A65,A124,40,A192,1
2746,A61,A123,31,A191,2
2910,A61,A124,34,A192,1
5743,A61,A124,24,A192,1
3213,A63,A121,25,A191,1
4439,A61,A121,33,A192,1
1136,A64,A124,32,A191,2
4463,A61,A123,26,A192,2
2406,A61,A121,23,A191,2
3850,A61,A123,27,A191,1
6070,A61,A123,33,A192,1
1126,A65,A121,21,A192,1
1967,A61,A123,20,A192,1
1042,A65,A122,33,A191,2
2762,A65,A122,25,A192,2
11328,A61,A123,29,A192,2
1484,A65,A121,25,A192,2
660,A63,A121,23,A191,1
1884,A61,A123,39,A192,1
719,A61,A123,41,A191,2
518,A61,A121,29,A191,1
1245,A61,A123,33,A191,2
1037,A62,A121,39,A191,1
1237,A62,A122,27,A191,1
368,A65,A122,38,A191,1
2122,A61,A121,39,A191,1
9034,A62,A124,29,A192,2
3123,A61,A122,27,A191,2
1216,A62,A124,38,A191,2
1413,A61,A122,28,A191,1
7127,A61,A122,23,A192,2
1203,A62,A122,43,A192,1
3190,A61,A121,24,A191,2
2302,A61,A123,31,A191,2
662,A61,A121,41,A192,1
1534,A61,A121,23,A191,2
1255,A61,A121,61,A191,1
6999,A61,A121,34,A192,2
1928,A61,A121,31,A191,2
2578,A64,A123,34,A191,1
3234,A61,A121,23,A192,2
1082,A61,A123,27,A191,1
1217,A61,A121,47,A192,2
1358,A65,A123,40,A192,2
741,A62,A122,22,A191,2
3357,A64,A123,29,A191,1
12204,A65,A123,48,A192,1
750,A61,A121,27,A191,2
1386,A63,A122,26,A191,2
3973,A61,A124,22,A191,1
5103,A61,A124,47,A192,1
9857,A62,A122,31,A192,1
4716,A65,A121,44,A191,1
790,A63,A121,66,A191,1
3380,A61,A121,37,A191,1
2511,A61,A123,23,A191,1
3275,A61,A123,36,A192,1
2892,A61,A124,51,A191,1
484,A61,A121,28,A191,1
6681,A65,A124,38,A192,1
601,A61,A121,23,A191,1
1249,A61,A121,28,A191,1
7678,A63,A123,40,A192,1
1343,A61,A121,46,A191,1
1382,A62,A121,26,A192,1
1386,A65,A121,40,A192,1
1743,A61,A122,48,A191,1
1736,A61,A121,31,A191,1
