@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A12,27,A61,30,A192,1
A11,12,A61,38,A191,1
A12,20,A65,60,A192,1
A14,15,A62,23,A192,1
A14,18,A61,25,A191,1
A12,9,A61,67,A192,1
A14,4,A61,37,A191,1
A11,12,A61,30,A191,1
A14,24,A61,38,A192,1
A13,12,A61,23,A191,1
A11,18,A62,35,A192,1
A12,24,A61,48,A191,1
A14,21,A61,36,A192,1
A11,20,A61,24,A191,1
A13,30,A65,49,A191,1
A12,48,A62,30,A191,1
A12,30,A65,36,A191,1
A14,6,A61,21,A191,1
A14,24,A61,27,A192,1
A14,12,A61,22,A191,1
A14,24,A62,27,A192,1
A13,18,A65,49,A191,1
A13,10,A65,27,A192,1
A14,10,A63,46,A192,1
A14,12,A63,44,A192,1
A14,30,A61,25,A191,1
A11,30,A61,38,A192,1
A12,12,A63,36,A192,1
A14,4,A61,23,A191,1
A11,24,A61,28,A191,1
A11,15,A61,44,A192,1
A11,24,A64,57,A192,1
A11,24,A62,26,A192,1
A11,12,A61,29,A191,1
A12,30,A65,26,A191,1
A12,12,A61,29,A191,1
A12,30,A62,41,A191,1
A11,18,A61,25,A191,1
A14,4,A61,42,A191,1
A12,18,A61,37,A192,1
A11,15,A61,25,A191,1
A12,36,A61,34,A192,1
A14,30,A65,63,A191,1
A14,12,A62,28,A191,1
A14,6,A62,35,A191,1
A11,20,A65,39,A192,1
A13,42,A61,33,A191,1
A14,9,A61,31,A191,1
A12,15,A61,38,A191,1
A11,10,A61,49,A192,1
A14,6,A61,24,A192,1
A14,7,A65,36,A191,1
A12,9,A61,22,A191,1
A12,14,A63,35,A192,1
A14,36,A65,37,A191,1
A14,36,A65,31,A192,1
A11,12,A61,38,A191,1
A14,15,A63,20,A191,1
A13,12,A61,44,A192,1
A14,6,A65,36,A192,1
A12,6,A65,38,A191,1
A12,21,A61,27,A191,1
A13,15,A61,26,A192,1
A14,24,A63,28,A191,1
A14,18,A65,31,A192,1
A14,15,A65,24,A191,1
A14,21,A61,23,A192,1
A12,18,A61,25,A191,1
A11,47,A61,35,A192,1
A11,30,A61,32,A191,1
A14,15,A65,33,A191,1
A14,24,A63,32,A192,1
A11,24,A65,26,A191,1
A12,12,A62,27,A191,1
A12,6,A61,28,A191,1
A11,12,A61,20,A192,1
A14,12,A61,61,A191,1
A14,24,A65,46,A192,1
A11,12,A61,29,A192,1
A12,15,A65,35,A192,1
A14,18,A65,38,A192,1
A14,6,A63,24,A191,1
A14,6,A63,23,A191,1
A11,18,A61,22,A191,1
A14,9,A61,23,A192,1
A14,24,A65,41,A192,1
A12,30,A61,22,A191,1
A14,15,A64,23,A192,1
A14,12,A65,23,A191,1
A14,60,A65,34,A192,1
A14,48,A61,27,A191,1
A12,20,A61,29,A192,1
A11,24,A61,24,A191,1
A14,60,A61,42,A192,1
A14,12,A61,56,A191,1
A13,12,A65,37,A191,1
A11,15,A61,27,A191,1
A14,12,A61,25,A191,1
A14,24,A65,43,A192,1
A14,18,A65,21,A192,1
A14,10,A62,32,A191,1
A12,12,A61,32,A191,1
A14,21,A63,31,A191,1
A14,12,A65,49,A192,1
A14,9,A65,33,A191,1
A12,36,A61,30,A192,1
A11,10,A61,48,A191,1
A14,9,A62,22,A191,1
A14,6,A65,34,A191,1
A13,6,A61,29,A191,1
A14,12,A61,27,A192,1
A11,15,A61,25,A191,1
A14,12,A61,43,A192,1
A12,36,A61,54,A191,1
A11,30,A64,57,A192,1
A11,15,A61,46,A191,1
A14,15,A61,46,A192,1
A14,24,A63,26,A192,1
A14,12,A65,45,A192,1
