@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R2,4-6,9-10,19,21'

@attribute A2 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
-0.6792,0.4076,-0.4197,0.074,1.1957,-1.1959,-2.1115,1
-0.2492,-0.6203,0.5136,-0.904,-1.3866,0.6882,-0.9143,1
0.9351,1.1571,1.2736,1.2177,-0.0215,0.6421,0.6215,0
-3.0227,-2.1441,-1.9822,-2.2053,-2.6886,-0.3731,0.7456,1
1.0524,0.2718,0.6757,0.7855,0.265,0.7368,-1.0534,0
-0.0199,-0.002,2.2805,-0.1149,-0.6639,0.0069,-0.6154,0
-1.286,-0.3681,-0.445,-1.4795,0.5435,0.3221,-0.8792,0
1.1237,-1.042,-0.2817,-0.4211,-1.0204,0.0769,-1.811,1
0.8488,-0.3643,-1.4622,-0.2601,-0.8124,-1.0681,0.2823,1
-2.8386,1.0369,-0.0091,-0.7196,-1.1443,-0.0992,-0.1663,1
2.4218,0.9015,1.2298,1.9884,1.123,-1.0139,-0.8648,0
-2.0106,0.4711,-0.9635,0.6463,0.0752,1.3852,-0.4187,1
-0.3196,-1.0725,1.2865,-0.4071,-0.0644,0.5,-0.5185,0
1.2003,-0.564,2.7722,-1.0798,-0.3212,0.8893,0.6567,0
2.2242,-0.7709,-0.72,0.2001,-1.0219,-1.336,-1.7355,1
-1.495,-2.5066,-0.6614,-0.9855,-1.4889,-1.2476,0.1946,1
-0.8837,0.5153,1.0715,1.3735,1.0727,-0.1402,-0.3236,0
-1.6979,-2.3716,-1.348,0.8185,-0.6876,-0.6247,-0.4486,1
-0.2801,0.5261,-2.217,-1.3181,0.3134,-1.2022,-0.425,1
0.3293,-0.3618,0.8739,-0.9009,1.143,0.4874,0.2147,0
-1.1512,-1.3134,0.382,0.7295,0.5818,-1.9209,-0.8185,1
0.2717,-0.3199,-1.2025,-0.3616,-0.6327,-0.6961,0.1015,1
-1.9875,0.3078,-0.576,-1.4548,-1.4,0.9817,-0.1463,1
0.7263,0.9878,0.3769,1.8926,2.0634,-0.4117,-0.6636,0
0.9809,-0.0313,2.4869,1.8877,-0.3995,-0.7298,-0.7491,0
0.429,0.9284,-1.0919,0.1114,-0.6947,-0.4843,-2.1876,1
1.7578,1.7747,5.6395,-0.4566,-0.4854,-1.4027,2.1,0
0.2081,0.321,-0.6645,-1.5024,-1.5915,0.0089,-1.0981,1
2.4621,1.6559,-0.8042,0.9046,1.709,-0.741,-0.3613,0
1.5469,-1.7062,0.5697,0.9865,-0.5006,-0.0771,-0.6972,1
0.7133,-0.0674,-0.1638,0.4384,-1.7442,0.2629,-0.1918,1
0.4723,0.2332,0.2761,-1.637,-1.1714,-1.2367,-0.967,1
0.6258,1.1837,1.4663,-0.0929,1.4052,-1.514,0.3164,0
-0.4912,-1.2388,-0.4712,-2.8603,-0.4307,-0.8064,-0.2037,1
0.1612,-0.664,-0.0793,-1.2436,-0.1682,2.8024,1.3819,0
-0.6741,-0.0529,1.2919,-0.8444,0.946,0.766,0.6078,0
-0.1122,0.5326,-1.5501,-1.3992,-0.8447,0.5863,1.2809,1
-0.0283,-0.8581,-1.191,-1.474,-0.5408,1.0102,1.8193,1
-0.1088,-0.486,1.1138,-0.5117,0.0192,0.4498,0.1119,1
-0.9235,1.0543,1.7573,1.0345,-0.2097,0.8484,1.184,0
-0.6386,-0.9972,1.3525,1.4831,0.9692,-1.1189,-2.1668,1
1.3733,1.0987,0.6967,0.9744,0.4374,0.0769,1.426,0
1.1503,1.8387,0.397,-1.0161,0.6002,0.0664,0.1027,0
0.8797,1.1001,-0.8027,1.914,-0.4635,0.4698,0.1937,0
2.1589,-0.5725,2.7055,-0.5434,-0.3103,0.6154,1.6025,0
0.8834,-0.0222,0.6891,1.5346,0.3898,-0.2726,0.2467,0
-0.8273,-0.0209,0.3574,-0.104,-0.2802,0.7781,0.5207,1
1.4272,2.1145,1.5452,1.509,1.4742,0.2011,-1.0182,0
1.4886,-1.1623,0.518,-0.8507,-0.1948,0.8672,0.7437,0
-1.1987,-0.341,0.5,-1.6097,-0.4233,-1.0499,-0.9355,1
0.704,-0.3285,1.5124,0.0725,-0.5911,0.0478,1.214,0
1.0395,-0.0317,0.5232,-0.4994,-0.5378,1.5553,0.6115,0
-0.2921,1.1482,1.2608,0.6094,-0.3212,1.5534,0.5105,0
2.3614,-0.3279,-1.0213,-2.1196,-1.8399,0.9677,1.5529,1
-0.017,1.1942,0.2654,-1.4515,0.6154,-1.5892,0.165,1
-0.5082,-0.9,-1.9617,2.6804,0.4048,0.0043,-0.7482,1
0.8609,-1.7994,-0.8802,-1.8239,-0.7898,-1.3402,1.2644,1
-0.4778,-1.6244,-0.0008,0.1936,0.9473,1.714,-0.9877,0
0.1625,-0.97,-2.9144,-0.3553,0.9703,0.7991,-1.11,1
0.396,-0.484,1.4165,0.8296,-1.5165,0.8712,0.7617,1
0.6144,-0.4121,0.6799,0.4291,0.8006,2.4674,-0.1545,0
-0.8414,1.4618,1.3862,-0.2261,0.6571,0.9071,-1.2155,1
-1.188,0.0416,0.2476,-0.5923,-0.6288,-0.637,-0.5882,1
0.2173,0.7645,0.4761,0.6259,0.0749,0.6444,0.1257,0
-1.0587,0.3415,-0.0624,-0.8969,-1.3701,-0.3915,-1.276,1
1.9481,-1.1863,0.9394,-0.3157,1.1825,-1.0412,0.4118,0
-0.5076,0.5582,0.2503,0.052,1.9958,-0.3934,1.6497,0
-0.4432,-0.7933,1.3858,-0.1987,-1.8682,-1.0019,-2.1991,1
0.6765,-0.411,0.71,0.4361,-0.876,-0.9228,-0.1949,0
0.3059,-0.0206,1.8944,-1.1702,-0.1668,0.5088,-0.9588,0
-0.2126,1.9012,0.4736,-0.9346,0.2617,-0.9543,-0.1066,1
0.4395,0.5996,1.7411,-0.7692,0.2119,0.3655,-0.8609,0
1.6001,-0.8991,0.6966,0.0278,-0.8874,0.4444,0.5078,0
0.4993,1.254,0.1007,2.2336,-0.1868,1.2594,-0.3685,0
-1.2727,-1.7554,2.2837,-0.4057,1.5387,1.6018,-0.823,1
1.4817,-0.6173,-1.1975,1.5286,-0.6178,-0.2338,-2.6056,1
0.6022,2.256,0.273,1.2778,0.0099,-0.0799,0.8253,0
-0.3816,2.5377,1.03,-1.4053,0.3187,1.0297,0.8089,0
-0.9229,-1.6142,-0.6831,-1.7575,-1.542,-0.4626,-1.0563,1
-0.1342,-0.8224,-0.2825,-0.8968,-1.1981,1.444,-0.9374,1
-0.5046,0.0347,1.7413,-0.7103,-0.5884,-0.7937,0.1166,0
-0.5069,0.5173,-1.1234,0.0683,-1.6753,1.4988,-0.9976,1
-1.6379,-0.7441,-1.7254,-0.8484,-1.282,-1.1978,2.8328,1
-1.3068,1.6051,-0.4343,1.7058,-0.4722,0.186,0.8726,0
0.8528,-1.8497,-0.1622,1.4224,-0.3656,0.1038,0.5789,0
-0.7596,-0.8599,-1.3366,0.6638,-0.1101,0.8814,-2.3699,1
-2.7129,0.2022,-0.3984,0.4979,-0.4929,0.428,-0.3287,1
1.9289,0.6291,1.8593,0.5132,0.0431,-0.1781,1.9199,0
0.2829,0.7214,1.4838,0.8193,0.7598,0.662,0.4443,0
-1.4429,-1.7764,0.5655,-1.4068,-1.4449,0.2619,0.7809,1
0.061,-0.3515,-0.3157,-0.4116,-0.6011,0.599,-0.5515,0
0.0071,-0.5697,-0.5073,0.1412,1.3254,-0.8165,0.2634,0
0.4309,0.1841,0.7403,-0.4571,0.3572,0.2699,0.6973,0
0.7842,0.0599,0.1589,0.7849,-1.0969,1.1118,-1.0634,1
1.5722,0.1674,-0.8469,0.5262,-1.2957,-1.1149,0.9862,1
2.963,-1.5553,-0.3839,0.9178,-0.8451,-0.6149,0.3491,1
2.5342,-0.8522,0.7782,1.3606,-0.042,1.5578,2.7257,0
0.9551,-0.286,-1.4012,-0.639,0.7329,-0.555,-0.1222,1
0.085,1.7857,0.9764,-0.4034,1.3016,0.6934,-0.5953,0
-0.7673,-0.1434,0.1174,0.2379,-0.9408,-0.625,1.7682,1
-1.6197,0.2244,1.248,0.287,0.816,-0.1281,1.1603,1
1.5049,0.2158,-0.059,0.2569,-0.92,0.6692,-1.2314,0
-1.2518,-0.9703,-0.0088,-0.3889,0.8972,0.2701,0.3591,1
-2.1337,-0.1608,-0.2257,-1.28,-0.4035,-1.1549,-0.7646,1
-2.0703,-0.6453,-0.5573,0.5688,-0.6152,0.1526,-0.1094,1
1.4625,0.7523,0.371,1.6999,-0.5425,0.5533,1.4723,0
0.439,2.491,1.7936,1.6373,0.3977,-0.2819,1,0
0.9931,-2.0161,-0.2935,-0.3264,0.8885,-0.3497,0.5132,1
-0.6579,-1.5676,-0.8064,-1.0949,-0.5823,-1.4577,-1.0613,1
-0.1435,0.0217,2.0508,1.5698,1.4356,-1.4869,0.7774,0
0.8546,-0.1127,0.15,0.264,0.03,0.3037,-0.8207,1
0.8333,-1.0631,-1.4591,-0.7005,-2.6844,-1.9122,-1.106,1
-1.1971,0.6396,0.6718,0.2208,-1.0249,-0.9373,-1.8599,1
0.4793,0.4409,-0.6019,-1.0614,1.0027,1.3233,1.7047,0
0.6537,-0.6793,-0.1217,0.2382,-1.6526,0.7061,-0.7748,1
-0.3772,-0.5829,-1.5125,0.7698,-0.3437,-0.06,-1.0367,1
1.8433,0.9267,0.0857,-0.3664,-1.0157,1.2764,-0.9578,0
-1.7123,-0.4313,-1.2757,0.9655,-0.7856,-0.5606,-0.3694,1
-0.3519,0.6586,-0.2731,1.3803,-0.1197,0.2326,-1.319,1
0.7399,0.8909,0.1212,-0.6118,-1.7621,-1.3043,-1.4894,1
0.1727,0.2808,0.4274,-0.4006,0.4723,-0.5649,0.4948,0
0.645,-1.3575,-1.288,-2.1882,-0.8823,-0.9063,-0.8553,1
0.5766,0.7628,0.3716,0.7791,-0.561,0.5418,0.05,0
0.7809,0.1701,-0.3725,-0.6142,0.0307,0.55,0.1889,0
