@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R2-4,6,8-9,12-14,21'

@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A6 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute Class {0,1}

@data
0.8295,-1.0473,-1.5558,-0.0202,0.4485,1.3138,-1.3414,0.6303,-0.13,1
-0.1899,0.5606,0.3304,1.4079,-0.484,0.1268,-1.2447,-0.6688,-0.1173,0
-0.5382,0.4609,-0.4952,-1.1886,-0.9486,1.3676,0.213,0.7559,1.3912,0
0.9633,0.3777,-0.2037,1.2039,0.5674,1.4107,1.4807,-0.9807,1.6085,0
0.3998,-0.0818,-0.8427,2.0538,1.3763,-1.305,-1.1172,-0.4084,-1.1397,0
0.7071,-0.3894,-1.7727,-0.2171,0.0025,-0.0077,-1.3633,-0.8748,-0.4961,1
0.4991,-1.3311,0.9328,1.686,0.5402,0.7906,1.0946,0.477,1.5651,0
-1.7159,-0.6053,1.542,-0.3464,0.7383,0.9349,-0.6378,0.0882,-0.9884,1
0.0463,0.2819,0.1771,-1.0219,-0.1285,-0.1269,0.102,-0.8245,-1.9261,1
-0.3194,-0.7527,1.3388,1.3998,0.0486,-0.3535,-0.2008,0.0218,0.2071,0
-0.3839,-0.228,-0.2157,1.2026,0.9286,2.3878,1.6342,0.4313,0.4524,0
-0.9021,0.6615,0.5841,-0.6429,-1.6472,-2.1448,-1.2725,-1.0297,-0.4015,1
-1.3213,-1.0796,-0.4417,0.3107,0.0657,-1.4934,-1.1155,-0.0813,-0.6888,1
1.2312,2.3779,-0.771,-1.363,1.4905,2.7915,1.1536,1.5572,-0.3868,0
-0.4724,-0.1919,0.2732,-0.0579,0.9775,0.4159,-2.11,-0.0964,-1.3825,1
0.4414,-1.3406,-1.4295,-1.0486,-0.3303,-1.1363,0.1311,0.5,0.633,1
0.9346,1.1184,1.269,0.5974,0.8625,0.3581,-0.5032,0.781,1.5689,0
0.6569,0.531,-0.5148,-0.2115,-2.2426,-0.4172,-0.3181,0.1781,-0.5719,1
-1.1937,-1.4089,0.1408,-2.4481,-0.2165,-0.3128,0.2647,0.2495,0.7932,1
0.1043,-0.755,-1.5453,-1.2373,-0.8133,-1.0659,-1.9679,-1.6947,-2.1954,1
0.5546,-0.2656,0.5212,-1.0963,-1.4544,-1.1711,-2.1777,-0.8054,-0.5898,1
-0.8551,0.4856,1.4212,2.8398,-2.5257,2.4725,-1.8575,-1.302,1.8008,0
-0.6012,-0.1577,-0.9596,1.5723,0.2129,-0.3571,-1.6658,-1.5995,0.0727,1
0.828,-0.4663,-1.8447,0.1609,-1.6449,0.2611,0.8634,-0.22,-0.6403,0
-0.4056,0.6219,-0.1241,1.673,-1.1441,-0.3209,0.5256,0.9963,-0.324,0
-0.7309,1.1693,-0.2019,0.2377,-0.2275,1.3487,-0.2035,0.3062,-0.0098,1
1.2012,1.2324,0.958,1.7214,-0.3398,-0.9175,1.3126,1.8894,1.2443,0
0.9203,-0.2927,0.884,1.6522,0.2332,0.6186,-0.6193,1.0901,1.5314,0
1.1176,0.4815,0.5955,0.5682,-0.4418,0.3134,1.8915,-0.5988,-0.974,0
0.7438,-0.9154,-1.0719,-1.0801,-0.3914,-1.6691,0.7881,-0.2932,-2.0302,1
0.0092,1.2449,0.9031,0.6861,-0.5259,0.4619,1.2672,-0.3096,1.2624,0
0.5988,0.2003,0.9651,0.495,-1.5348,0.2583,0.5222,-0.0496,-0.7378,0
1.0876,-0.1263,0.3291,0.3495,0.6285,-0.6619,0.0717,0.1328,1.8135,0
0.5836,0.2135,1.2753,0.046,2.0416,1.2071,-0.6287,1.1478,1.6237,0
0.4584,-0.9595,0.7441,-0.0124,-0.3102,-0.9514,-2.9228,1.1914,-0.9501,1
0.8771,-0.8175,-1.4174,-0.2334,-1.3709,-1.0991,-0.8322,-1.1345,-1.2319,1
0.8764,0.2294,-0.3385,1.263,0.8323,0.7169,0.0106,1.2204,-0.2056,0
1.1588,-0.5657,-0.0871,2.276,0.4876,0.8447,1.0265,0.5074,-0.283,0
0.177,-0.953,0.9778,-0.2412,-1.4987,1.1347,0.2072,-1.1299,-1.4305,1
-1.3006,-2.8012,0.2051,-1.1641,1.8646,-0.1643,3.03,0.3431,-1.722,1
-0.4182,0.821,0.5696,0.8823,-0.5055,0.8237,-0.733,1.5163,1.2264,0
-0.8656,-0.4135,-0.5119,0.5284,0.7483,0.7319,0.6453,-1.2592,1.5435,1
1.6013,0.1248,0.1806,2.0797,0.4454,0.7831,0.8351,1.1058,0.9899,0
0.9792,-0.5579,1.6588,1.5208,0.729,0.634,-0.6525,1.0073,0.5114,0
0.4605,-0.646,-0.3456,1.3178,-0.0296,0.1249,-0.4622,-1.1602,-0.0385,1
